session_id,utterance_id,role,content,timestamp
zywleqf,0,background,[unclear],00:00:00
zywleqf,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
zywleqf,2,student,"Yes, I think so.",00:00:16
zywleqf,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
zywleqf,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
zywleqf,5,tutor,Can you talk me through how you got that answer?,00:00:40
zywleqf,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
zywleqf,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
zywleqf,8,student,Is it 4?,00:01:04
zywleqf,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
zywleqf,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
zywleqf,11,tutor,What do you notice about these two numbers?,00:01:28
zywleqf,12,student,Maybe I should compare them as decimals first.,00:01:36
zywleqf,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
zywleqf,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
zywleqf,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
zywleqf,16,student,Maybe I should compare them as decimals first.,00:02:08
zywleqf,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
zywleqf,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
zywleqf,19,tutor,Can you talk me through how you got that answer?,00:02:32
zywleqf,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
zywleqf,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
zywleqf,22,student,Is it 4?,00:02:56
zywleqf,23,tutor,What do you notice about these two numbers?,00:03:04
zywleqf,24,student,75.,00:03:12
zywleqf,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
zywleqf,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
zywleqf,27,tutor,Can you talk me through how you got that answer?,00:03:36
zywleqf,28,student,Is it 4?,00:03:44
zywleqf,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
zywleqf,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
zywleqf,31,tutor,What do you notice about these two numbers?,00:04:08
zywleqf,32,student,Maybe I should compare them as decimals first.,00:04:16
zywleqf,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
zywleqf,34,student,300?,00:04:32
zywleqf,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
zywleqf,36,student,Is it 4?,00:04:48
zywleqf,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
zywleqf,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
zywleqf,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
zywleqf,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
zywleqf,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
