session_id,utterance_id,role,content,timestamp
ivffjof,0,background,[unclear],00:00:00
ivffjof,1,tutor,"Hello, are you ready to get started today?",00:00:08
ivffjof,2,student,"Yes, I think so.",00:00:16
ivffjof,3,tutor,Can you talk me through how you got that answer?,00:00:24
ivffjof,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
ivffjof,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
ivffjof,6,student,No,00:00:48
ivffjof,7,tutor,What do you notice about these two numbers?,00:00:56
ivffjof,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
ivffjof,9,tutor,What do you notice about these two numbers?,00:01:12
ivffjof,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
ivffjof,11,tutor,What do you notice about these two numbers?,00:01:28
ivffjof,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
ivffjof,13,tutor,Can you talk me through how you got that answer?,00:01:44
ivffjof,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
ivffjof,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
ivffjof,16,student,Maybe I should compare them as decimals first.,00:02:08
ivffjof,17,tutor,Uh-huh. And what would you do next?,00:02:16
ivffjof,18,student,Maybe I should compare them as decimals first.,00:02:24
ivffjof,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
ivffjof,20,student,Yes,00:02:40
ivffjof,21,tutor,Uh-huh. And what would you do next?,00:02:48
ivffjof,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
ivffjof,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
ivffjof,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
ivffjof,25,tutor,Uh-huh. And what would you do next?,00:03:20
ivffjof,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
ivffjof,27,tutor,Uh-huh. And what would you do next?,00:03:36
ivffjof,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
ivffjof,29,tutor,Uh-huh. And what would you do next?,00:03:52
ivffjof,30,student,Half?,00:04:00
ivffjof,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
ivffjof,32,student,75.,00:04:16
ivffjof,33,tutor,What do you notice about these two numbers?,00:04:24
ivffjof,34,student,No,00:04:32
ivffjof,35,tutor,Can you talk me through how you got that answer?,00:04:40
ivffjof,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
ivffjof,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
ivffjof,38,student,Maybe I should compare them as decimals first.,00:05:04
ivffjof,39,tutor,Uh-huh. And what would you do next?,00:05:12
ivffjof,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
ivffjof,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
ivffjof,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
ivffjof,43,tutor,What do you notice about these two numbers?,00:05:44
ivffjof,44,student,Maybe I should compare them as decimals first.,00:05:52
ivffjof,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
ivffjof,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
ivffjof,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
ivffjof,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
ivffjof,49,tutor,Can you talk me through how you got that answer?,00:06:32
ivffjof,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
ivffjof,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
ivffjof,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
ivffjof,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
ivffjof,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
ivffjof,55,tutor,Uh-huh. And what would you do next?,00:07:20
ivffjof,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
ivffjof,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
ivffjof,58,student,Half?,00:07:44
ivffjof,59,tutor,Can you talk me through how you got that answer?,00:07:52
ivffjof,60,student,Half?,00:08:00
ivffjof,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
ivffjof,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
ivffjof,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
ivffjof,64,student,300?,00:08:32
ivffjof,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
ivffjof,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
ivffjof,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
ivffjof,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
ivffjof,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
ivffjof,70,student,Maybe I should compare them as decimals first.,00:09:20
ivffjof,71,tutor,What do you notice about these two numbers?,00:09:28
ivffjof,72,student,Okay,00:09:36
ivffjof,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
ivffjof,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
ivffjof,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
ivffjof,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
ivffjof,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
ivffjof,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
ivffjof,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
ivffjof,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
ivffjof,81,tutor,Can you talk me through how you got that answer?,00:10:48
ivffjof,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
ivffjof,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
ivffjof,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
ivffjof,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
ivffjof,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
ivffjof,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
ivffjof,88,student,Half?,00:11:44
ivffjof,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
ivffjof,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
ivffjof,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
ivffjof,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
ivffjof,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
ivffjof,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
ivffjof,95,tutor,Uh-huh. And what would you do next?,00:12:40
ivffjof,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
