session_id,utterance_id,role,content,timestamp
ahgrtdf,0,background,[unclear],00:00:00
ahgrtdf,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ahgrtdf,2,student,"Yes, I think so.",00:00:16
ahgrtdf,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
ahgrtdf,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
ahgrtdf,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
ahgrtdf,6,student,Maybe I should compare them as decimals first.,00:00:48
ahgrtdf,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
ahgrtdf,8,student,Maybe I should compare them as decimals first.,00:01:04
ahgrtdf,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
ahgrtdf,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
ahgrtdf,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
ahgrtdf,12,student,Yes,00:01:36
ahgrtdf,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
ahgrtdf,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
ahgrtdf,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
ahgrtdf,16,student,Maybe I should compare them as decimals first.,00:02:08
ahgrtdf,17,tutor,Can you talk me through how you got that answer?,00:02:16
ahgrtdf,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
ahgrtdf,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
ahgrtdf,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
ahgrtdf,21,tutor,Uh-huh. And what would you do next?,00:02:48
ahgrtdf,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
ahgrtdf,23,tutor,What do you notice about these two numbers?,00:03:04
ahgrtdf,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
ahgrtdf,25,tutor,What do you notice about these two numbers?,00:03:20
ahgrtdf,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
ahgrtdf,27,tutor,What do you notice about these two numbers?,00:03:36
ahgrtdf,28,student,Is it 4?,00:03:44
ahgrtdf,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
ahgrtdf,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
ahgrtdf,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
ahgrtdf,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
ahgrtdf,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
ahgrtdf,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
ahgrtdf,35,tutor,Can you talk me through how you got that answer?,00:04:40
ahgrtdf,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
ahgrtdf,37,tutor,What do you notice about these two numbers?,00:04:56
ahgrtdf,38,student,Maybe I should compare them as decimals first.,00:05:04
ahgrtdf,39,tutor,What do you notice about these two numbers?,00:05:12
ahgrtdf,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
ahgrtdf,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
ahgrtdf,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
ahgrtdf,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
ahgrtdf,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
ahgrtdf,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
ahgrtdf,46,student,Maybe I should compare them as decimals first.,00:06:08
ahgrtdf,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
ahgrtdf,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
ahgrtdf,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
ahgrtdf,50,student,12.,00:06:40
ahgrtdf,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
ahgrtdf,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
ahgrtdf,53,tutor,Uh-huh. And what would you do next?,00:07:04
ahgrtdf,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
ahgrtdf,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
ahgrtdf,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
ahgrtdf,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
ahgrtdf,58,student,Okay,00:07:44
ahgrtdf,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
ahgrtdf,60,student,12.,00:08:00
ahgrtdf,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
ahgrtdf,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
ahgrtdf,63,tutor,What do you notice about these two numbers?,00:08:24
ahgrtdf,64,student,Maybe I should compare them as decimals first.,00:08:32
ahgrtdf,65,tutor,Uh-huh. And what would you do next?,00:08:40
ahgrtdf,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
ahgrtdf,67,tutor,What do you notice about these two numbers?,00:08:56
ahgrtdf,68,student,Maybe I should compare them as decimals first.,00:09:04
ahgrtdf,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
ahgrtdf,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
ahgrtdf,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
ahgrtdf,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
ahgrtdf,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
ahgrtdf,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
ahgrtdf,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
ahgrtdf,76,student,Half?,00:10:08
ahgrtdf,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
ahgrtdf,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
ahgrtdf,79,tutor,What do you notice about these two numbers?,00:10:32
ahgrtdf,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
ahgrtdf,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
ahgrtdf,82,student,12.,00:10:56
ahgrtdf,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
ahgrtdf,84,student,Is it 4?,00:11:12
ahgrtdf,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
ahgrtdf,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
ahgrtdf,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
ahgrtdf,88,student,12.,00:11:44
ahgrtdf,89,tutor,Can you talk me through how you got that answer?,00:11:52
ahgrtdf,90,student,Okay,00:12:00
ahgrtdf,91,tutor,What do you notice about these two numbers?,00:12:08
ahgrtdf,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
ahgrtdf,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
ahgrtdf,94,student,Maybe I should compare them as decimals first.,00:12:32
ahgrtdf,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
ahgrtdf,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
ahgrtdf,97,tutor,Can you talk me through how you got that answer?,00:12:56
ahgrtdf,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
ahgrtdf,99,tutor,Can you talk me through how you got that answer?,00:13:12
ahgrtdf,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
ahgrtdf,101,tutor,Can you talk me through how you got that answer?,00:13:28
ahgrtdf,102,student,Maybe I should compare them as decimals first.,00:13:36
ahgrtdf,103,tutor,What do you notice about these two numbers?,00:13:44
ahgrtdf,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
ahgrtdf,105,tutor,Can you talk me through how you got that answer?,00:14:00
ahgrtdf,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
ahgrtdf,107,tutor,Can you talk me through how you got that answer?,00:14:16
ahgrtdf,108,student,75.,00:14:24
ahgrtdf,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
ahgrtdf,110,student,Maybe I should compare them as decimals first.,00:14:40
ahgrtdf,111,tutor,Remember what we said about the denominator. What happens here?,00:14:48
ahgrtdf,112,student,I'm not sure. Is it because 10 has one zero?,00:14:56
ahgrtdf,113,tutor,Can you talk me through how you got that answer?,00:15:04
ahgrtdf,114,student,"I would divide it by 100, so the answer is 3.45.",00:15:12
ahgrtdf,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
ahgrtdf,116,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:28
ahgrtdf,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
ahgrtdf,118,student,Half?,00:15:44
ahgrtdf,119,tutor,"Good thinking. Now, is that answer reasonable?",00:15:52
ahgrtdf,120,student,I'm not sure. Is it because 10 has one zero?,00:16:00
ahgrtdf,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
ahgrtdf,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
ahgrtdf,123,tutor,Can you talk me through how you got that answer?,00:16:24
ahgrtdf,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
ahgrtdf,125,tutor,What do you notice about these two numbers?,00:16:40
ahgrtdf,126,student,I think we need to make the bottom numbers the same before we add.,00:16:48
ahgrtdf,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
ahgrtdf,128,student,I think we need to make the bottom numbers the same before we add.,00:17:04
ahgrtdf,129,tutor,Uh-huh. And what would you do next?,00:17:12
ahgrtdf,130,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:20
ahgrtdf,131,tutor,Uh-huh. And what would you do next?,00:17:28
ahgrtdf,132,student,300?,00:17:36
ahgrtdf,133,tutor,Uh-huh. And what would you do next?,00:17:44
ahgrtdf,134,student,"I would divide it by 100, so the answer is 3.45.",00:17:52
ahgrtdf,135,tutor,Uh-huh. And what would you do next?,00:18:00
ahgrtdf,136,student,Maybe I should compare them as decimals first.,00:18:08
ahgrtdf,137,tutor,What do you notice about these two numbers?,00:18:16
ahgrtdf,138,student,Yes,00:18:24
ahgrtdf,139,tutor,Let's try a similar one. What is 30 times 4?,00:18:32
ahgrtdf,140,student,I think we need to make the bottom numbers the same before we add.,00:18:40
ahgrtdf,141,tutor,So let me ask you first. Do you know what a fact family is?,00:18:48
ahgrtdf,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
ahgrtdf,143,tutor,Uh-huh. And what would you do next?,00:19:04
ahgrtdf,144,student,I'm not sure. Is it because 10 has one zero?,00:19:12
ahgrtdf,145,tutor,Can you talk me through how you got that answer?,00:19:20
ahgrtdf,146,student,I think we need to make the bottom numbers the same before we add.,00:19:28
ahgrtdf,147,tutor,What do you notice about these two numbers?,00:19:36
ahgrtdf,148,student,75.,00:19:44
ahgrtdf,149,tutor,Let's try a similar one. What is 30 times 4?,00:19:52
ahgrtdf,150,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:00
ahgrtdf,151,tutor,So let me ask you first. Do you know what a fact family is?,00:20:08
ahgrtdf,152,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:16
