session_id,utterance_id,role,content,timestamp
abluuvs,0,background,[unclear],00:00:00
abluuvs,1,tutor,"Hello, are you ready to get started today?",00:00:08
abluuvs,2,student,"Yes, I think so.",00:00:16
abluuvs,3,tutor,What do you notice about these two numbers?,00:00:24
abluuvs,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
abluuvs,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
abluuvs,6,student,Maybe I should compare them as decimals first.,00:00:48
abluuvs,7,tutor,Uh-huh. And what would you do next?,00:00:56
abluuvs,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
abluuvs,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
abluuvs,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
abluuvs,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
abluuvs,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
abluuvs,13,tutor,Uh-huh. And what would you do next?,00:01:44
abluuvs,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
abluuvs,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
abluuvs,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
abluuvs,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
abluuvs,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
abluuvs,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
abluuvs,20,student,Maybe I should compare them as decimals first.,00:02:40
abluuvs,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
abluuvs,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
abluuvs,23,tutor,What do you notice about these two numbers?,00:03:04
abluuvs,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
abluuvs,25,tutor,What do you notice about these two numbers?,00:03:20
abluuvs,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
abluuvs,27,tutor,Uh-huh. And what would you do next?,00:03:36
abluuvs,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
abluuvs,29,tutor,Uh-huh. And what would you do next?,00:03:52
abluuvs,30,student,Maybe I should compare them as decimals first.,00:04:00
abluuvs,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
abluuvs,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
abluuvs,33,tutor,Uh-huh. And what would you do next?,00:04:24
abluuvs,34,student,Okay,00:04:32
abluuvs,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
abluuvs,36,student,Maybe I should compare them as decimals first.,00:04:48
abluuvs,37,tutor,Can you talk me through how you got that answer?,00:04:56
abluuvs,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
abluuvs,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
abluuvs,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
abluuvs,41,tutor,Uh-huh. And what would you do next?,00:05:28
abluuvs,42,student,Maybe I should compare them as decimals first.,00:05:36
abluuvs,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
abluuvs,44,student,No,00:05:52
abluuvs,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
abluuvs,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
abluuvs,47,tutor,Uh-huh. And what would you do next?,00:06:16
abluuvs,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
abluuvs,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
abluuvs,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
abluuvs,51,tutor,Uh-huh. And what would you do next?,00:06:48
abluuvs,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
abluuvs,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
abluuvs,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
abluuvs,55,tutor,Uh-huh. And what would you do next?,00:07:20
abluuvs,56,student,Yes,00:07:28
abluuvs,57,tutor,Uh-huh. And what would you do next?,00:07:36
abluuvs,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
abluuvs,59,tutor,Can you talk me through how you got that answer?,00:07:52
abluuvs,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
abluuvs,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
abluuvs,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
abluuvs,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
abluuvs,64,student,Yes,00:08:32
abluuvs,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
abluuvs,66,student,300?,00:08:48
abluuvs,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
abluuvs,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
abluuvs,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
abluuvs,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
abluuvs,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
abluuvs,72,student,Maybe I should compare them as decimals first.,00:09:36
abluuvs,73,tutor,Uh-huh. And what would you do next?,00:09:44
abluuvs,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
abluuvs,75,tutor,What do you notice about these two numbers?,00:10:00
abluuvs,76,student,No,00:10:08
abluuvs,77,tutor,Uh-huh. And what would you do next?,00:10:16
abluuvs,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
abluuvs,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
abluuvs,80,student,Yes,00:10:40
abluuvs,81,tutor,Uh-huh. And what would you do next?,00:10:48
abluuvs,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
abluuvs,83,tutor,What do you notice about these two numbers?,00:11:04
abluuvs,84,student,Okay,00:11:12
abluuvs,85,tutor,Uh-huh. And what would you do next?,00:11:20
abluuvs,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
abluuvs,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
abluuvs,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
abluuvs,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
abluuvs,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
abluuvs,91,tutor,Uh-huh. And what would you do next?,00:12:08
abluuvs,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
abluuvs,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
abluuvs,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
abluuvs,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
abluuvs,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
abluuvs,97,tutor,What do you notice about these two numbers?,00:12:56
abluuvs,98,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:04
abluuvs,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
abluuvs,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
abluuvs,101,tutor,Uh-huh. And what would you do next?,00:13:28
abluuvs,102,student,No,00:13:36
abluuvs,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
abluuvs,104,student,6?,00:13:52
abluuvs,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
abluuvs,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
abluuvs,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
abluuvs,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
abluuvs,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
abluuvs,110,student,I'm not sure. Is it because 10 has one zero?,00:14:40
abluuvs,111,tutor,Can you talk me through how you got that answer?,00:14:48
abluuvs,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
abluuvs,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
abluuvs,114,student,6?,00:15:12
abluuvs,115,tutor,Let's try a similar one. What is 30 times 4?,00:15:20
abluuvs,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
abluuvs,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
abluuvs,118,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:44
abluuvs,119,tutor,What do you notice about these two numbers?,00:15:52
abluuvs,120,student,Yes,00:16:00
abluuvs,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
abluuvs,122,student,I'm not sure. Is it because 10 has one zero?,00:16:16
abluuvs,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
abluuvs,124,student,No,00:16:32
abluuvs,125,tutor,Uh-huh. And what would you do next?,00:16:40
abluuvs,126,student,"I would divide it by 100, so the answer is 3.45.",00:16:48
abluuvs,127,tutor,Remember what we said about the denominator. What happens here?,00:16:56
abluuvs,128,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:04
abluuvs,129,tutor,Remember what we said about the denominator. What happens here?,00:17:12
abluuvs,130,student,Maybe I should compare them as decimals first.,00:17:20
abluuvs,131,tutor,Uh-huh. And what would you do next?,00:17:28
abluuvs,132,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:36
abluuvs,133,tutor,So let me ask you first. Do you know what a fact family is?,00:17:44
abluuvs,134,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:52
abluuvs,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
abluuvs,136,student,6?,00:18:08
abluuvs,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
abluuvs,138,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:24
abluuvs,139,tutor,What do you notice about these two numbers?,00:18:32
abluuvs,140,student,I think we need to make the bottom numbers the same before we add.,00:18:40
abluuvs,141,tutor,Uh-huh. And what would you do next?,00:18:48
abluuvs,142,student,Maybe I should compare them as decimals first.,00:18:56
abluuvs,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
abluuvs,144,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:12
abluuvs,145,tutor,Can you talk me through how you got that answer?,00:19:20
abluuvs,146,student,Maybe I should compare them as decimals first.,00:19:28
abluuvs,147,tutor,Remember what we said about the denominator. What happens here?,00:19:36
