session_id,utterance_id,role,content,timestamp
emhmtxk,0,background,[unclear],00:00:00
emhmtxk,1,tutor,"Hello, are you ready to get started today?",00:00:08
emhmtxk,2,student,"Yes, I think so.",00:00:16
emhmtxk,3,tutor,Uh-huh. And what would you do next?,00:00:24
emhmtxk,4,student,Okay,00:00:32
emhmtxk,5,tutor,Uh-huh. And what would you do next?,00:00:40
emhmtxk,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
emhmtxk,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
emhmtxk,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
emhmtxk,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
emhmtxk,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
emhmtxk,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
emhmtxk,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
emhmtxk,13,tutor,Can you talk me through how you got that answer?,00:01:44
emhmtxk,14,student,Is it 4?,00:01:52
emhmtxk,15,tutor,Uh-huh. And what would you do next?,00:02:00
emhmtxk,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
emhmtxk,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
emhmtxk,18,student,Maybe I should compare them as decimals first.,00:02:24
emhmtxk,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
emhmtxk,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
emhmtxk,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
emhmtxk,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
emhmtxk,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
emhmtxk,24,student,Maybe I should compare them as decimals first.,00:03:12
emhmtxk,25,tutor,Can you talk me through how you got that answer?,00:03:20
emhmtxk,26,student,300?,00:03:28
emhmtxk,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
emhmtxk,28,student,Maybe I should compare them as decimals first.,00:03:44
emhmtxk,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
emhmtxk,30,student,Okay,00:04:00
emhmtxk,31,tutor,Can you talk me through how you got that answer?,00:04:08
emhmtxk,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
emhmtxk,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
emhmtxk,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
emhmtxk,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
emhmtxk,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
emhmtxk,37,tutor,Can you talk me through how you got that answer?,00:04:56
emhmtxk,38,student,Is it 4?,00:05:04
emhmtxk,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
emhmtxk,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
emhmtxk,41,tutor,Can you talk me through how you got that answer?,00:05:28
emhmtxk,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
emhmtxk,43,tutor,Uh-huh. And what would you do next?,00:05:44
emhmtxk,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
emhmtxk,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
emhmtxk,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
emhmtxk,47,tutor,What do you notice about these two numbers?,00:06:16
emhmtxk,48,student,No,00:06:24
emhmtxk,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
emhmtxk,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
emhmtxk,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
emhmtxk,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
emhmtxk,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
emhmtxk,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
emhmtxk,55,tutor,Can you talk me through how you got that answer?,00:07:20
emhmtxk,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
emhmtxk,57,tutor,What do you notice about these two numbers?,00:07:36
emhmtxk,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
emhmtxk,59,tutor,Can you talk me through how you got that answer?,00:07:52
emhmtxk,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
emhmtxk,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
emhmtxk,62,student,75.,00:08:16
emhmtxk,63,tutor,What do you notice about these two numbers?,00:08:24
emhmtxk,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
emhmtxk,65,tutor,Can you talk me through how you got that answer?,00:08:40
emhmtxk,66,student,No,00:08:48
emhmtxk,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
emhmtxk,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
emhmtxk,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
emhmtxk,70,student,Maybe I should compare them as decimals first.,00:09:20
emhmtxk,71,tutor,What do you notice about these two numbers?,00:09:28
emhmtxk,72,student,6?,00:09:36
emhmtxk,73,tutor,Can you talk me through how you got that answer?,00:09:44
emhmtxk,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
emhmtxk,75,tutor,Uh-huh. And what would you do next?,00:10:00
emhmtxk,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
emhmtxk,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
emhmtxk,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
emhmtxk,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
emhmtxk,80,student,Okay,00:10:40
emhmtxk,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
emhmtxk,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
emhmtxk,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
emhmtxk,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
emhmtxk,85,tutor,Uh-huh. And what would you do next?,00:11:20
emhmtxk,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
emhmtxk,87,tutor,Can you talk me through how you got that answer?,00:11:36
emhmtxk,88,student,Okay,00:11:44
emhmtxk,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
emhmtxk,90,student,Yes,00:12:00
emhmtxk,91,tutor,What do you notice about these two numbers?,00:12:08
emhmtxk,92,student,Maybe I should compare them as decimals first.,00:12:16
emhmtxk,93,tutor,Can you talk me through how you got that answer?,00:12:24
emhmtxk,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
emhmtxk,95,tutor,What do you notice about these two numbers?,00:12:40
emhmtxk,96,student,12.,00:12:48
emhmtxk,97,tutor,What do you notice about these two numbers?,00:12:56
emhmtxk,98,student,300?,00:13:04
emhmtxk,99,tutor,So let me ask you first. Do you know what a fact family is?,00:13:12
