session_id,utterance_id,role,content,timestamp
qawnrat,0,background,[unclear],00:00:00
qawnrat,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
qawnrat,2,student,"Yes, I think so.",00:00:16
qawnrat,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
qawnrat,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
qawnrat,5,tutor,Can you talk me through how you got that answer?,00:00:40
qawnrat,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
qawnrat,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
qawnrat,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
qawnrat,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
qawnrat,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
qawnrat,11,tutor,Uh-huh. And what would you do next?,00:01:28
qawnrat,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
qawnrat,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
qawnrat,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
qawnrat,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
qawnrat,16,student,No,00:02:08
qawnrat,17,tutor,Uh-huh. And what would you do next?,00:02:16
qawnrat,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
qawnrat,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
qawnrat,20,student,Okay,00:02:40
qawnrat,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
qawnrat,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
qawnrat,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
qawnrat,24,student,Is it 4?,00:03:12
qawnrat,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
qawnrat,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
qawnrat,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
qawnrat,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
qawnrat,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
qawnrat,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
qawnrat,31,tutor,Uh-huh. And what would you do next?,00:04:08
qawnrat,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
qawnrat,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
qawnrat,34,student,300?,00:04:32
qawnrat,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
qawnrat,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
qawnrat,37,tutor,What do you notice about these two numbers?,00:04:56
qawnrat,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
qawnrat,39,tutor,What do you notice about these two numbers?,00:05:12
qawnrat,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
qawnrat,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
qawnrat,42,student,Maybe I should compare them as decimals first.,00:05:36
qawnrat,43,tutor,Uh-huh. And what would you do next?,00:05:44
qawnrat,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
qawnrat,45,tutor,Can you talk me through how you got that answer?,00:06:00
qawnrat,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
qawnrat,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
qawnrat,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
qawnrat,49,tutor,Uh-huh. And what would you do next?,00:06:32
qawnrat,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
qawnrat,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
qawnrat,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
qawnrat,53,tutor,What do you notice about these two numbers?,00:07:04
qawnrat,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
qawnrat,55,tutor,Can you talk me through how you got that answer?,00:07:20
qawnrat,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
qawnrat,57,tutor,Can you talk me through how you got that answer?,00:07:36
qawnrat,58,student,Half?,00:07:44
qawnrat,59,tutor,Uh-huh. And what would you do next?,00:07:52
qawnrat,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
qawnrat,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
qawnrat,62,student,Half?,00:08:16
qawnrat,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
qawnrat,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
qawnrat,65,tutor,Uh-huh. And what would you do next?,00:08:40
qawnrat,66,student,Yes,00:08:48
qawnrat,67,tutor,Can you talk me through how you got that answer?,00:08:56
qawnrat,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
qawnrat,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
qawnrat,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
qawnrat,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
qawnrat,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
qawnrat,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
qawnrat,74,student,Maybe I should compare them as decimals first.,00:09:52
qawnrat,75,tutor,Can you talk me through how you got that answer?,00:10:00
qawnrat,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
qawnrat,77,tutor,Can you talk me through how you got that answer?,00:10:16
qawnrat,78,student,Maybe I should compare them as decimals first.,00:10:24
qawnrat,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
qawnrat,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
qawnrat,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
qawnrat,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
qawnrat,83,tutor,Can you talk me through how you got that answer?,00:11:04
qawnrat,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
qawnrat,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
qawnrat,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
qawnrat,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
qawnrat,88,student,Maybe I should compare them as decimals first.,00:11:44
qawnrat,89,tutor,Can you talk me through how you got that answer?,00:11:52
qawnrat,90,student,Half?,00:12:00
