session_id,utterance_id,role,content,timestamp
xfqrfay,0,background,[unclear],00:00:00
xfqrfay,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
xfqrfay,2,student,"Yes, I think so.",00:00:16
xfqrfay,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
xfqrfay,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
xfqrfay,5,tutor,What do you notice about these two numbers?,00:00:40
xfqrfay,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
xfqrfay,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
xfqrfay,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
xfqrfay,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
xfqrfay,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
xfqrfay,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
xfqrfay,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
xfqrfay,13,tutor,Uh-huh. And what would you do next?,00:01:44
xfqrfay,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
xfqrfay,15,tutor,Can you talk me through how you got that answer?,00:02:00
xfqrfay,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
xfqrfay,17,tutor,Uh-huh. And what would you do next?,00:02:16
xfqrfay,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
xfqrfay,19,tutor,What do you notice about these two numbers?,00:02:32
xfqrfay,20,student,Maybe I should compare them as decimals first.,00:02:40
xfqrfay,21,tutor,What do you notice about these two numbers?,00:02:48
xfqrfay,22,student,Yes,00:02:56
xfqrfay,23,tutor,What do you notice about these two numbers?,00:03:04
xfqrfay,24,student,Maybe I should compare them as decimals first.,00:03:12
xfqrfay,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
xfqrfay,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
xfqrfay,27,tutor,What do you notice about these two numbers?,00:03:36
xfqrfay,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
xfqrfay,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
xfqrfay,30,student,Maybe I should compare them as decimals first.,00:04:00
xfqrfay,31,tutor,What do you notice about these two numbers?,00:04:08
xfqrfay,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
xfqrfay,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
xfqrfay,34,student,6?,00:04:32
xfqrfay,35,tutor,What do you notice about these two numbers?,00:04:40
xfqrfay,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
xfqrfay,37,tutor,What do you notice about these two numbers?,00:04:56
xfqrfay,38,student,Maybe I should compare them as decimals first.,00:05:04
xfqrfay,39,tutor,Can you talk me through how you got that answer?,00:05:12
xfqrfay,40,student,Maybe I should compare them as decimals first.,00:05:20
