session_id,utterance_id,role,content,timestamp
pwvcpju,0,background,[unclear],00:00:00
pwvcpju,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
pwvcpju,2,student,"Yes, I think so.",00:00:16
pwvcpju,3,tutor,Uh-huh. And what would you do next?,00:00:24
pwvcpju,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
pwvcpju,5,tutor,What do you notice about these two numbers?,00:00:40
pwvcpju,6,student,75.,00:00:48
pwvcpju,7,tutor,Can you talk me through how you got that answer?,00:00:56
pwvcpju,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
pwvcpju,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
pwvcpju,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
pwvcpju,11,tutor,Can you talk me through how you got that answer?,00:01:28
pwvcpju,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
pwvcpju,13,tutor,Can you talk me through how you got that answer?,00:01:44
pwvcpju,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
pwvcpju,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
pwvcpju,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
pwvcpju,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
pwvcpju,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
pwvcpju,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
pwvcpju,20,student,Okay,00:02:40
pwvcpju,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
pwvcpju,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
pwvcpju,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
pwvcpju,24,student,Maybe I should compare them as decimals first.,00:03:12
pwvcpju,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
pwvcpju,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
pwvcpju,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
pwvcpju,28,student,Maybe I should compare them as decimals first.,00:03:44
pwvcpju,29,tutor,What do you notice about these two numbers?,00:03:52
pwvcpju,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
pwvcpju,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
pwvcpju,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
pwvcpju,33,tutor,Uh-huh. And what would you do next?,00:04:24
pwvcpju,34,student,Yes,00:04:32
pwvcpju,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
pwvcpju,36,student,300?,00:04:48
pwvcpju,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
pwvcpju,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
pwvcpju,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
pwvcpju,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
pwvcpju,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
pwvcpju,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
pwvcpju,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
pwvcpju,44,student,Maybe I should compare them as decimals first.,00:05:52
pwvcpju,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
pwvcpju,46,student,75.,00:06:08
pwvcpju,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
pwvcpju,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
pwvcpju,49,tutor,Can you talk me through how you got that answer?,00:06:32
pwvcpju,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
pwvcpju,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
pwvcpju,52,student,Maybe I should compare them as decimals first.,00:06:56
pwvcpju,53,tutor,What do you notice about these two numbers?,00:07:04
pwvcpju,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
pwvcpju,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
pwvcpju,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
pwvcpju,57,tutor,Uh-huh. And what would you do next?,00:07:36
pwvcpju,58,student,Maybe I should compare them as decimals first.,00:07:44
pwvcpju,59,tutor,Can you talk me through how you got that answer?,00:07:52
pwvcpju,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
pwvcpju,61,tutor,Can you talk me through how you got that answer?,00:08:08
pwvcpju,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
pwvcpju,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
pwvcpju,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
pwvcpju,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
pwvcpju,66,student,Yes,00:08:48
pwvcpju,67,tutor,Uh-huh. And what would you do next?,00:08:56
pwvcpju,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
pwvcpju,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
pwvcpju,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
pwvcpju,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
pwvcpju,72,student,Okay,00:09:36
pwvcpju,73,tutor,What do you notice about these two numbers?,00:09:44
pwvcpju,74,student,12.,00:09:52
pwvcpju,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
pwvcpju,76,student,Maybe I should compare them as decimals first.,00:10:08
pwvcpju,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
pwvcpju,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
pwvcpju,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
pwvcpju,80,student,12.,00:10:40
pwvcpju,81,tutor,What do you notice about these two numbers?,00:10:48
pwvcpju,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
pwvcpju,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
pwvcpju,84,student,Maybe I should compare them as decimals first.,00:11:12
pwvcpju,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
pwvcpju,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
pwvcpju,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
pwvcpju,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
pwvcpju,89,tutor,Uh-huh. And what would you do next?,00:11:52
pwvcpju,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
pwvcpju,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
pwvcpju,92,student,Maybe I should compare them as decimals first.,00:12:16
pwvcpju,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
pwvcpju,94,student,12.,00:12:32
pwvcpju,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
pwvcpju,96,student,300?,00:12:48
pwvcpju,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
pwvcpju,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
pwvcpju,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
pwvcpju,100,student,300?,00:13:20
pwvcpju,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
pwvcpju,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
pwvcpju,103,tutor,Uh-huh. And what would you do next?,00:13:44
pwvcpju,104,student,I think we need to make the bottom numbers the same before we add.,00:13:52
pwvcpju,105,tutor,What do you notice about these two numbers?,00:14:00
pwvcpju,106,student,Half?,00:14:08
pwvcpju,107,tutor,Uh-huh. And what would you do next?,00:14:16
pwvcpju,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
pwvcpju,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
pwvcpju,110,student,"I would divide it by 100, so the answer is 3.45.",00:14:40
pwvcpju,111,tutor,What do you notice about these two numbers?,00:14:48
pwvcpju,112,student,300?,00:14:56
pwvcpju,113,tutor,Let's try a similar one. What is 30 times 4?,00:15:04
pwvcpju,114,student,"I would divide it by 100, so the answer is 3.45.",00:15:12
pwvcpju,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
pwvcpju,116,student,Maybe I should compare them as decimals first.,00:15:28
pwvcpju,117,tutor,Uh-huh. And what would you do next?,00:15:36
pwvcpju,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
pwvcpju,119,tutor,What do you notice about these two numbers?,00:15:52
pwvcpju,120,student,75.,00:16:00
pwvcpju,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
pwvcpju,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
pwvcpju,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
pwvcpju,124,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:32
pwvcpju,125,tutor,Uh-huh. And what would you do next?,00:16:40
pwvcpju,126,student,Is it 4?,00:16:48
pwvcpju,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
pwvcpju,128,student,Maybe I should compare them as decimals first.,00:17:04
pwvcpju,129,tutor,What do you notice about these two numbers?,00:17:12
pwvcpju,130,student,I'm not sure. Is it because 10 has one zero?,00:17:20
pwvcpju,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
pwvcpju,132,student,Yes,00:17:36
pwvcpju,133,tutor,"Good thinking. Now, is that answer reasonable?",00:17:44
pwvcpju,134,student,I think we need to make the bottom numbers the same before we add.,00:17:52
pwvcpju,135,tutor,What do you notice about these two numbers?,00:18:00
pwvcpju,136,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:08
pwvcpju,137,tutor,So let me ask you first. Do you know what a fact family is?,00:18:16
pwvcpju,138,student,No,00:18:24
pwvcpju,139,tutor,Can you talk me through how you got that answer?,00:18:32
pwvcpju,140,student,I think we need to make the bottom numbers the same before we add.,00:18:40
pwvcpju,141,tutor,Let's try a similar one. What is 30 times 4?,00:18:48
pwvcpju,142,student,"I would divide it by 100, so the answer is 3.45.",00:18:56
pwvcpju,143,tutor,What do you notice about these two numbers?,00:19:04
pwvcpju,144,student,"I would divide it by 100, so the answer is 3.45.",00:19:12
pwvcpju,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
pwvcpju,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
pwvcpju,147,tutor,Uh-huh. And what would you do next?,00:19:36
pwvcpju,148,student,I'm not sure. Is it because 10 has one zero?,00:19:44
pwvcpju,149,tutor,What do you notice about these two numbers?,00:19:52
pwvcpju,150,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:00
pwvcpju,151,tutor,"Good thinking. Now, is that answer reasonable?",00:20:08
pwvcpju,152,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:16
pwvcpju,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
pwvcpju,154,student,I'm not sure. Is it because 10 has one zero?,00:20:32
pwvcpju,155,tutor,Remember what we said about the denominator. What happens here?,00:20:40
pwvcpju,156,student,Okay,00:20:48
pwvcpju,157,tutor,Let's try a similar one. What is 30 times 4?,00:20:56
pwvcpju,158,student,Maybe I should compare them as decimals first.,00:21:04
pwvcpju,159,tutor,Remember what we said about the denominator. What happens here?,00:21:12
pwvcpju,160,student,I'm not sure. Is it because 10 has one zero?,00:21:20
pwvcpju,161,tutor,Let's try a similar one. What is 30 times 4?,00:21:28
pwvcpju,162,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:36
pwvcpju,163,tutor,Uh-huh. And what would you do next?,00:21:44
pwvcpju,164,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:52
pwvcpju,165,tutor,What do you notice about these two numbers?,00:22:00
pwvcpju,166,student,I think we need to make the bottom numbers the same before we add.,00:22:08
pwvcpju,167,tutor,What do you notice about these two numbers?,00:22:16
pwvcpju,168,student,I'm not sure. Is it because 10 has one zero?,00:22:24
pwvcpju,169,tutor,So let me ask you first. Do you know what a fact family is?,00:22:32
pwvcpju,170,student,Maybe I should compare them as decimals first.,00:22:40
pwvcpju,171,tutor,What do you notice about these two numbers?,00:22:48
pwvcpju,172,student,Maybe I should compare them as decimals first.,00:22:56
pwvcpju,173,tutor,Let's try a similar one. What is 30 times 4?,00:23:04
pwvcpju,174,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:23:12
pwvcpju,175,tutor,Remember what we said about the denominator. What happens here?,00:23:20
pwvcpju,176,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:23:28
pwvcpju,177,tutor,So let me ask you first. Do you know what a fact family is?,00:23:36
pwvcpju,178,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:23:44
pwvcpju,179,tutor,"Good thinking. Now, is that answer reasonable?",00:23:52
pwvcpju,180,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:24:00
pwvcpju,181,tutor,Uh-huh. And what would you do next?,00:24:08
pwvcpju,182,student,I think we need to make the bottom numbers the same before we add.,00:24:16
pwvcpju,183,tutor,Remember what we said about the denominator. What happens here?,00:24:24
pwvcpju,184,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:32
pwvcpju,185,tutor,Let's try a similar one. What is 30 times 4?,00:24:40
pwvcpju,186,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:48
pwvcpju,187,tutor,Uh-huh. And what would you do next?,00:24:56
pwvcpju,188,student,I'm not sure. Is it because 10 has one zero?,00:25:04
pwvcpju,189,tutor,Can you talk me through how you got that answer?,00:25:12
pwvcpju,190,student,Yes,00:25:20
pwvcpju,191,tutor,"Good thinking. Now, is that answer reasonable?",00:25:28
pwvcpju,192,student,Yes,00:25:36
pwvcpju,193,tutor,Uh-huh. And what would you do next?,00:25:44
pwvcpju,194,student,I think we need to make the bottom numbers the same before we add.,00:25:52
pwvcpju,195,tutor,Let's try a similar one. What is 30 times 4?,00:26:00
pwvcpju,196,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:26:08
