session_id,utterance_id,role,content,timestamp
pfckpfk,0,background,[unclear],00:00:00
pfckpfk,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
pfckpfk,2,student,"Yes, I think so.",00:00:16
pfckpfk,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
pfckpfk,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
pfckpfk,5,tutor,Can you talk me through how you got that answer?,00:00:40
pfckpfk,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
pfckpfk,7,tutor,Can you talk me through how you got that answer?,00:00:56
pfckpfk,8,student,Maybe I should compare them as decimals first.,00:01:04
pfckpfk,9,tutor,Uh-huh. And what would you do next?,00:01:12
pfckpfk,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
pfckpfk,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
pfckpfk,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
pfckpfk,13,tutor,What do you notice about these two numbers?,00:01:44
pfckpfk,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
pfckpfk,15,tutor,Can you talk me through how you got that answer?,00:02:00
pfckpfk,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
pfckpfk,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
pfckpfk,18,student,6?,00:02:24
pfckpfk,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
pfckpfk,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
pfckpfk,21,tutor,Uh-huh. And what would you do next?,00:02:48
pfckpfk,22,student,Maybe I should compare them as decimals first.,00:02:56
pfckpfk,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
pfckpfk,24,student,300?,00:03:12
pfckpfk,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
pfckpfk,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
pfckpfk,27,tutor,What do you notice about these two numbers?,00:03:36
pfckpfk,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
pfckpfk,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
pfckpfk,30,student,Half?,00:04:00
pfckpfk,31,tutor,What do you notice about these two numbers?,00:04:08
pfckpfk,32,student,Yes,00:04:16
pfckpfk,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
pfckpfk,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
pfckpfk,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
pfckpfk,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
pfckpfk,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
pfckpfk,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
pfckpfk,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
pfckpfk,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
pfckpfk,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
pfckpfk,42,student,Half?,00:05:36
pfckpfk,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
pfckpfk,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
pfckpfk,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
pfckpfk,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
pfckpfk,47,tutor,Uh-huh. And what would you do next?,00:06:16
pfckpfk,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
pfckpfk,49,tutor,What do you notice about these two numbers?,00:06:32
pfckpfk,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
pfckpfk,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
pfckpfk,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
pfckpfk,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
pfckpfk,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
pfckpfk,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
pfckpfk,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
pfckpfk,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
pfckpfk,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
pfckpfk,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
pfckpfk,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
pfckpfk,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
pfckpfk,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
pfckpfk,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
pfckpfk,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
pfckpfk,65,tutor,Uh-huh. And what would you do next?,00:08:40
pfckpfk,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
pfckpfk,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
pfckpfk,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
pfckpfk,69,tutor,Uh-huh. And what would you do next?,00:09:12
pfckpfk,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
pfckpfk,71,tutor,Can you talk me through how you got that answer?,00:09:28
pfckpfk,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
pfckpfk,73,tutor,What do you notice about these two numbers?,00:09:44
pfckpfk,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
pfckpfk,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
pfckpfk,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
pfckpfk,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
pfckpfk,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
pfckpfk,79,tutor,Can you talk me through how you got that answer?,00:10:32
pfckpfk,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
pfckpfk,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
pfckpfk,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
pfckpfk,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
pfckpfk,84,student,Maybe I should compare them as decimals first.,00:11:12
pfckpfk,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
pfckpfk,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
pfckpfk,87,tutor,Uh-huh. And what would you do next?,00:11:36
pfckpfk,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
pfckpfk,89,tutor,Can you talk me through how you got that answer?,00:11:52
pfckpfk,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
pfckpfk,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
pfckpfk,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
pfckpfk,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
pfckpfk,94,student,"I would divide it by 100, so the answer is 3.45.",00:12:32
pfckpfk,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
pfckpfk,96,student,No,00:12:48
pfckpfk,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
pfckpfk,98,student,Yes,00:13:04
pfckpfk,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
pfckpfk,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
pfckpfk,101,tutor,What do you notice about these two numbers?,00:13:28
pfckpfk,102,student,6?,00:13:36
pfckpfk,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
pfckpfk,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
pfckpfk,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
pfckpfk,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
pfckpfk,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
pfckpfk,108,student,Maybe I should compare them as decimals first.,00:14:24
pfckpfk,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
pfckpfk,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
pfckpfk,111,tutor,What do you notice about these two numbers?,00:14:48
pfckpfk,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
pfckpfk,113,tutor,Can you talk me through how you got that answer?,00:15:04
pfckpfk,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
pfckpfk,115,tutor,Uh-huh. And what would you do next?,00:15:20
pfckpfk,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
pfckpfk,117,tutor,Can you talk me through how you got that answer?,00:15:36
pfckpfk,118,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:44
pfckpfk,119,tutor,What do you notice about these two numbers?,00:15:52
pfckpfk,120,student,6?,00:16:00
pfckpfk,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
pfckpfk,122,student,6?,00:16:16
pfckpfk,123,tutor,Uh-huh. And what would you do next?,00:16:24
pfckpfk,124,student,Okay,00:16:32
pfckpfk,125,tutor,Let's try a similar one. What is 30 times 4?,00:16:40
pfckpfk,126,student,Half?,00:16:48
pfckpfk,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
pfckpfk,128,student,I think we need to make the bottom numbers the same before we add.,00:17:04
pfckpfk,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
pfckpfk,130,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:20
pfckpfk,131,tutor,Uh-huh. And what would you do next?,00:17:28
