session_id,utterance_id,role,content,timestamp
orkaqnn,0,background,[unclear],00:00:00
orkaqnn,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
orkaqnn,2,student,"Yes, I think so.",00:00:16
orkaqnn,3,tutor,Uh-huh. And what would you do next?,00:00:24
orkaqnn,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
orkaqnn,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
orkaqnn,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
orkaqnn,7,tutor,What do you notice about these two numbers?,00:00:56
orkaqnn,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
orkaqnn,9,tutor,What do you notice about these two numbers?,00:01:12
orkaqnn,10,student,Yes,00:01:20
orkaqnn,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
orkaqnn,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
orkaqnn,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
orkaqnn,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
orkaqnn,15,tutor,Uh-huh. And what would you do next?,00:02:00
orkaqnn,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
orkaqnn,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
orkaqnn,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
orkaqnn,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
orkaqnn,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
orkaqnn,21,tutor,Can you talk me through how you got that answer?,00:02:48
orkaqnn,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
orkaqnn,23,tutor,What do you notice about these two numbers?,00:03:04
orkaqnn,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
orkaqnn,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
orkaqnn,26,student,Maybe I should compare them as decimals first.,00:03:28
orkaqnn,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
orkaqnn,28,student,300?,00:03:44
orkaqnn,29,tutor,Can you talk me through how you got that answer?,00:03:52
orkaqnn,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
orkaqnn,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
orkaqnn,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
orkaqnn,33,tutor,What do you notice about these two numbers?,00:04:24
orkaqnn,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
orkaqnn,35,tutor,Uh-huh. And what would you do next?,00:04:40
orkaqnn,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
orkaqnn,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
orkaqnn,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
orkaqnn,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
orkaqnn,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
orkaqnn,41,tutor,What do you notice about these two numbers?,00:05:28
orkaqnn,42,student,No,00:05:36
orkaqnn,43,tutor,Can you talk me through how you got that answer?,00:05:44
orkaqnn,44,student,12.,00:05:52
orkaqnn,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
orkaqnn,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
orkaqnn,47,tutor,Uh-huh. And what would you do next?,00:06:16
orkaqnn,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
orkaqnn,49,tutor,What do you notice about these two numbers?,00:06:32
orkaqnn,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
orkaqnn,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
orkaqnn,52,student,Maybe I should compare them as decimals first.,00:06:56
orkaqnn,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
orkaqnn,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
orkaqnn,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
orkaqnn,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
orkaqnn,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
orkaqnn,58,student,Is it 4?,00:07:44
orkaqnn,59,tutor,Can you talk me through how you got that answer?,00:07:52
orkaqnn,60,student,Maybe I should compare them as decimals first.,00:08:00
orkaqnn,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
orkaqnn,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
orkaqnn,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
orkaqnn,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
orkaqnn,65,tutor,Uh-huh. And what would you do next?,00:08:40
orkaqnn,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
orkaqnn,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
orkaqnn,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
orkaqnn,69,tutor,What do you notice about these two numbers?,00:09:12
orkaqnn,70,student,Is it 4?,00:09:20
orkaqnn,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
orkaqnn,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
orkaqnn,73,tutor,What do you notice about these two numbers?,00:09:44
orkaqnn,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
orkaqnn,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
orkaqnn,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
orkaqnn,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
orkaqnn,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
orkaqnn,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
orkaqnn,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
orkaqnn,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
orkaqnn,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
orkaqnn,83,tutor,What do you notice about these two numbers?,00:11:04
orkaqnn,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
orkaqnn,85,tutor,Can you talk me through how you got that answer?,00:11:20
orkaqnn,86,student,Maybe I should compare them as decimals first.,00:11:28
orkaqnn,87,tutor,What do you notice about these two numbers?,00:11:36
orkaqnn,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
orkaqnn,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
orkaqnn,90,student,300?,00:12:00
orkaqnn,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
orkaqnn,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
orkaqnn,93,tutor,What do you notice about these two numbers?,00:12:24
orkaqnn,94,student,300?,00:12:32
orkaqnn,95,tutor,Can you talk me through how you got that answer?,00:12:40
orkaqnn,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
orkaqnn,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
orkaqnn,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
orkaqnn,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
orkaqnn,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
orkaqnn,101,tutor,Uh-huh. And what would you do next?,00:13:28
orkaqnn,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
orkaqnn,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
orkaqnn,104,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:52
orkaqnn,105,tutor,Can you talk me through how you got that answer?,00:14:00
orkaqnn,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
orkaqnn,107,tutor,What do you notice about these two numbers?,00:14:16
orkaqnn,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
orkaqnn,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
orkaqnn,110,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:40
orkaqnn,111,tutor,Can you talk me through how you got that answer?,00:14:48
orkaqnn,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
orkaqnn,113,tutor,Uh-huh. And what would you do next?,00:15:04
orkaqnn,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
orkaqnn,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
orkaqnn,116,student,I'm not sure. Is it because 10 has one zero?,00:15:28
orkaqnn,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
orkaqnn,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
orkaqnn,119,tutor,Can you talk me through how you got that answer?,00:15:52
orkaqnn,120,student,"I would divide it by 100, so the answer is 3.45.",00:16:00
orkaqnn,121,tutor,What do you notice about these two numbers?,00:16:08
orkaqnn,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
orkaqnn,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
orkaqnn,124,student,Okay,00:16:32
orkaqnn,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
orkaqnn,126,student,I'm not sure. Is it because 10 has one zero?,00:16:48
orkaqnn,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
orkaqnn,128,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:04
orkaqnn,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
orkaqnn,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
orkaqnn,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
orkaqnn,132,student,12.,00:17:36
orkaqnn,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
orkaqnn,134,student,"I would divide it by 100, so the answer is 3.45.",00:17:52
orkaqnn,135,tutor,Can you talk me through how you got that answer?,00:18:00
orkaqnn,136,student,"I would divide it by 100, so the answer is 3.45.",00:18:08
orkaqnn,137,tutor,Uh-huh. And what would you do next?,00:18:16
orkaqnn,138,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:24
orkaqnn,139,tutor,Remember what we said about the denominator. What happens here?,00:18:32
orkaqnn,140,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:40
orkaqnn,141,tutor,So let me ask you first. Do you know what a fact family is?,00:18:48
orkaqnn,142,student,I'm not sure. Is it because 10 has one zero?,00:18:56
orkaqnn,143,tutor,"Good thinking. Now, is that answer reasonable?",00:19:04
orkaqnn,144,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:12
orkaqnn,145,tutor,What do you notice about these two numbers?,00:19:20
orkaqnn,146,student,"I would divide it by 100, so the answer is 3.45.",00:19:28
orkaqnn,147,tutor,Let's try a similar one. What is 30 times 4?,00:19:36
orkaqnn,148,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:44
orkaqnn,149,tutor,So let me ask you first. Do you know what a fact family is?,00:19:52
orkaqnn,150,student,75.,00:20:00
orkaqnn,151,tutor,Remember what we said about the denominator. What happens here?,00:20:08
orkaqnn,152,student,75.,00:20:16
orkaqnn,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
orkaqnn,154,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:32
orkaqnn,155,tutor,Can you talk me through how you got that answer?,00:20:40
orkaqnn,156,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:48
orkaqnn,157,tutor,Remember what we said about the denominator. What happens here?,00:20:56
orkaqnn,158,student,I think we need to make the bottom numbers the same before we add.,00:21:04
orkaqnn,159,tutor,"Good thinking. Now, is that answer reasonable?",00:21:12
orkaqnn,160,student,6?,00:21:20
orkaqnn,161,tutor,So let me ask you first. Do you know what a fact family is?,00:21:28
orkaqnn,162,student,I'm not sure. Is it because 10 has one zero?,00:21:36
orkaqnn,163,tutor,So let me ask you first. Do you know what a fact family is?,00:21:44
orkaqnn,164,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:52
orkaqnn,165,tutor,Can you talk me through how you got that answer?,00:22:00
orkaqnn,166,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:22:08
orkaqnn,167,tutor,Remember what we said about the denominator. What happens here?,00:22:16
