session_id,utterance_id,role,content,timestamp
cvlwnos,0,background,[unclear],00:00:00
cvlwnos,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
cvlwnos,2,student,"Yes, I think so.",00:00:16
cvlwnos,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
cvlwnos,4,student,300?,00:00:32
cvlwnos,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
cvlwnos,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
cvlwnos,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
cvlwnos,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
cvlwnos,9,tutor,What do you notice about these two numbers?,00:01:12
cvlwnos,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
cvlwnos,11,tutor,Uh-huh. And what would you do next?,00:01:28
cvlwnos,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
cvlwnos,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
cvlwnos,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
cvlwnos,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
cvlwnos,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
cvlwnos,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
cvlwnos,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
cvlwnos,19,tutor,Uh-huh. And what would you do next?,00:02:32
cvlwnos,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
cvlwnos,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
cvlwnos,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
cvlwnos,23,tutor,What do you notice about these two numbers?,00:03:04
cvlwnos,24,student,300?,00:03:12
cvlwnos,25,tutor,Can you talk me through how you got that answer?,00:03:20
cvlwnos,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
cvlwnos,27,tutor,What do you notice about these two numbers?,00:03:36
cvlwnos,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
cvlwnos,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
cvlwnos,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
cvlwnos,31,tutor,What do you notice about these two numbers?,00:04:08
cvlwnos,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
cvlwnos,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
cvlwnos,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
