session_id,utterance_id,role,content,timestamp
cbkriiw,0,background,[unclear],00:00:00
cbkriiw,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
cbkriiw,2,student,"Yes, I think so.",00:00:16
cbkriiw,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
cbkriiw,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
cbkriiw,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
cbkriiw,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
cbkriiw,7,tutor,What do you notice about these two numbers?,00:00:56
cbkriiw,8,student,Is it 4?,00:01:04
cbkriiw,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
cbkriiw,10,student,Maybe I should compare them as decimals first.,00:01:20
cbkriiw,11,tutor,Uh-huh. And what would you do next?,00:01:28
cbkriiw,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
cbkriiw,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
cbkriiw,14,student,Maybe I should compare them as decimals first.,00:01:52
cbkriiw,15,tutor,Uh-huh. And what would you do next?,00:02:00
cbkriiw,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
cbkriiw,17,tutor,What do you notice about these two numbers?,00:02:16
cbkriiw,18,student,300?,00:02:24
cbkriiw,19,tutor,What do you notice about these two numbers?,00:02:32
cbkriiw,20,student,Okay,00:02:40
cbkriiw,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
cbkriiw,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
cbkriiw,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
cbkriiw,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
cbkriiw,25,tutor,Can you talk me through how you got that answer?,00:03:20
cbkriiw,26,student,Half?,00:03:28
cbkriiw,27,tutor,Uh-huh. And what would you do next?,00:03:36
cbkriiw,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
cbkriiw,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
cbkriiw,30,student,75.,00:04:00
cbkriiw,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
cbkriiw,32,student,6?,00:04:16
cbkriiw,33,tutor,What do you notice about these two numbers?,00:04:24
cbkriiw,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
cbkriiw,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
cbkriiw,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
cbkriiw,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
cbkriiw,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
cbkriiw,39,tutor,Uh-huh. And what would you do next?,00:05:12
cbkriiw,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
cbkriiw,41,tutor,Uh-huh. And what would you do next?,00:05:28
cbkriiw,42,student,300?,00:05:36
cbkriiw,43,tutor,Can you talk me through how you got that answer?,00:05:44
cbkriiw,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
cbkriiw,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
cbkriiw,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
cbkriiw,47,tutor,What do you notice about these two numbers?,00:06:16
cbkriiw,48,student,Yes,00:06:24
cbkriiw,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
cbkriiw,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
cbkriiw,51,tutor,What do you notice about these two numbers?,00:06:48
cbkriiw,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
cbkriiw,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
cbkriiw,54,student,Maybe I should compare them as decimals first.,00:07:12
cbkriiw,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
cbkriiw,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
cbkriiw,57,tutor,What do you notice about these two numbers?,00:07:36
cbkriiw,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
cbkriiw,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
cbkriiw,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
cbkriiw,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
cbkriiw,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
cbkriiw,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
cbkriiw,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
cbkriiw,65,tutor,Uh-huh. And what would you do next?,00:08:40
cbkriiw,66,student,Is it 4?,00:08:48
cbkriiw,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
cbkriiw,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
cbkriiw,69,tutor,Can you talk me through how you got that answer?,00:09:12
cbkriiw,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
cbkriiw,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
cbkriiw,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
cbkriiw,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
cbkriiw,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
cbkriiw,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
cbkriiw,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
cbkriiw,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
cbkriiw,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
cbkriiw,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
cbkriiw,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
cbkriiw,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
cbkriiw,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
cbkriiw,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
cbkriiw,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
cbkriiw,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
cbkriiw,86,student,Maybe I should compare them as decimals first.,00:11:28
cbkriiw,87,tutor,Uh-huh. And what would you do next?,00:11:36
cbkriiw,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
cbkriiw,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
cbkriiw,90,student,Half?,00:12:00
cbkriiw,91,tutor,Uh-huh. And what would you do next?,00:12:08
cbkriiw,92,student,I'm not sure. Is it because 10 has one zero?,00:12:16
cbkriiw,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
cbkriiw,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
cbkriiw,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
cbkriiw,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
cbkriiw,97,tutor,Can you talk me through how you got that answer?,00:12:56
cbkriiw,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
cbkriiw,99,tutor,What do you notice about these two numbers?,00:13:12
cbkriiw,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
cbkriiw,101,tutor,What do you notice about these two numbers?,00:13:28
cbkriiw,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
cbkriiw,103,tutor,What do you notice about these two numbers?,00:13:44
cbkriiw,104,student,I think we need to make the bottom numbers the same before we add.,00:13:52
cbkriiw,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
cbkriiw,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
cbkriiw,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
cbkriiw,108,student,Maybe I should compare them as decimals first.,00:14:24
cbkriiw,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
cbkriiw,110,student,12.,00:14:40
cbkriiw,111,tutor,So let me ask you first. Do you know what a fact family is?,00:14:48
cbkriiw,112,student,Maybe I should compare them as decimals first.,00:14:56
cbkriiw,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
cbkriiw,114,student,I think we need to make the bottom numbers the same before we add.,00:15:12
cbkriiw,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
cbkriiw,116,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:28
cbkriiw,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
cbkriiw,118,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:44
cbkriiw,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
cbkriiw,120,student,Maybe I should compare them as decimals first.,00:16:00
cbkriiw,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
cbkriiw,122,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:16
cbkriiw,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
cbkriiw,124,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:32
cbkriiw,125,tutor,Let's try a similar one. What is 30 times 4?,00:16:40
cbkriiw,126,student,"I would divide it by 100, so the answer is 3.45.",00:16:48
cbkriiw,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
cbkriiw,128,student,"I would divide it by 100, so the answer is 3.45.",00:17:04
cbkriiw,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
cbkriiw,130,student,I'm not sure. Is it because 10 has one zero?,00:17:20
cbkriiw,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
cbkriiw,132,student,Maybe I should compare them as decimals first.,00:17:36
cbkriiw,133,tutor,Uh-huh. And what would you do next?,00:17:44
cbkriiw,134,student,I think we need to make the bottom numbers the same before we add.,00:17:52
cbkriiw,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
cbkriiw,136,student,I'm not sure. Is it because 10 has one zero?,00:18:08
cbkriiw,137,tutor,What do you notice about these two numbers?,00:18:16
cbkriiw,138,student,Maybe I should compare them as decimals first.,00:18:24
cbkriiw,139,tutor,So let me ask you first. Do you know what a fact family is?,00:18:32
cbkriiw,140,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:40
cbkriiw,141,tutor,What do you notice about these two numbers?,00:18:48
cbkriiw,142,student,I think we need to make the bottom numbers the same before we add.,00:18:56
cbkriiw,143,tutor,Let's try a similar one. What is 30 times 4?,00:19:04
cbkriiw,144,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:12
cbkriiw,145,tutor,What do you notice about these two numbers?,00:19:20
cbkriiw,146,student,Maybe I should compare them as decimals first.,00:19:28
cbkriiw,147,tutor,Let's try a similar one. What is 30 times 4?,00:19:36
cbkriiw,148,student,I think we need to make the bottom numbers the same before we add.,00:19:44
cbkriiw,149,tutor,"Good thinking. Now, is that answer reasonable?",00:19:52
cbkriiw,150,student,Okay,00:20:00
cbkriiw,151,tutor,"Good thinking. Now, is that answer reasonable?",00:20:08
cbkriiw,152,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:16
cbkriiw,153,tutor,What do you notice about these two numbers?,00:20:24
cbkriiw,154,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:32
cbkriiw,155,tutor,Can you talk me through how you got that answer?,00:20:40
cbkriiw,156,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:48
cbkriiw,157,tutor,"Good thinking. Now, is that answer reasonable?",00:20:56
cbkriiw,158,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:04
cbkriiw,159,tutor,Let's try a similar one. What is 30 times 4?,00:21:12
cbkriiw,160,student,Okay,00:21:20
cbkriiw,161,tutor,Can you talk me through how you got that answer?,00:21:28
cbkriiw,162,student,300?,00:21:36
cbkriiw,163,tutor,Remember what we said about the denominator. What happens here?,00:21:44
cbkriiw,164,student,Half?,00:21:52
cbkriiw,165,tutor,Uh-huh. And what would you do next?,00:22:00
cbkriiw,166,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:08
cbkriiw,167,tutor,What do you notice about these two numbers?,00:22:16
cbkriiw,168,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:24
cbkriiw,169,tutor,Remember what we said about the denominator. What happens here?,00:22:32
cbkriiw,170,student,I think we need to make the bottom numbers the same before we add.,00:22:40
cbkriiw,171,tutor,Can you talk me through how you got that answer?,00:22:48
cbkriiw,172,student,Maybe I should compare them as decimals first.,00:22:56
cbkriiw,173,tutor,Let's try a similar one. What is 30 times 4?,00:23:04
cbkriiw,174,student,No,00:23:12
cbkriiw,175,tutor,So let me ask you first. Do you know what a fact family is?,00:23:20
cbkriiw,176,student,I think we need to make the bottom numbers the same before we add.,00:23:28
cbkriiw,177,tutor,What do you notice about these two numbers?,00:23:36
cbkriiw,178,student,300?,00:23:44
cbkriiw,179,tutor,Uh-huh. And what would you do next?,00:23:52
cbkriiw,180,student,I think we need to make the bottom numbers the same before we add.,00:24:00
cbkriiw,181,tutor,What do you notice about these two numbers?,00:24:08
cbkriiw,182,student,Maybe I should compare them as decimals first.,00:24:16
cbkriiw,183,tutor,So let me ask you first. Do you know what a fact family is?,00:24:24
cbkriiw,184,student,I'm not sure. Is it because 10 has one zero?,00:24:32
cbkriiw,185,tutor,"Good thinking. Now, is that answer reasonable?",00:24:40
cbkriiw,186,student,Maybe I should compare them as decimals first.,00:24:48
cbkriiw,187,tutor,Uh-huh. And what would you do next?,00:24:56
cbkriiw,188,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:25:04
cbkriiw,189,tutor,What do you notice about these two numbers?,00:25:12
cbkriiw,190,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:25:20
cbkriiw,191,tutor,Let's try a similar one. What is 30 times 4?,00:25:28
cbkriiw,192,student,I think we need to make the bottom numbers the same before we add.,00:25:36
cbkriiw,193,tutor,Can you talk me through how you got that answer?,00:25:44
cbkriiw,194,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:25:52
cbkriiw,195,tutor,"Good thinking. Now, is that answer reasonable?",00:26:00
cbkriiw,196,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:26:08
cbkriiw,197,tutor,Can you talk me through how you got that answer?,00:26:16
cbkriiw,198,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:26:24
cbkriiw,199,tutor,What do you notice about these two numbers?,00:26:32
cbkriiw,200,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:26:40
cbkriiw,201,tutor,What do you notice about these two numbers?,00:26:48
cbkriiw,202,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:26:56
cbkriiw,203,tutor,"Good thinking. Now, is that answer reasonable?",00:27:04
cbkriiw,204,student,I'm not sure. Is it because 10 has one zero?,00:27:12
cbkriiw,205,tutor,Can you talk me through how you got that answer?,00:27:20
cbkriiw,206,student,No,00:27:28
cbkriiw,207,tutor,Remember what we said about the denominator. What happens here?,00:27:36
cbkriiw,208,student,Maybe I should compare them as decimals first.,00:27:44
cbkriiw,209,tutor,Uh-huh. And what would you do next?,00:27:52
cbkriiw,210,student,Maybe I should compare them as decimals first.,00:28:00
cbkriiw,211,tutor,Can you talk me through how you got that answer?,00:28:08
cbkriiw,212,student,Maybe I should compare them as decimals first.,00:28:16
cbkriiw,213,tutor,"Good thinking. Now, is that answer reasonable?",00:28:24
cbkriiw,214,student,I think we need to make the bottom numbers the same before we add.,00:28:32
cbkriiw,215,tutor,Let's try a similar one. What is 30 times 4?,00:28:40
cbkriiw,216,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:28:48
cbkriiw,217,tutor,Uh-huh. And what would you do next?,00:28:56
cbkriiw,218,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:29:04
cbkriiw,219,tutor,Can you talk me through how you got that answer?,00:29:12
cbkriiw,220,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:29:20
cbkriiw,221,tutor,Can you talk me through how you got that answer?,00:29:28
cbkriiw,222,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:29:36
cbkriiw,223,tutor,Let's try a similar one. What is 30 times 4?,00:29:44
cbkriiw,224,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:29:52
cbkriiw,225,tutor,"Good thinking. Now, is that answer reasonable?",00:30:00
cbkriiw,226,student,No,00:30:08
cbkriiw,227,tutor,Remember what we said about the denominator. What happens here?,00:30:16
cbkriiw,228,student,Okay,00:30:24
cbkriiw,229,tutor,"Good thinking. Now, is that answer reasonable?",00:30:32
cbkriiw,230,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:30:40
cbkriiw,231,tutor,"Good thinking. Now, is that answer reasonable?",00:30:48
cbkriiw,232,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:30:56
cbkriiw,233,tutor,So let me ask you first. Do you know what a fact family is?,00:31:04
cbkriiw,234,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:31:12
cbkriiw,235,tutor,Let's try a similar one. What is 30 times 4?,00:31:20
cbkriiw,236,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:31:28
cbkriiw,237,tutor,So let me ask you first. Do you know what a fact family is?,00:31:36
cbkriiw,238,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:31:44
