session_id,utterance_id,role,content,timestamp
yqcgspl,0,background,[unclear],00:00:00
yqcgspl,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
yqcgspl,2,student,"Yes, I think so.",00:00:16
yqcgspl,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
yqcgspl,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
yqcgspl,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
yqcgspl,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
yqcgspl,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
yqcgspl,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
yqcgspl,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
yqcgspl,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
yqcgspl,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
yqcgspl,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
yqcgspl,13,tutor,Uh-huh. And what would you do next?,00:01:44
yqcgspl,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
yqcgspl,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
yqcgspl,16,student,Okay,00:02:08
yqcgspl,17,tutor,What do you notice about these two numbers?,00:02:16
yqcgspl,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
yqcgspl,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
yqcgspl,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
yqcgspl,21,tutor,Can you talk me through how you got that answer?,00:02:48
yqcgspl,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
yqcgspl,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
yqcgspl,24,student,Okay,00:03:12
yqcgspl,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
yqcgspl,26,student,Maybe I should compare them as decimals first.,00:03:28
yqcgspl,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
yqcgspl,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
yqcgspl,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
yqcgspl,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
yqcgspl,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
yqcgspl,32,student,300?,00:04:16
yqcgspl,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
yqcgspl,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
yqcgspl,35,tutor,What do you notice about these two numbers?,00:04:40
yqcgspl,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
yqcgspl,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
yqcgspl,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
yqcgspl,39,tutor,Uh-huh. And what would you do next?,00:05:12
yqcgspl,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
yqcgspl,41,tutor,What do you notice about these two numbers?,00:05:28
yqcgspl,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
yqcgspl,43,tutor,Can you talk me through how you got that answer?,00:05:44
yqcgspl,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
yqcgspl,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
yqcgspl,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
yqcgspl,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
yqcgspl,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
yqcgspl,49,tutor,Can you talk me through how you got that answer?,00:06:32
yqcgspl,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
yqcgspl,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
yqcgspl,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
yqcgspl,53,tutor,Can you talk me through how you got that answer?,00:07:04
yqcgspl,54,student,Maybe I should compare them as decimals first.,00:07:12
yqcgspl,55,tutor,Can you talk me through how you got that answer?,00:07:20
yqcgspl,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
yqcgspl,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
yqcgspl,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
yqcgspl,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
yqcgspl,60,student,No,00:08:00
yqcgspl,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
yqcgspl,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
yqcgspl,63,tutor,Can you talk me through how you got that answer?,00:08:24
yqcgspl,64,student,Maybe I should compare them as decimals first.,00:08:32
yqcgspl,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
yqcgspl,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
yqcgspl,67,tutor,What do you notice about these two numbers?,00:08:56
yqcgspl,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
yqcgspl,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
yqcgspl,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
yqcgspl,71,tutor,Can you talk me through how you got that answer?,00:09:28
yqcgspl,72,student,Yes,00:09:36
yqcgspl,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
yqcgspl,74,student,No,00:09:52
yqcgspl,75,tutor,Uh-huh. And what would you do next?,00:10:00
yqcgspl,76,student,Maybe I should compare them as decimals first.,00:10:08
yqcgspl,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
yqcgspl,78,student,Okay,00:10:24
yqcgspl,79,tutor,Uh-huh. And what would you do next?,00:10:32
yqcgspl,80,student,Okay,00:10:40
yqcgspl,81,tutor,Uh-huh. And what would you do next?,00:10:48
yqcgspl,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
yqcgspl,83,tutor,What do you notice about these two numbers?,00:11:04
yqcgspl,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
yqcgspl,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
yqcgspl,86,student,Maybe I should compare them as decimals first.,00:11:28
yqcgspl,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
yqcgspl,88,student,Maybe I should compare them as decimals first.,00:11:44
yqcgspl,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
yqcgspl,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
yqcgspl,91,tutor,Can you talk me through how you got that answer?,00:12:08
yqcgspl,92,student,Maybe I should compare them as decimals first.,00:12:16
yqcgspl,93,tutor,Can you talk me through how you got that answer?,00:12:24
yqcgspl,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
yqcgspl,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
yqcgspl,96,student,Half?,00:12:48
yqcgspl,97,tutor,Can you talk me through how you got that answer?,00:12:56
yqcgspl,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
yqcgspl,99,tutor,Uh-huh. And what would you do next?,00:13:12
yqcgspl,100,student,Maybe I should compare them as decimals first.,00:13:20
yqcgspl,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
yqcgspl,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
yqcgspl,103,tutor,Can you talk me through how you got that answer?,00:13:44
yqcgspl,104,student,Maybe I should compare them as decimals first.,00:13:52
yqcgspl,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
yqcgspl,106,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:08
yqcgspl,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
yqcgspl,108,student,I think we need to make the bottom numbers the same before we add.,00:14:24
yqcgspl,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
yqcgspl,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
yqcgspl,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
yqcgspl,112,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:56
yqcgspl,113,tutor,What do you notice about these two numbers?,00:15:04
yqcgspl,114,student,75.,00:15:12
yqcgspl,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
yqcgspl,116,student,Yes,00:15:28
yqcgspl,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
yqcgspl,118,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:44
yqcgspl,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
yqcgspl,120,student,No,00:16:00
yqcgspl,121,tutor,Can you talk me through how you got that answer?,00:16:08
yqcgspl,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
yqcgspl,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
yqcgspl,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
yqcgspl,125,tutor,Uh-huh. And what would you do next?,00:16:40
yqcgspl,126,student,Is it 4?,00:16:48
yqcgspl,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
yqcgspl,128,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:04
yqcgspl,129,tutor,Uh-huh. And what would you do next?,00:17:12
yqcgspl,130,student,300?,00:17:20
yqcgspl,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
yqcgspl,132,student,I'm not sure. Is it because 10 has one zero?,00:17:36
yqcgspl,133,tutor,So let me ask you first. Do you know what a fact family is?,00:17:44
yqcgspl,134,student,"I would divide it by 100, so the answer is 3.45.",00:17:52
yqcgspl,135,tutor,Remember what we said about the denominator. What happens here?,00:18:00
yqcgspl,136,student,I'm not sure. Is it because 10 has one zero?,00:18:08
yqcgspl,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
yqcgspl,138,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:24
yqcgspl,139,tutor,What do you notice about these two numbers?,00:18:32
yqcgspl,140,student,12.,00:18:40
yqcgspl,141,tutor,What do you notice about these two numbers?,00:18:48
yqcgspl,142,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:56
yqcgspl,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
yqcgspl,144,student,I'm not sure. Is it because 10 has one zero?,00:19:12
yqcgspl,145,tutor,Uh-huh. And what would you do next?,00:19:20
yqcgspl,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
yqcgspl,147,tutor,Remember what we said about the denominator. What happens here?,00:19:36
yqcgspl,148,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:44
yqcgspl,149,tutor,Let's try a similar one. What is 30 times 4?,00:19:52
yqcgspl,150,student,Maybe I should compare them as decimals first.,00:20:00
yqcgspl,151,tutor,"Good thinking. Now, is that answer reasonable?",00:20:08
yqcgspl,152,student,75.,00:20:16
yqcgspl,153,tutor,Can you talk me through how you got that answer?,00:20:24
yqcgspl,154,student,I'm not sure. Is it because 10 has one zero?,00:20:32
yqcgspl,155,tutor,Can you talk me through how you got that answer?,00:20:40
yqcgspl,156,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:48
yqcgspl,157,tutor,Let's try a similar one. What is 30 times 4?,00:20:56
yqcgspl,158,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:04
yqcgspl,159,tutor,Let's try a similar one. What is 30 times 4?,00:21:12
yqcgspl,160,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:20
yqcgspl,161,tutor,What do you notice about these two numbers?,00:21:28
yqcgspl,162,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:36
yqcgspl,163,tutor,Let's try a similar one. What is 30 times 4?,00:21:44
yqcgspl,164,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:52
yqcgspl,165,tutor,Can you talk me through how you got that answer?,00:22:00
yqcgspl,166,student,Maybe I should compare them as decimals first.,00:22:08
yqcgspl,167,tutor,Let's try a similar one. What is 30 times 4?,00:22:16
