session_id,utterance_id,role,content,timestamp
oumgnsr,0,background,[unclear],00:00:00
oumgnsr,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
oumgnsr,2,student,"Yes, I think so.",00:00:16
oumgnsr,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
oumgnsr,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
oumgnsr,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
oumgnsr,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
oumgnsr,7,tutor,What do you notice about these two numbers?,00:00:56
oumgnsr,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
oumgnsr,9,tutor,What do you notice about these two numbers?,00:01:12
oumgnsr,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
oumgnsr,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
oumgnsr,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
oumgnsr,13,tutor,Uh-huh. And what would you do next?,00:01:44
oumgnsr,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
oumgnsr,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
oumgnsr,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
oumgnsr,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
oumgnsr,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
oumgnsr,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
oumgnsr,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
oumgnsr,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
oumgnsr,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
oumgnsr,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
oumgnsr,24,student,No,00:03:12
oumgnsr,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
oumgnsr,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
oumgnsr,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
oumgnsr,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
oumgnsr,29,tutor,Uh-huh. And what would you do next?,00:03:52
oumgnsr,30,student,Maybe I should compare them as decimals first.,00:04:00
oumgnsr,31,tutor,Uh-huh. And what would you do next?,00:04:08
oumgnsr,32,student,Half?,00:04:16
oumgnsr,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
oumgnsr,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
oumgnsr,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
oumgnsr,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
oumgnsr,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
oumgnsr,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
oumgnsr,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
oumgnsr,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
oumgnsr,41,tutor,Can you talk me through how you got that answer?,00:05:28
oumgnsr,42,student,Maybe I should compare them as decimals first.,00:05:36
oumgnsr,43,tutor,Uh-huh. And what would you do next?,00:05:44
oumgnsr,44,student,6?,00:05:52
oumgnsr,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
oumgnsr,46,student,Maybe I should compare them as decimals first.,00:06:08
oumgnsr,47,tutor,Can you talk me through how you got that answer?,00:06:16
oumgnsr,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
oumgnsr,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
oumgnsr,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
oumgnsr,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
oumgnsr,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
oumgnsr,53,tutor,Uh-huh. And what would you do next?,00:07:04
oumgnsr,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
oumgnsr,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
oumgnsr,56,student,Maybe I should compare them as decimals first.,00:07:28
oumgnsr,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
oumgnsr,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
oumgnsr,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
oumgnsr,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
oumgnsr,61,tutor,Can you talk me through how you got that answer?,00:08:08
oumgnsr,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
oumgnsr,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
oumgnsr,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
oumgnsr,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
oumgnsr,66,student,300?,00:08:48
oumgnsr,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
oumgnsr,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
oumgnsr,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
oumgnsr,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
oumgnsr,71,tutor,What do you notice about these two numbers?,00:09:28
oumgnsr,72,student,Maybe I should compare them as decimals first.,00:09:36
oumgnsr,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
oumgnsr,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
oumgnsr,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
oumgnsr,76,student,Half?,00:10:08
oumgnsr,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
oumgnsr,78,student,No,00:10:24
oumgnsr,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
oumgnsr,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
oumgnsr,81,tutor,Can you talk me through how you got that answer?,00:10:48
oumgnsr,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
oumgnsr,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
oumgnsr,84,student,Maybe I should compare them as decimals first.,00:11:12
oumgnsr,85,tutor,Uh-huh. And what would you do next?,00:11:20
oumgnsr,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
oumgnsr,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
oumgnsr,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
oumgnsr,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
oumgnsr,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
