session_id,utterance_id,role,content,timestamp
fsbpilv,0,background,[unclear],00:00:00
fsbpilv,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
fsbpilv,2,student,"Yes, I think so.",00:00:16
fsbpilv,3,tutor,What do you notice about these two numbers?,00:00:24
fsbpilv,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
fsbpilv,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
fsbpilv,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
fsbpilv,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
fsbpilv,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
fsbpilv,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
fsbpilv,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
fsbpilv,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
fsbpilv,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
fsbpilv,13,tutor,Uh-huh. And what would you do next?,00:01:44
fsbpilv,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
fsbpilv,15,tutor,What do you notice about these two numbers?,00:02:00
fsbpilv,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
fsbpilv,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
fsbpilv,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
fsbpilv,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
fsbpilv,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
fsbpilv,21,tutor,What do you notice about these two numbers?,00:02:48
fsbpilv,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
fsbpilv,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
fsbpilv,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
fsbpilv,25,tutor,Can you talk me through how you got that answer?,00:03:20
fsbpilv,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
fsbpilv,27,tutor,Can you talk me through how you got that answer?,00:03:36
fsbpilv,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
fsbpilv,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
fsbpilv,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
fsbpilv,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
fsbpilv,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
fsbpilv,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
fsbpilv,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
fsbpilv,35,tutor,Uh-huh. And what would you do next?,00:04:40
fsbpilv,36,student,12.,00:04:48
fsbpilv,37,tutor,Uh-huh. And what would you do next?,00:04:56
fsbpilv,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
fsbpilv,39,tutor,Can you talk me through how you got that answer?,00:05:12
fsbpilv,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
fsbpilv,41,tutor,Can you talk me through how you got that answer?,00:05:28
fsbpilv,42,student,Half?,00:05:36
fsbpilv,43,tutor,What do you notice about these two numbers?,00:05:44
fsbpilv,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
fsbpilv,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
fsbpilv,46,student,12.,00:06:08
fsbpilv,47,tutor,Can you talk me through how you got that answer?,00:06:16
fsbpilv,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
fsbpilv,49,tutor,Uh-huh. And what would you do next?,00:06:32
fsbpilv,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
fsbpilv,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
fsbpilv,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
fsbpilv,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
fsbpilv,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
fsbpilv,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
fsbpilv,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
fsbpilv,57,tutor,Uh-huh. And what would you do next?,00:07:36
fsbpilv,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
fsbpilv,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
fsbpilv,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
fsbpilv,61,tutor,What do you notice about these two numbers?,00:08:08
fsbpilv,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
fsbpilv,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
fsbpilv,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
fsbpilv,65,tutor,What do you notice about these two numbers?,00:08:40
fsbpilv,66,student,Maybe I should compare them as decimals first.,00:08:48
fsbpilv,67,tutor,What do you notice about these two numbers?,00:08:56
fsbpilv,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
fsbpilv,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
fsbpilv,70,student,Is it 4?,00:09:20
fsbpilv,71,tutor,Uh-huh. And what would you do next?,00:09:28
fsbpilv,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
fsbpilv,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
fsbpilv,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
fsbpilv,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
fsbpilv,76,student,Maybe I should compare them as decimals first.,00:10:08
fsbpilv,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
fsbpilv,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
fsbpilv,79,tutor,Can you talk me through how you got that answer?,00:10:32
fsbpilv,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
fsbpilv,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
fsbpilv,82,student,Half?,00:10:56
fsbpilv,83,tutor,Can you talk me through how you got that answer?,00:11:04
fsbpilv,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
fsbpilv,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
fsbpilv,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
fsbpilv,87,tutor,Can you talk me through how you got that answer?,00:11:36
fsbpilv,88,student,75.,00:11:44
fsbpilv,89,tutor,Uh-huh. And what would you do next?,00:11:52
fsbpilv,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
fsbpilv,91,tutor,What do you notice about these two numbers?,00:12:08
fsbpilv,92,student,Maybe I should compare them as decimals first.,00:12:16
fsbpilv,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
fsbpilv,94,student,Yes,00:12:32
fsbpilv,95,tutor,Can you talk me through how you got that answer?,00:12:40
fsbpilv,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
fsbpilv,97,tutor,What do you notice about these two numbers?,00:12:56
fsbpilv,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
fsbpilv,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
fsbpilv,100,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:20
fsbpilv,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
fsbpilv,102,student,I think we need to make the bottom numbers the same before we add.,00:13:36
fsbpilv,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
fsbpilv,104,student,300?,00:13:52
fsbpilv,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
fsbpilv,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
fsbpilv,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
fsbpilv,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
fsbpilv,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
fsbpilv,110,student,No,00:14:40
fsbpilv,111,tutor,Uh-huh. And what would you do next?,00:14:48
fsbpilv,112,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:56
fsbpilv,113,tutor,Uh-huh. And what would you do next?,00:15:04
fsbpilv,114,student,No,00:15:12
fsbpilv,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
fsbpilv,116,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:28
fsbpilv,117,tutor,Can you talk me through how you got that answer?,00:15:36
fsbpilv,118,student,Yes,00:15:44
fsbpilv,119,tutor,Uh-huh. And what would you do next?,00:15:52
fsbpilv,120,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:00
fsbpilv,121,tutor,Remember what we said about the denominator. What happens here?,00:16:08
fsbpilv,122,student,Maybe I should compare them as decimals first.,00:16:16
fsbpilv,123,tutor,Can you talk me through how you got that answer?,00:16:24
fsbpilv,124,student,Half?,00:16:32
fsbpilv,125,tutor,So let me ask you first. Do you know what a fact family is?,00:16:40
fsbpilv,126,student,I'm not sure. Is it because 10 has one zero?,00:16:48
fsbpilv,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
fsbpilv,128,student,I'm not sure. Is it because 10 has one zero?,00:17:04
fsbpilv,129,tutor,What do you notice about these two numbers?,00:17:12
fsbpilv,130,student,Maybe I should compare them as decimals first.,00:17:20
fsbpilv,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
fsbpilv,132,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:36
fsbpilv,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
fsbpilv,134,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:52
fsbpilv,135,tutor,What do you notice about these two numbers?,00:18:00
fsbpilv,136,student,"I would divide it by 100, so the answer is 3.45.",00:18:08
fsbpilv,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
fsbpilv,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
fsbpilv,139,tutor,So let me ask you first. Do you know what a fact family is?,00:18:32
fsbpilv,140,student,I'm not sure. Is it because 10 has one zero?,00:18:40
fsbpilv,141,tutor,Can you talk me through how you got that answer?,00:18:48
fsbpilv,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
fsbpilv,143,tutor,"Good thinking. Now, is that answer reasonable?",00:19:04
fsbpilv,144,student,"I would divide it by 100, so the answer is 3.45.",00:19:12
fsbpilv,145,tutor,Uh-huh. And what would you do next?,00:19:20
fsbpilv,146,student,I think we need to make the bottom numbers the same before we add.,00:19:28
fsbpilv,147,tutor,Let's try a similar one. What is 30 times 4?,00:19:36
fsbpilv,148,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:44
fsbpilv,149,tutor,Remember what we said about the denominator. What happens here?,00:19:52
fsbpilv,150,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:00
fsbpilv,151,tutor,Uh-huh. And what would you do next?,00:20:08
fsbpilv,152,student,I'm not sure. Is it because 10 has one zero?,00:20:16
fsbpilv,153,tutor,Uh-huh. And what would you do next?,00:20:24
fsbpilv,154,student,Maybe I should compare them as decimals first.,00:20:32
fsbpilv,155,tutor,"Good thinking. Now, is that answer reasonable?",00:20:40
fsbpilv,156,student,I think we need to make the bottom numbers the same before we add.,00:20:48
fsbpilv,157,tutor,Let's try a similar one. What is 30 times 4?,00:20:56
fsbpilv,158,student,I think we need to make the bottom numbers the same before we add.,00:21:04
fsbpilv,159,tutor,Let's try a similar one. What is 30 times 4?,00:21:12
fsbpilv,160,student,I'm not sure. Is it because 10 has one zero?,00:21:20
fsbpilv,161,tutor,Can you talk me through how you got that answer?,00:21:28
fsbpilv,162,student,I think we need to make the bottom numbers the same before we add.,00:21:36
fsbpilv,163,tutor,So let me ask you first. Do you know what a fact family is?,00:21:44
fsbpilv,164,student,I think we need to make the bottom numbers the same before we add.,00:21:52
fsbpilv,165,tutor,What do you notice about these two numbers?,00:22:00
fsbpilv,166,student,"I would divide it by 100, so the answer is 3.45.",00:22:08
fsbpilv,167,tutor,Uh-huh. And what would you do next?,00:22:16
fsbpilv,168,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:22:24
fsbpilv,169,tutor,Remember what we said about the denominator. What happens here?,00:22:32
fsbpilv,170,student,75.,00:22:40
fsbpilv,171,tutor,Can you talk me through how you got that answer?,00:22:48
