session_id,utterance_id,role,content,timestamp
phumxpo,0,background,[unclear],00:00:00
phumxpo,1,tutor,"Hello, are you ready to get started today?",00:00:08
phumxpo,2,student,"Yes, I think so.",00:00:16
phumxpo,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
phumxpo,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
phumxpo,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
phumxpo,6,student,Maybe I should compare them as decimals first.,00:00:48
phumxpo,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
phumxpo,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
phumxpo,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
phumxpo,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
phumxpo,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
phumxpo,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
phumxpo,13,tutor,Uh-huh. And what would you do next?,00:01:44
phumxpo,14,student,Is it 4?,00:01:52
phumxpo,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
phumxpo,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
phumxpo,17,tutor,What do you notice about these two numbers?,00:02:16
phumxpo,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
phumxpo,19,tutor,What do you notice about these two numbers?,00:02:32
phumxpo,20,student,Half?,00:02:40
phumxpo,21,tutor,What do you notice about these two numbers?,00:02:48
phumxpo,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
phumxpo,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
phumxpo,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
phumxpo,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
phumxpo,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
phumxpo,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
phumxpo,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
phumxpo,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
phumxpo,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
phumxpo,31,tutor,Uh-huh. And what would you do next?,00:04:08
phumxpo,32,student,Maybe I should compare them as decimals first.,00:04:16
phumxpo,33,tutor,Can you talk me through how you got that answer?,00:04:24
phumxpo,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
phumxpo,35,tutor,Uh-huh. And what would you do next?,00:04:40
phumxpo,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
phumxpo,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
phumxpo,38,student,No,00:05:04
phumxpo,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
phumxpo,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
phumxpo,41,tutor,Uh-huh. And what would you do next?,00:05:28
phumxpo,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
phumxpo,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
phumxpo,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
phumxpo,45,tutor,Uh-huh. And what would you do next?,00:06:00
phumxpo,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
phumxpo,47,tutor,What do you notice about these two numbers?,00:06:16
phumxpo,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
phumxpo,49,tutor,What do you notice about these two numbers?,00:06:32
phumxpo,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
phumxpo,51,tutor,Can you talk me through how you got that answer?,00:06:48
phumxpo,52,student,Maybe I should compare them as decimals first.,00:06:56
phumxpo,53,tutor,Uh-huh. And what would you do next?,00:07:04
phumxpo,54,student,Maybe I should compare them as decimals first.,00:07:12
phumxpo,55,tutor,Uh-huh. And what would you do next?,00:07:20
phumxpo,56,student,Maybe I should compare them as decimals first.,00:07:28
phumxpo,57,tutor,What do you notice about these two numbers?,00:07:36
phumxpo,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
phumxpo,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
phumxpo,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
phumxpo,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
phumxpo,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
phumxpo,63,tutor,Can you talk me through how you got that answer?,00:08:24
phumxpo,64,student,Maybe I should compare them as decimals first.,00:08:32
phumxpo,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
phumxpo,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
phumxpo,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
phumxpo,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
phumxpo,69,tutor,Uh-huh. And what would you do next?,00:09:12
phumxpo,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
phumxpo,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
phumxpo,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
phumxpo,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
phumxpo,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
phumxpo,75,tutor,Uh-huh. And what would you do next?,00:10:00
phumxpo,76,student,"I would divide it by 100, so the answer is 3.45.",00:10:08
phumxpo,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
phumxpo,78,student,Maybe I should compare them as decimals first.,00:10:24
phumxpo,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
phumxpo,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
phumxpo,81,tutor,Can you talk me through how you got that answer?,00:10:48
phumxpo,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
phumxpo,83,tutor,Uh-huh. And what would you do next?,00:11:04
phumxpo,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
phumxpo,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
phumxpo,86,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:28
phumxpo,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
phumxpo,88,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:44
phumxpo,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
phumxpo,90,student,"I would divide it by 100, so the answer is 3.45.",00:12:00
phumxpo,91,tutor,Uh-huh. And what would you do next?,00:12:08
phumxpo,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
phumxpo,93,tutor,Uh-huh. And what would you do next?,00:12:24
phumxpo,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
phumxpo,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
phumxpo,96,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:48
phumxpo,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
phumxpo,98,student,Yes,00:13:04
phumxpo,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
phumxpo,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
phumxpo,101,tutor,What do you notice about these two numbers?,00:13:28
phumxpo,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
phumxpo,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
phumxpo,104,student,Maybe I should compare them as decimals first.,00:13:52
