session_id,utterance_id,role,content,timestamp
uejzplo,0,background,[unclear],00:00:00
uejzplo,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
uejzplo,2,student,"Yes, I think so.",00:00:16
uejzplo,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
uejzplo,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
uejzplo,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
uejzplo,6,student,No,00:00:48
uejzplo,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
uejzplo,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
uejzplo,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
uejzplo,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
uejzplo,11,tutor,Can you talk me through how you got that answer?,00:01:28
uejzplo,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
uejzplo,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
uejzplo,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
uejzplo,15,tutor,Uh-huh. And what would you do next?,00:02:00
uejzplo,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
uejzplo,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
uejzplo,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
uejzplo,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
uejzplo,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
uejzplo,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
uejzplo,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
uejzplo,23,tutor,Can you talk me through how you got that answer?,00:03:04
uejzplo,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
uejzplo,25,tutor,What do you notice about these two numbers?,00:03:20
uejzplo,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
uejzplo,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
uejzplo,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
uejzplo,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
uejzplo,30,student,Yes,00:04:00
uejzplo,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
uejzplo,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
uejzplo,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
uejzplo,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
uejzplo,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
uejzplo,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
uejzplo,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
uejzplo,38,student,Maybe I should compare them as decimals first.,00:05:04
uejzplo,39,tutor,Uh-huh. And what would you do next?,00:05:12
uejzplo,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
uejzplo,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
uejzplo,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
uejzplo,43,tutor,Can you talk me through how you got that answer?,00:05:44
uejzplo,44,student,75.,00:05:52
uejzplo,45,tutor,Can you talk me through how you got that answer?,00:06:00
uejzplo,46,student,Yes,00:06:08
uejzplo,47,tutor,Can you talk me through how you got that answer?,00:06:16
uejzplo,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
uejzplo,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
uejzplo,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
uejzplo,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
uejzplo,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
uejzplo,53,tutor,What do you notice about these two numbers?,00:07:04
uejzplo,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
uejzplo,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
uejzplo,56,student,Yes,00:07:28
uejzplo,57,tutor,What do you notice about these two numbers?,00:07:36
uejzplo,58,student,Maybe I should compare them as decimals first.,00:07:44
uejzplo,59,tutor,Can you talk me through how you got that answer?,00:07:52
uejzplo,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
uejzplo,61,tutor,Uh-huh. And what would you do next?,00:08:08
uejzplo,62,student,Is it 4?,00:08:16
uejzplo,63,tutor,Uh-huh. And what would you do next?,00:08:24
uejzplo,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
uejzplo,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
uejzplo,66,student,Maybe I should compare them as decimals first.,00:08:48
