session_id,utterance_id,role,content,timestamp
lqsstgw,0,background,[unclear],00:00:00
lqsstgw,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
lqsstgw,2,student,"Yes, I think so.",00:00:16
lqsstgw,3,tutor,What do you notice about these two numbers?,00:00:24
lqsstgw,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
lqsstgw,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
lqsstgw,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
lqsstgw,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
lqsstgw,8,student,Maybe I should compare them as decimals first.,00:01:04
lqsstgw,9,tutor,What do you notice about these two numbers?,00:01:12
lqsstgw,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
lqsstgw,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
lqsstgw,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
lqsstgw,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
lqsstgw,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
lqsstgw,15,tutor,Can you talk me through how you got that answer?,00:02:00
lqsstgw,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
lqsstgw,17,tutor,Can you talk me through how you got that answer?,00:02:16
lqsstgw,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
lqsstgw,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
lqsstgw,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
lqsstgw,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
lqsstgw,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
lqsstgw,23,tutor,Can you talk me through how you got that answer?,00:03:04
lqsstgw,24,student,Okay,00:03:12
lqsstgw,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
lqsstgw,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
lqsstgw,27,tutor,Can you talk me through how you got that answer?,00:03:36
lqsstgw,28,student,6?,00:03:44
lqsstgw,29,tutor,Can you talk me through how you got that answer?,00:03:52
lqsstgw,30,student,Maybe I should compare them as decimals first.,00:04:00
lqsstgw,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
lqsstgw,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
lqsstgw,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
lqsstgw,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
lqsstgw,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
lqsstgw,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
lqsstgw,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
lqsstgw,38,student,Maybe I should compare them as decimals first.,00:05:04
lqsstgw,39,tutor,Uh-huh. And what would you do next?,00:05:12
lqsstgw,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
lqsstgw,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
lqsstgw,42,student,Maybe I should compare them as decimals first.,00:05:36
lqsstgw,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
lqsstgw,44,student,Maybe I should compare them as decimals first.,00:05:52
lqsstgw,45,tutor,What do you notice about these two numbers?,00:06:00
lqsstgw,46,student,Half?,00:06:08
lqsstgw,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
lqsstgw,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
lqsstgw,49,tutor,What do you notice about these two numbers?,00:06:32
lqsstgw,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
lqsstgw,51,tutor,What do you notice about these two numbers?,00:06:48
lqsstgw,52,student,Maybe I should compare them as decimals first.,00:06:56
lqsstgw,53,tutor,Uh-huh. And what would you do next?,00:07:04
lqsstgw,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
lqsstgw,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
lqsstgw,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
lqsstgw,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
lqsstgw,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
lqsstgw,59,tutor,Uh-huh. And what would you do next?,00:07:52
lqsstgw,60,student,Maybe I should compare them as decimals first.,00:08:00
lqsstgw,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
lqsstgw,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
lqsstgw,63,tutor,Uh-huh. And what would you do next?,00:08:24
lqsstgw,64,student,Half?,00:08:32
lqsstgw,65,tutor,Can you talk me through how you got that answer?,00:08:40
lqsstgw,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
lqsstgw,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
lqsstgw,68,student,6?,00:09:04
lqsstgw,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
lqsstgw,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
lqsstgw,71,tutor,What do you notice about these two numbers?,00:09:28
lqsstgw,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
lqsstgw,73,tutor,Uh-huh. And what would you do next?,00:09:44
lqsstgw,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
lqsstgw,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
lqsstgw,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
lqsstgw,77,tutor,Uh-huh. And what would you do next?,00:10:16
lqsstgw,78,student,Okay,00:10:24
lqsstgw,79,tutor,What do you notice about these two numbers?,00:10:32
lqsstgw,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
lqsstgw,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
lqsstgw,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
lqsstgw,83,tutor,Uh-huh. And what would you do next?,00:11:04
lqsstgw,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
