session_id,utterance_id,role,content,timestamp
ndgrlfu,0,background,[unclear],00:00:00
ndgrlfu,1,tutor,"Hello, are you ready to get started today?",00:00:08
ndgrlfu,2,student,"Yes, I think so.",00:00:16
ndgrlfu,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
ndgrlfu,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
ndgrlfu,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
ndgrlfu,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
ndgrlfu,7,tutor,Uh-huh. And what would you do next?,00:00:56
ndgrlfu,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
ndgrlfu,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
ndgrlfu,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
ndgrlfu,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
ndgrlfu,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
ndgrlfu,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
ndgrlfu,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
ndgrlfu,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
ndgrlfu,16,student,Maybe I should compare them as decimals first.,00:02:08
ndgrlfu,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
ndgrlfu,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
ndgrlfu,19,tutor,Can you talk me through how you got that answer?,00:02:32
ndgrlfu,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
ndgrlfu,21,tutor,Uh-huh. And what would you do next?,00:02:48
ndgrlfu,22,student,Is it 4?,00:02:56
ndgrlfu,23,tutor,Can you talk me through how you got that answer?,00:03:04
ndgrlfu,24,student,Maybe I should compare them as decimals first.,00:03:12
ndgrlfu,25,tutor,Can you talk me through how you got that answer?,00:03:20
ndgrlfu,26,student,Yes,00:03:28
ndgrlfu,27,tutor,What do you notice about these two numbers?,00:03:36
ndgrlfu,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
ndgrlfu,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
ndgrlfu,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
ndgrlfu,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
ndgrlfu,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
ndgrlfu,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
ndgrlfu,34,student,Half?,00:04:32
ndgrlfu,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
ndgrlfu,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
ndgrlfu,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
ndgrlfu,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
ndgrlfu,39,tutor,Uh-huh. And what would you do next?,00:05:12
ndgrlfu,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
ndgrlfu,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
ndgrlfu,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
ndgrlfu,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
ndgrlfu,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
ndgrlfu,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
ndgrlfu,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
ndgrlfu,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
ndgrlfu,48,student,Half?,00:06:24
ndgrlfu,49,tutor,Can you talk me through how you got that answer?,00:06:32
ndgrlfu,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
ndgrlfu,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
ndgrlfu,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
ndgrlfu,53,tutor,Uh-huh. And what would you do next?,00:07:04
ndgrlfu,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
ndgrlfu,55,tutor,Uh-huh. And what would you do next?,00:07:20
ndgrlfu,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
ndgrlfu,57,tutor,Uh-huh. And what would you do next?,00:07:36
ndgrlfu,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
ndgrlfu,59,tutor,Can you talk me through how you got that answer?,00:07:52
ndgrlfu,60,student,6?,00:08:00
ndgrlfu,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
ndgrlfu,62,student,Maybe I should compare them as decimals first.,00:08:16
ndgrlfu,63,tutor,What do you notice about these two numbers?,00:08:24
ndgrlfu,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
ndgrlfu,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
ndgrlfu,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
ndgrlfu,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
ndgrlfu,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
ndgrlfu,69,tutor,Can you talk me through how you got that answer?,00:09:12
ndgrlfu,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
ndgrlfu,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
ndgrlfu,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
ndgrlfu,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
ndgrlfu,74,student,Okay,00:09:52
ndgrlfu,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
ndgrlfu,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
ndgrlfu,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
ndgrlfu,78,student,Maybe I should compare them as decimals first.,00:10:24
ndgrlfu,79,tutor,Can you talk me through how you got that answer?,00:10:32
ndgrlfu,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
