session_id,utterance_id,role,content,timestamp
xxgarla,0,background,[unclear],00:00:00
xxgarla,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
xxgarla,2,student,"Yes, I think so.",00:00:16
xxgarla,3,tutor,Uh-huh. And what would you do next?,00:00:24
xxgarla,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
xxgarla,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
xxgarla,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
xxgarla,7,tutor,What do you notice about these two numbers?,00:00:56
xxgarla,8,student,No,00:01:04
xxgarla,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
xxgarla,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
xxgarla,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
xxgarla,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
xxgarla,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
xxgarla,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
xxgarla,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
xxgarla,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
xxgarla,17,tutor,Can you talk me through how you got that answer?,00:02:16
xxgarla,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
xxgarla,19,tutor,Uh-huh. And what would you do next?,00:02:32
xxgarla,20,student,300?,00:02:40
xxgarla,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
xxgarla,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
xxgarla,23,tutor,Uh-huh. And what would you do next?,00:03:04
xxgarla,24,student,Maybe I should compare them as decimals first.,00:03:12
xxgarla,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
xxgarla,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
xxgarla,27,tutor,What do you notice about these two numbers?,00:03:36
xxgarla,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
xxgarla,29,tutor,Uh-huh. And what would you do next?,00:03:52
xxgarla,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
xxgarla,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
xxgarla,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
xxgarla,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
xxgarla,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
xxgarla,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
xxgarla,36,student,Maybe I should compare them as decimals first.,00:04:48
xxgarla,37,tutor,What do you notice about these two numbers?,00:04:56
xxgarla,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
xxgarla,39,tutor,Uh-huh. And what would you do next?,00:05:12
xxgarla,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
