session_id,utterance_id,role,content,timestamp
ycnsjvb,0,background,[unclear],00:00:00
ycnsjvb,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ycnsjvb,2,student,"Yes, I think so.",00:00:16
ycnsjvb,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
ycnsjvb,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
ycnsjvb,5,tutor,Can you talk me through how you got that answer?,00:00:40
ycnsjvb,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
ycnsjvb,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
ycnsjvb,8,student,Okay,00:01:04
ycnsjvb,9,tutor,What do you notice about these two numbers?,00:01:12
ycnsjvb,10,student,75.,00:01:20
ycnsjvb,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
ycnsjvb,12,student,Maybe I should compare them as decimals first.,00:01:36
ycnsjvb,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
ycnsjvb,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
ycnsjvb,15,tutor,What do you notice about these two numbers?,00:02:00
ycnsjvb,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
ycnsjvb,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
ycnsjvb,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
ycnsjvb,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
ycnsjvb,20,student,12.,00:02:40
ycnsjvb,21,tutor,What do you notice about these two numbers?,00:02:48
ycnsjvb,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
ycnsjvb,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
ycnsjvb,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
ycnsjvb,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
ycnsjvb,26,student,300?,00:03:28
ycnsjvb,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
ycnsjvb,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
ycnsjvb,29,tutor,Uh-huh. And what would you do next?,00:03:52
ycnsjvb,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
ycnsjvb,31,tutor,Can you talk me through how you got that answer?,00:04:08
ycnsjvb,32,student,12.,00:04:16
ycnsjvb,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
ycnsjvb,34,student,12.,00:04:32
ycnsjvb,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
ycnsjvb,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
ycnsjvb,37,tutor,Can you talk me through how you got that answer?,00:04:56
ycnsjvb,38,student,Maybe I should compare them as decimals first.,00:05:04
ycnsjvb,39,tutor,Can you talk me through how you got that answer?,00:05:12
ycnsjvb,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
ycnsjvb,41,tutor,What do you notice about these two numbers?,00:05:28
ycnsjvb,42,student,12.,00:05:36
ycnsjvb,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
ycnsjvb,44,student,Maybe I should compare them as decimals first.,00:05:52
ycnsjvb,45,tutor,Uh-huh. And what would you do next?,00:06:00
ycnsjvb,46,student,Maybe I should compare them as decimals first.,00:06:08
ycnsjvb,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
ycnsjvb,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
ycnsjvb,49,tutor,Uh-huh. And what would you do next?,00:06:32
ycnsjvb,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
ycnsjvb,51,tutor,What do you notice about these two numbers?,00:06:48
ycnsjvb,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
ycnsjvb,53,tutor,What do you notice about these two numbers?,00:07:04
ycnsjvb,54,student,No,00:07:12
ycnsjvb,55,tutor,Uh-huh. And what would you do next?,00:07:20
ycnsjvb,56,student,Half?,00:07:28
ycnsjvb,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
ycnsjvb,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
ycnsjvb,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
ycnsjvb,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
ycnsjvb,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
ycnsjvb,62,student,Half?,00:08:16
ycnsjvb,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
ycnsjvb,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
ycnsjvb,65,tutor,Can you talk me through how you got that answer?,00:08:40
ycnsjvb,66,student,Okay,00:08:48
ycnsjvb,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
ycnsjvb,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
ycnsjvb,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
ycnsjvb,70,student,Maybe I should compare them as decimals first.,00:09:20
ycnsjvb,71,tutor,Can you talk me through how you got that answer?,00:09:28
ycnsjvb,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
ycnsjvb,73,tutor,Uh-huh. And what would you do next?,00:09:44
ycnsjvb,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
ycnsjvb,75,tutor,What do you notice about these two numbers?,00:10:00
ycnsjvb,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
ycnsjvb,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
ycnsjvb,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
ycnsjvb,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
ycnsjvb,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
ycnsjvb,81,tutor,Uh-huh. And what would you do next?,00:10:48
ycnsjvb,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
ycnsjvb,83,tutor,Can you talk me through how you got that answer?,00:11:04
ycnsjvb,84,student,Half?,00:11:12
ycnsjvb,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
ycnsjvb,86,student,Half?,00:11:28
ycnsjvb,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
ycnsjvb,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
ycnsjvb,89,tutor,Can you talk me through how you got that answer?,00:11:52
ycnsjvb,90,student,Is it 4?,00:12:00
ycnsjvb,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
ycnsjvb,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
ycnsjvb,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
ycnsjvb,94,student,"I would divide it by 100, so the answer is 3.45.",00:12:32
ycnsjvb,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
ycnsjvb,96,student,Yes,00:12:48
ycnsjvb,97,tutor,What do you notice about these two numbers?,00:12:56
ycnsjvb,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
ycnsjvb,99,tutor,What do you notice about these two numbers?,00:13:12
ycnsjvb,100,student,Is it 4?,00:13:20
ycnsjvb,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
ycnsjvb,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
ycnsjvb,103,tutor,What do you notice about these two numbers?,00:13:44
ycnsjvb,104,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:52
ycnsjvb,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
