session_id,utterance_id,role,content,timestamp
ejsbxeu,0,background,[unclear],00:00:00
ejsbxeu,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ejsbxeu,2,student,"Yes, I think so.",00:00:16
ejsbxeu,3,tutor,What do you notice about these two numbers?,00:00:24
ejsbxeu,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
ejsbxeu,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
ejsbxeu,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
ejsbxeu,7,tutor,Can you talk me through how you got that answer?,00:00:56
ejsbxeu,8,student,Maybe I should compare them as decimals first.,00:01:04
ejsbxeu,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
ejsbxeu,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
ejsbxeu,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
ejsbxeu,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
ejsbxeu,13,tutor,Can you talk me through how you got that answer?,00:01:44
ejsbxeu,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
ejsbxeu,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
ejsbxeu,16,student,12.,00:02:08
ejsbxeu,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
ejsbxeu,18,student,Maybe I should compare them as decimals first.,00:02:24
ejsbxeu,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
ejsbxeu,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
ejsbxeu,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
ejsbxeu,22,student,Maybe I should compare them as decimals first.,00:02:56
ejsbxeu,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
ejsbxeu,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
ejsbxeu,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
ejsbxeu,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
