session_id,utterance_id,role,content,timestamp
iylscqj,0,background,[unclear],00:00:00
iylscqj,1,tutor,"Hello, are you ready to get started today?",00:00:08
iylscqj,2,student,"Yes, I think so.",00:00:16
iylscqj,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
iylscqj,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
iylscqj,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
iylscqj,6,student,300?,00:00:48
iylscqj,7,tutor,What do you notice about these two numbers?,00:00:56
iylscqj,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
iylscqj,9,tutor,Can you talk me through how you got that answer?,00:01:12
iylscqj,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
iylscqj,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
iylscqj,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
iylscqj,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
iylscqj,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
iylscqj,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
iylscqj,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
iylscqj,17,tutor,Uh-huh. And what would you do next?,00:02:16
iylscqj,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
iylscqj,19,tutor,Can you talk me through how you got that answer?,00:02:32
iylscqj,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
iylscqj,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
iylscqj,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
iylscqj,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
iylscqj,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
iylscqj,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
iylscqj,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
iylscqj,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
iylscqj,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
iylscqj,29,tutor,What do you notice about these two numbers?,00:03:52
iylscqj,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
iylscqj,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
iylscqj,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
iylscqj,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
iylscqj,34,student,Half?,00:04:32
iylscqj,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
iylscqj,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
iylscqj,37,tutor,Can you talk me through how you got that answer?,00:04:56
iylscqj,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
iylscqj,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
iylscqj,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
iylscqj,41,tutor,Uh-huh. And what would you do next?,00:05:28
iylscqj,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
iylscqj,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
iylscqj,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
iylscqj,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
iylscqj,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
iylscqj,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
iylscqj,48,student,Maybe I should compare them as decimals first.,00:06:24
iylscqj,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
iylscqj,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
iylscqj,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
iylscqj,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
iylscqj,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
iylscqj,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
iylscqj,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
iylscqj,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
iylscqj,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
iylscqj,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
iylscqj,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
iylscqj,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
iylscqj,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
iylscqj,62,student,12.,00:08:16
iylscqj,63,tutor,Can you talk me through how you got that answer?,00:08:24
iylscqj,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
iylscqj,65,tutor,What do you notice about these two numbers?,00:08:40
iylscqj,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
iylscqj,67,tutor,What do you notice about these two numbers?,00:08:56
iylscqj,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
iylscqj,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
iylscqj,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
iylscqj,71,tutor,Uh-huh. And what would you do next?,00:09:28
iylscqj,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
iylscqj,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
iylscqj,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
iylscqj,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
iylscqj,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
iylscqj,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
iylscqj,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
iylscqj,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
