session_id,utterance_id,role,content,timestamp
vhvkatv,0,background,[unclear],00:00:00
vhvkatv,1,tutor,"Hello, are you ready to get started today?",00:00:08
vhvkatv,2,student,"Yes, I think so.",00:00:16
vhvkatv,3,tutor,Can you talk me through how you got that answer?,00:00:24
vhvkatv,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
vhvkatv,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
vhvkatv,6,student,Okay,00:00:48
vhvkatv,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
vhvkatv,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
vhvkatv,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
vhvkatv,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
vhvkatv,11,tutor,What do you notice about these two numbers?,00:01:28
vhvkatv,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
vhvkatv,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
vhvkatv,14,student,Okay,00:01:52
vhvkatv,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
vhvkatv,16,student,Maybe I should compare them as decimals first.,00:02:08
vhvkatv,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
vhvkatv,18,student,Maybe I should compare them as decimals first.,00:02:24
vhvkatv,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
vhvkatv,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
vhvkatv,21,tutor,What do you notice about these two numbers?,00:02:48
vhvkatv,22,student,Okay,00:02:56
vhvkatv,23,tutor,Can you talk me through how you got that answer?,00:03:04
vhvkatv,24,student,No,00:03:12
vhvkatv,25,tutor,Can you talk me through how you got that answer?,00:03:20
vhvkatv,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
vhvkatv,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
vhvkatv,28,student,Maybe I should compare them as decimals first.,00:03:44
vhvkatv,29,tutor,Can you talk me through how you got that answer?,00:03:52
vhvkatv,30,student,Yes,00:04:00
vhvkatv,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
vhvkatv,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
vhvkatv,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
vhvkatv,34,student,Yes,00:04:32
vhvkatv,35,tutor,What do you notice about these two numbers?,00:04:40
vhvkatv,36,student,Maybe I should compare them as decimals first.,00:04:48
vhvkatv,37,tutor,Uh-huh. And what would you do next?,00:04:56
vhvkatv,38,student,Okay,00:05:04
vhvkatv,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
vhvkatv,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
vhvkatv,41,tutor,Uh-huh. And what would you do next?,00:05:28
vhvkatv,42,student,Maybe I should compare them as decimals first.,00:05:36
vhvkatv,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
vhvkatv,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
vhvkatv,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
vhvkatv,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
vhvkatv,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
vhvkatv,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
vhvkatv,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
vhvkatv,50,student,Maybe I should compare them as decimals first.,00:06:40
vhvkatv,51,tutor,Uh-huh. And what would you do next?,00:06:48
vhvkatv,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
vhvkatv,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
vhvkatv,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
vhvkatv,55,tutor,What do you notice about these two numbers?,00:07:20
vhvkatv,56,student,Maybe I should compare them as decimals first.,00:07:28
vhvkatv,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
vhvkatv,58,student,Maybe I should compare them as decimals first.,00:07:44
vhvkatv,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
vhvkatv,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
