session_id,utterance_id,role,content,timestamp
ugeacvu,0,background,[unclear],00:00:00
ugeacvu,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ugeacvu,2,student,"Yes, I think so.",00:00:16
ugeacvu,3,tutor,Can you talk me through how you got that answer?,00:00:24
ugeacvu,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
ugeacvu,5,tutor,Uh-huh. And what would you do next?,00:00:40
ugeacvu,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
ugeacvu,7,tutor,What do you notice about these two numbers?,00:00:56
ugeacvu,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
ugeacvu,9,tutor,Can you talk me through how you got that answer?,00:01:12
ugeacvu,10,student,Yes,00:01:20
ugeacvu,11,tutor,Can you talk me through how you got that answer?,00:01:28
ugeacvu,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
ugeacvu,13,tutor,Can you talk me through how you got that answer?,00:01:44
ugeacvu,14,student,No,00:01:52
ugeacvu,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
ugeacvu,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
ugeacvu,17,tutor,Can you talk me through how you got that answer?,00:02:16
ugeacvu,18,student,Okay,00:02:24
ugeacvu,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
ugeacvu,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
ugeacvu,21,tutor,What do you notice about these two numbers?,00:02:48
ugeacvu,22,student,12.,00:02:56
ugeacvu,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
ugeacvu,24,student,12.,00:03:12
ugeacvu,25,tutor,What do you notice about these two numbers?,00:03:20
ugeacvu,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
ugeacvu,27,tutor,What do you notice about these two numbers?,00:03:36
ugeacvu,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
ugeacvu,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
ugeacvu,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
ugeacvu,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
ugeacvu,32,student,Maybe I should compare them as decimals first.,00:04:16
ugeacvu,33,tutor,Can you talk me through how you got that answer?,00:04:24
ugeacvu,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
ugeacvu,35,tutor,Uh-huh. And what would you do next?,00:04:40
ugeacvu,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
ugeacvu,37,tutor,What do you notice about these two numbers?,00:04:56
ugeacvu,38,student,Is it 4?,00:05:04
ugeacvu,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
ugeacvu,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
ugeacvu,41,tutor,Can you talk me through how you got that answer?,00:05:28
ugeacvu,42,student,No,00:05:36
ugeacvu,43,tutor,Can you talk me through how you got that answer?,00:05:44
ugeacvu,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
ugeacvu,45,tutor,Uh-huh. And what would you do next?,00:06:00
ugeacvu,46,student,Yes,00:06:08
ugeacvu,47,tutor,Uh-huh. And what would you do next?,00:06:16
ugeacvu,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
ugeacvu,49,tutor,Can you talk me through how you got that answer?,00:06:32
ugeacvu,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
ugeacvu,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
ugeacvu,52,student,6?,00:06:56
