session_id,utterance_id,role,content,timestamp
hzlntre,0,background,[unclear],00:00:00
hzlntre,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
hzlntre,2,student,"Yes, I think so.",00:00:16
hzlntre,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
hzlntre,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
hzlntre,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
hzlntre,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
hzlntre,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
hzlntre,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
hzlntre,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
hzlntre,10,student,6?,00:01:20
hzlntre,11,tutor,What do you notice about these two numbers?,00:01:28
hzlntre,12,student,Okay,00:01:36
hzlntre,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
hzlntre,14,student,Maybe I should compare them as decimals first.,00:01:52
hzlntre,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
hzlntre,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
hzlntre,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
hzlntre,18,student,Yes,00:02:24
hzlntre,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
hzlntre,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
hzlntre,21,tutor,Uh-huh. And what would you do next?,00:02:48
hzlntre,22,student,Is it 4?,00:02:56
hzlntre,23,tutor,Uh-huh. And what would you do next?,00:03:04
hzlntre,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
hzlntre,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
hzlntre,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
hzlntre,27,tutor,Uh-huh. And what would you do next?,00:03:36
hzlntre,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
hzlntre,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
hzlntre,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
hzlntre,31,tutor,Can you talk me through how you got that answer?,00:04:08
hzlntre,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
hzlntre,33,tutor,Can you talk me through how you got that answer?,00:04:24
hzlntre,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
hzlntre,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
hzlntre,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
hzlntre,37,tutor,Uh-huh. And what would you do next?,00:04:56
hzlntre,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
hzlntre,39,tutor,Can you talk me through how you got that answer?,00:05:12
hzlntre,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
hzlntre,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
hzlntre,42,student,No,00:05:36
hzlntre,43,tutor,What do you notice about these two numbers?,00:05:44
hzlntre,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
hzlntre,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
hzlntre,46,student,Half?,00:06:08
hzlntre,47,tutor,What do you notice about these two numbers?,00:06:16
hzlntre,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
hzlntre,49,tutor,Uh-huh. And what would you do next?,00:06:32
hzlntre,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
hzlntre,51,tutor,Uh-huh. And what would you do next?,00:06:48
hzlntre,52,student,Maybe I should compare them as decimals first.,00:06:56
hzlntre,53,tutor,Uh-huh. And what would you do next?,00:07:04
hzlntre,54,student,Maybe I should compare them as decimals first.,00:07:12
hzlntre,55,tutor,Can you talk me through how you got that answer?,00:07:20
hzlntre,56,student,Maybe I should compare them as decimals first.,00:07:28
hzlntre,57,tutor,Can you talk me through how you got that answer?,00:07:36
hzlntre,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
hzlntre,59,tutor,Uh-huh. And what would you do next?,00:07:52
hzlntre,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
hzlntre,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
hzlntre,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
hzlntre,63,tutor,Can you talk me through how you got that answer?,00:08:24
hzlntre,64,student,Maybe I should compare them as decimals first.,00:08:32
hzlntre,65,tutor,Can you talk me through how you got that answer?,00:08:40
hzlntre,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
hzlntre,67,tutor,What do you notice about these two numbers?,00:08:56
hzlntre,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
