session_id,utterance_id,role,content,timestamp
xrbdxfc,0,background,[unclear],00:00:00
xrbdxfc,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
xrbdxfc,2,student,"Yes, I think so.",00:00:16
xrbdxfc,3,tutor,What do you notice about these two numbers?,00:00:24
xrbdxfc,4,student,Half?,00:00:32
xrbdxfc,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
xrbdxfc,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
xrbdxfc,7,tutor,Can you talk me through how you got that answer?,00:00:56
xrbdxfc,8,student,Maybe I should compare them as decimals first.,00:01:04
xrbdxfc,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
xrbdxfc,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
xrbdxfc,11,tutor,Uh-huh. And what would you do next?,00:01:28
xrbdxfc,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
xrbdxfc,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
xrbdxfc,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
xrbdxfc,15,tutor,Can you talk me through how you got that answer?,00:02:00
xrbdxfc,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
xrbdxfc,17,tutor,Uh-huh. And what would you do next?,00:02:16
xrbdxfc,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
xrbdxfc,19,tutor,What do you notice about these two numbers?,00:02:32
xrbdxfc,20,student,Maybe I should compare them as decimals first.,00:02:40
xrbdxfc,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
xrbdxfc,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
xrbdxfc,23,tutor,What do you notice about these two numbers?,00:03:04
xrbdxfc,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
xrbdxfc,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
xrbdxfc,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
xrbdxfc,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
xrbdxfc,28,student,Maybe I should compare them as decimals first.,00:03:44
xrbdxfc,29,tutor,What do you notice about these two numbers?,00:03:52
xrbdxfc,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
xrbdxfc,31,tutor,Uh-huh. And what would you do next?,00:04:08
xrbdxfc,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
xrbdxfc,33,tutor,What do you notice about these two numbers?,00:04:24
xrbdxfc,34,student,Yes,00:04:32
xrbdxfc,35,tutor,Can you talk me through how you got that answer?,00:04:40
xrbdxfc,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
xrbdxfc,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
xrbdxfc,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
xrbdxfc,39,tutor,Can you talk me through how you got that answer?,00:05:12
xrbdxfc,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
xrbdxfc,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
xrbdxfc,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
xrbdxfc,43,tutor,Can you talk me through how you got that answer?,00:05:44
xrbdxfc,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
xrbdxfc,45,tutor,Uh-huh. And what would you do next?,00:06:00
xrbdxfc,46,student,75.,00:06:08
