session_id,utterance_id,role,content,timestamp
uvsqtux,0,background,[unclear],00:00:00
uvsqtux,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
uvsqtux,2,student,"Yes, I think so.",00:00:16
uvsqtux,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
uvsqtux,4,student,Maybe I should compare them as decimals first.,00:00:32
uvsqtux,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
uvsqtux,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
uvsqtux,7,tutor,What do you notice about these two numbers?,00:00:56
uvsqtux,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
uvsqtux,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
uvsqtux,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
uvsqtux,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
uvsqtux,12,student,6?,00:01:36
uvsqtux,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
uvsqtux,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
uvsqtux,15,tutor,What do you notice about these two numbers?,00:02:00
uvsqtux,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
uvsqtux,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
uvsqtux,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
uvsqtux,19,tutor,Uh-huh. And what would you do next?,00:02:32
uvsqtux,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
uvsqtux,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
uvsqtux,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
uvsqtux,23,tutor,Uh-huh. And what would you do next?,00:03:04
uvsqtux,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
uvsqtux,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
uvsqtux,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
uvsqtux,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
uvsqtux,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
uvsqtux,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
uvsqtux,30,student,Maybe I should compare them as decimals first.,00:04:00
uvsqtux,31,tutor,Can you talk me through how you got that answer?,00:04:08
uvsqtux,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
uvsqtux,33,tutor,Uh-huh. And what would you do next?,00:04:24
uvsqtux,34,student,Okay,00:04:32
uvsqtux,35,tutor,Can you talk me through how you got that answer?,00:04:40
uvsqtux,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
uvsqtux,37,tutor,What do you notice about these two numbers?,00:04:56
uvsqtux,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
uvsqtux,39,tutor,What do you notice about these two numbers?,00:05:12
uvsqtux,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
uvsqtux,41,tutor,Uh-huh. And what would you do next?,00:05:28
uvsqtux,42,student,Maybe I should compare them as decimals first.,00:05:36
uvsqtux,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
uvsqtux,44,student,Maybe I should compare them as decimals first.,00:05:52
uvsqtux,45,tutor,Can you talk me through how you got that answer?,00:06:00
uvsqtux,46,student,Maybe I should compare them as decimals first.,00:06:08
uvsqtux,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
uvsqtux,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
uvsqtux,49,tutor,What do you notice about these two numbers?,00:06:32
uvsqtux,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
uvsqtux,51,tutor,Can you talk me through how you got that answer?,00:06:48
uvsqtux,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
uvsqtux,53,tutor,Can you talk me through how you got that answer?,00:07:04
uvsqtux,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
uvsqtux,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
uvsqtux,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
uvsqtux,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
uvsqtux,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
uvsqtux,59,tutor,What do you notice about these two numbers?,00:07:52
