session_id,utterance_id,role,content,timestamp
cvbytrn,0,background,[unclear],00:00:00
cvbytrn,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
cvbytrn,2,student,"Yes, I think so.",00:00:16
cvbytrn,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
cvbytrn,4,student,6?,00:00:32
cvbytrn,5,tutor,Can you talk me through how you got that answer?,00:00:40
cvbytrn,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
cvbytrn,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
cvbytrn,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
cvbytrn,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
cvbytrn,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
cvbytrn,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
cvbytrn,12,student,Maybe I should compare them as decimals first.,00:01:36
cvbytrn,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
cvbytrn,14,student,Is it 4?,00:01:52
cvbytrn,15,tutor,Uh-huh. And what would you do next?,00:02:00
cvbytrn,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
cvbytrn,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
cvbytrn,18,student,Maybe I should compare them as decimals first.,00:02:24
cvbytrn,19,tutor,Uh-huh. And what would you do next?,00:02:32
cvbytrn,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
cvbytrn,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
cvbytrn,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
cvbytrn,23,tutor,Uh-huh. And what would you do next?,00:03:04
cvbytrn,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
cvbytrn,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
cvbytrn,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
cvbytrn,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
cvbytrn,28,student,75.,00:03:44
cvbytrn,29,tutor,What do you notice about these two numbers?,00:03:52
cvbytrn,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
cvbytrn,31,tutor,Can you talk me through how you got that answer?,00:04:08
cvbytrn,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
cvbytrn,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
cvbytrn,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
cvbytrn,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
cvbytrn,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
cvbytrn,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
cvbytrn,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
cvbytrn,39,tutor,Can you talk me through how you got that answer?,00:05:12
cvbytrn,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
cvbytrn,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
cvbytrn,42,student,Maybe I should compare them as decimals first.,00:05:36
cvbytrn,43,tutor,Can you talk me through how you got that answer?,00:05:44
cvbytrn,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
