session_id,utterance_id,role,content,timestamp
kskezjh,0,background,[unclear],00:00:00
kskezjh,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
kskezjh,2,student,"Yes, I think so.",00:00:16
kskezjh,3,tutor,Uh-huh. And what would you do next?,00:00:24
kskezjh,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
kskezjh,5,tutor,What do you notice about these two numbers?,00:00:40
kskezjh,6,student,Maybe I should compare them as decimals first.,00:00:48
kskezjh,7,tutor,What do you notice about these two numbers?,00:00:56
kskezjh,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
kskezjh,9,tutor,Uh-huh. And what would you do next?,00:01:12
kskezjh,10,student,Maybe I should compare them as decimals first.,00:01:20
kskezjh,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
kskezjh,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
kskezjh,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
kskezjh,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
kskezjh,15,tutor,What do you notice about these two numbers?,00:02:00
kskezjh,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
kskezjh,17,tutor,Can you talk me through how you got that answer?,00:02:16
kskezjh,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
kskezjh,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
kskezjh,20,student,Maybe I should compare them as decimals first.,00:02:40
kskezjh,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
kskezjh,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
kskezjh,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
kskezjh,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
kskezjh,25,tutor,Uh-huh. And what would you do next?,00:03:20
kskezjh,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
kskezjh,27,tutor,What do you notice about these two numbers?,00:03:36
kskezjh,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
kskezjh,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
kskezjh,30,student,300?,00:04:00
kskezjh,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
kskezjh,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
kskezjh,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
kskezjh,34,student,Maybe I should compare them as decimals first.,00:04:32
kskezjh,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
kskezjh,36,student,12.,00:04:48
kskezjh,37,tutor,Can you talk me through how you got that answer?,00:04:56
kskezjh,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
kskezjh,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
kskezjh,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
kskezjh,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
kskezjh,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
kskezjh,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
kskezjh,44,student,Okay,00:05:52
kskezjh,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
kskezjh,46,student,Maybe I should compare them as decimals first.,00:06:08
kskezjh,47,tutor,Can you talk me through how you got that answer?,00:06:16
kskezjh,48,student,75.,00:06:24
kskezjh,49,tutor,What do you notice about these two numbers?,00:06:32
kskezjh,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
kskezjh,51,tutor,Can you talk me through how you got that answer?,00:06:48
kskezjh,52,student,6?,00:06:56
kskezjh,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
kskezjh,54,student,Maybe I should compare them as decimals first.,00:07:12
kskezjh,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
kskezjh,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
kskezjh,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
kskezjh,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
kskezjh,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
kskezjh,60,student,Yes,00:08:00
kskezjh,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
kskezjh,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
kskezjh,63,tutor,What do you notice about these two numbers?,00:08:24
kskezjh,64,student,Okay,00:08:32
kskezjh,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
kskezjh,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
