session_id,utterance_id,role,content,timestamp
jlambzq,0,background,[unclear],00:00:00
jlambzq,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
jlambzq,2,student,"Yes, I think so.",00:00:16
jlambzq,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
jlambzq,4,student,Maybe I should compare them as decimals first.,00:00:32
jlambzq,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
jlambzq,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
jlambzq,7,tutor,What do you notice about these two numbers?,00:00:56
jlambzq,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
jlambzq,9,tutor,What do you notice about these two numbers?,00:01:12
jlambzq,10,student,Half?,00:01:20
jlambzq,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
jlambzq,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
jlambzq,13,tutor,What do you notice about these two numbers?,00:01:44
jlambzq,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
jlambzq,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
jlambzq,16,student,Yes,00:02:08
jlambzq,17,tutor,What do you notice about these two numbers?,00:02:16
jlambzq,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
jlambzq,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
jlambzq,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
jlambzq,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
jlambzq,22,student,Maybe I should compare them as decimals first.,00:02:56
jlambzq,23,tutor,Can you talk me through how you got that answer?,00:03:04
jlambzq,24,student,Okay,00:03:12
jlambzq,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
jlambzq,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
jlambzq,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
jlambzq,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
jlambzq,29,tutor,Can you talk me through how you got that answer?,00:03:52
jlambzq,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
jlambzq,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
jlambzq,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
jlambzq,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
jlambzq,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
jlambzq,35,tutor,Can you talk me through how you got that answer?,00:04:40
jlambzq,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
jlambzq,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
jlambzq,38,student,300?,00:05:04
jlambzq,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
jlambzq,40,student,Half?,00:05:20
jlambzq,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
jlambzq,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
jlambzq,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
jlambzq,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
jlambzq,45,tutor,What do you notice about these two numbers?,00:06:00
jlambzq,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
jlambzq,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
jlambzq,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
jlambzq,49,tutor,What do you notice about these two numbers?,00:06:32
jlambzq,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
jlambzq,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
jlambzq,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
jlambzq,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
jlambzq,54,student,Maybe I should compare them as decimals first.,00:07:12
jlambzq,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
jlambzq,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
jlambzq,57,tutor,What do you notice about these two numbers?,00:07:36
jlambzq,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
jlambzq,59,tutor,Can you talk me through how you got that answer?,00:07:52
jlambzq,60,student,Yes,00:08:00
jlambzq,61,tutor,Uh-huh. And what would you do next?,00:08:08
jlambzq,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
jlambzq,63,tutor,Can you talk me through how you got that answer?,00:08:24
jlambzq,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
jlambzq,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
jlambzq,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
jlambzq,67,tutor,Uh-huh. And what would you do next?,00:08:56
jlambzq,68,student,12.,00:09:04
jlambzq,69,tutor,What do you notice about these two numbers?,00:09:12
jlambzq,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
jlambzq,71,tutor,Uh-huh. And what would you do next?,00:09:28
jlambzq,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
jlambzq,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
jlambzq,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
jlambzq,75,tutor,Uh-huh. And what would you do next?,00:10:00
jlambzq,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
jlambzq,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
jlambzq,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
jlambzq,79,tutor,Can you talk me through how you got that answer?,00:10:32
jlambzq,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
jlambzq,81,tutor,Can you talk me through how you got that answer?,00:10:48
jlambzq,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
jlambzq,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
jlambzq,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
jlambzq,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
jlambzq,86,student,Yes,00:11:28
jlambzq,87,tutor,Can you talk me through how you got that answer?,00:11:36
jlambzq,88,student,Maybe I should compare them as decimals first.,00:11:44
jlambzq,89,tutor,What do you notice about these two numbers?,00:11:52
jlambzq,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
jlambzq,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
jlambzq,92,student,I'm not sure. Is it because 10 has one zero?,00:12:16
jlambzq,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
jlambzq,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
jlambzq,95,tutor,What do you notice about these two numbers?,00:12:40
jlambzq,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
jlambzq,97,tutor,Can you talk me through how you got that answer?,00:12:56
jlambzq,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
jlambzq,99,tutor,What do you notice about these two numbers?,00:13:12
jlambzq,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
jlambzq,101,tutor,What do you notice about these two numbers?,00:13:28
jlambzq,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
jlambzq,103,tutor,Uh-huh. And what would you do next?,00:13:44
jlambzq,104,student,Maybe I should compare them as decimals first.,00:13:52
jlambzq,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
jlambzq,106,student,Is it 4?,00:14:08
jlambzq,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
jlambzq,108,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:24
jlambzq,109,tutor,So let me ask you first. Do you know what a fact family is?,00:14:32
jlambzq,110,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:40
jlambzq,111,tutor,Uh-huh. And what would you do next?,00:14:48
jlambzq,112,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:56
jlambzq,113,tutor,What do you notice about these two numbers?,00:15:04
jlambzq,114,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:12
jlambzq,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
jlambzq,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
jlambzq,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
jlambzq,118,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:44
jlambzq,119,tutor,Remember what we said about the denominator. What happens here?,00:15:52
jlambzq,120,student,I'm not sure. Is it because 10 has one zero?,00:16:00
jlambzq,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
jlambzq,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
jlambzq,123,tutor,Remember what we said about the denominator. What happens here?,00:16:24
jlambzq,124,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:32
jlambzq,125,tutor,Uh-huh. And what would you do next?,00:16:40
jlambzq,126,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:48
jlambzq,127,tutor,Remember what we said about the denominator. What happens here?,00:16:56
jlambzq,128,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:04
jlambzq,129,tutor,What do you notice about these two numbers?,00:17:12
jlambzq,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
jlambzq,131,tutor,Can you talk me through how you got that answer?,00:17:28
jlambzq,132,student,Is it 4?,00:17:36
jlambzq,133,tutor,What do you notice about these two numbers?,00:17:44
jlambzq,134,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:52
jlambzq,135,tutor,Remember what we said about the denominator. What happens here?,00:18:00
jlambzq,136,student,I'm not sure. Is it because 10 has one zero?,00:18:08
jlambzq,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
jlambzq,138,student,I'm not sure. Is it because 10 has one zero?,00:18:24
