session_id,utterance_id,role,content,timestamp
wpjwzin,0,background,[unclear],00:00:00
wpjwzin,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
wpjwzin,2,student,"Yes, I think so.",00:00:16
wpjwzin,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
wpjwzin,4,student,Yes,00:00:32
wpjwzin,5,tutor,Uh-huh. And what would you do next?,00:00:40
wpjwzin,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
wpjwzin,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
wpjwzin,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
wpjwzin,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
wpjwzin,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
wpjwzin,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
wpjwzin,12,student,Maybe I should compare them as decimals first.,00:01:36
wpjwzin,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
wpjwzin,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
wpjwzin,15,tutor,Uh-huh. And what would you do next?,00:02:00
wpjwzin,16,student,Yes,00:02:08
wpjwzin,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
wpjwzin,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
wpjwzin,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
wpjwzin,20,student,Okay,00:02:40
wpjwzin,21,tutor,Uh-huh. And what would you do next?,00:02:48
wpjwzin,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
wpjwzin,23,tutor,Uh-huh. And what would you do next?,00:03:04
wpjwzin,24,student,12.,00:03:12
wpjwzin,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
wpjwzin,26,student,Yes,00:03:28
wpjwzin,27,tutor,Uh-huh. And what would you do next?,00:03:36
wpjwzin,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
wpjwzin,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
wpjwzin,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
wpjwzin,31,tutor,Uh-huh. And what would you do next?,00:04:08
wpjwzin,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
wpjwzin,33,tutor,What do you notice about these two numbers?,00:04:24
wpjwzin,34,student,Maybe I should compare them as decimals first.,00:04:32
wpjwzin,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
wpjwzin,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
wpjwzin,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
wpjwzin,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
wpjwzin,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
wpjwzin,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
wpjwzin,41,tutor,Can you talk me through how you got that answer?,00:05:28
wpjwzin,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
wpjwzin,43,tutor,Uh-huh. And what would you do next?,00:05:44
wpjwzin,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
wpjwzin,45,tutor,Uh-huh. And what would you do next?,00:06:00
wpjwzin,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
wpjwzin,47,tutor,Can you talk me through how you got that answer?,00:06:16
wpjwzin,48,student,Yes,00:06:24
wpjwzin,49,tutor,Can you talk me through how you got that answer?,00:06:32
wpjwzin,50,student,Okay,00:06:40
wpjwzin,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
wpjwzin,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
wpjwzin,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
wpjwzin,54,student,Okay,00:07:12
wpjwzin,55,tutor,Uh-huh. And what would you do next?,00:07:20
wpjwzin,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
wpjwzin,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
wpjwzin,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
wpjwzin,59,tutor,Can you talk me through how you got that answer?,00:07:52
wpjwzin,60,student,75.,00:08:00
wpjwzin,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
wpjwzin,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
wpjwzin,63,tutor,Can you talk me through how you got that answer?,00:08:24
wpjwzin,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
wpjwzin,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
