session_id,utterance_id,role,content,timestamp
tmllwkh,0,background,[unclear],00:00:00
tmllwkh,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
tmllwkh,2,student,"Yes, I think so.",00:00:16
tmllwkh,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
tmllwkh,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
tmllwkh,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
tmllwkh,6,student,Maybe I should compare them as decimals first.,00:00:48
tmllwkh,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
tmllwkh,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
tmllwkh,9,tutor,Can you talk me through how you got that answer?,00:01:12
tmllwkh,10,student,Maybe I should compare them as decimals first.,00:01:20
tmllwkh,11,tutor,Uh-huh. And what would you do next?,00:01:28
tmllwkh,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
tmllwkh,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
tmllwkh,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
tmllwkh,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
tmllwkh,16,student,Half?,00:02:08
tmllwkh,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
tmllwkh,18,student,Half?,00:02:24
tmllwkh,19,tutor,Uh-huh. And what would you do next?,00:02:32
tmllwkh,20,student,Maybe I should compare them as decimals first.,00:02:40
tmllwkh,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
tmllwkh,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
tmllwkh,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
tmllwkh,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
tmllwkh,25,tutor,Uh-huh. And what would you do next?,00:03:20
tmllwkh,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
tmllwkh,27,tutor,Can you talk me through how you got that answer?,00:03:36
tmllwkh,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
tmllwkh,29,tutor,What do you notice about these two numbers?,00:03:52
tmllwkh,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
tmllwkh,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
tmllwkh,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
tmllwkh,33,tutor,What do you notice about these two numbers?,00:04:24
tmllwkh,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
tmllwkh,35,tutor,What do you notice about these two numbers?,00:04:40
tmllwkh,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
tmllwkh,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
tmllwkh,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
tmllwkh,39,tutor,Can you talk me through how you got that answer?,00:05:12
tmllwkh,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
tmllwkh,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
tmllwkh,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
tmllwkh,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
tmllwkh,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
tmllwkh,45,tutor,Can you talk me through how you got that answer?,00:06:00
tmllwkh,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
tmllwkh,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
tmllwkh,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
tmllwkh,49,tutor,Can you talk me through how you got that answer?,00:06:32
tmllwkh,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
tmllwkh,51,tutor,Uh-huh. And what would you do next?,00:06:48
tmllwkh,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
tmllwkh,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
tmllwkh,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
tmllwkh,55,tutor,What do you notice about these two numbers?,00:07:20
tmllwkh,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
tmllwkh,57,tutor,Can you talk me through how you got that answer?,00:07:36
tmllwkh,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
tmllwkh,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
