session_id,utterance_id,role,content,timestamp
evwfqno,0,background,[unclear],00:00:00
evwfqno,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
evwfqno,2,student,"Yes, I think so.",00:00:16
evwfqno,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
evwfqno,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
evwfqno,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
evwfqno,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
evwfqno,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
evwfqno,8,student,Okay,00:01:04
evwfqno,9,tutor,Can you talk me through how you got that answer?,00:01:12
evwfqno,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
evwfqno,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
evwfqno,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
evwfqno,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
evwfqno,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
evwfqno,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
evwfqno,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
evwfqno,17,tutor,What do you notice about these two numbers?,00:02:16
evwfqno,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
evwfqno,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
evwfqno,20,student,Maybe I should compare them as decimals first.,00:02:40
evwfqno,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
evwfqno,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
evwfqno,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
evwfqno,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
evwfqno,25,tutor,Can you talk me through how you got that answer?,00:03:20
evwfqno,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
evwfqno,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
evwfqno,28,student,12.,00:03:44
evwfqno,29,tutor,What do you notice about these two numbers?,00:03:52
evwfqno,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
evwfqno,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
evwfqno,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
evwfqno,33,tutor,Can you talk me through how you got that answer?,00:04:24
evwfqno,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
evwfqno,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
evwfqno,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
evwfqno,37,tutor,What do you notice about these two numbers?,00:04:56
evwfqno,38,student,No,00:05:04
evwfqno,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
evwfqno,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
evwfqno,41,tutor,Uh-huh. And what would you do next?,00:05:28
evwfqno,42,student,Maybe I should compare them as decimals first.,00:05:36
evwfqno,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
evwfqno,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
evwfqno,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
evwfqno,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
evwfqno,47,tutor,Can you talk me through how you got that answer?,00:06:16
evwfqno,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
evwfqno,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
evwfqno,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
evwfqno,51,tutor,Can you talk me through how you got that answer?,00:06:48
evwfqno,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
evwfqno,53,tutor,Uh-huh. And what would you do next?,00:07:04
evwfqno,54,student,75.,00:07:12
