session_id,utterance_id,role,content,timestamp
wauyrer,0,background,[unclear],00:00:00
wauyrer,1,tutor,"Hello, are you ready to get started today?",00:00:08
wauyrer,2,student,"Yes, I think so.",00:00:16
wauyrer,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
wauyrer,4,student,12.,00:00:32
wauyrer,5,tutor,Can you talk me through how you got that answer?,00:00:40
wauyrer,6,student,Maybe I should compare them as decimals first.,00:00:48
wauyrer,7,tutor,Can you talk me through how you got that answer?,00:00:56
wauyrer,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
wauyrer,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
wauyrer,10,student,75.,00:01:20
wauyrer,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
wauyrer,12,student,75.,00:01:36
wauyrer,13,tutor,What do you notice about these two numbers?,00:01:44
wauyrer,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
wauyrer,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
wauyrer,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
wauyrer,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
wauyrer,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
wauyrer,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
wauyrer,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
wauyrer,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
wauyrer,22,student,Maybe I should compare them as decimals first.,00:02:56
wauyrer,23,tutor,Uh-huh. And what would you do next?,00:03:04
wauyrer,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
wauyrer,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
wauyrer,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
wauyrer,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
wauyrer,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
wauyrer,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
wauyrer,30,student,12.,00:04:00
wauyrer,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
wauyrer,32,student,Maybe I should compare them as decimals first.,00:04:16
wauyrer,33,tutor,Can you talk me through how you got that answer?,00:04:24
wauyrer,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
wauyrer,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
wauyrer,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
wauyrer,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
wauyrer,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
wauyrer,39,tutor,Can you talk me through how you got that answer?,00:05:12
wauyrer,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
wauyrer,41,tutor,Uh-huh. And what would you do next?,00:05:28
wauyrer,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
wauyrer,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
wauyrer,44,student,Maybe I should compare them as decimals first.,00:05:52
wauyrer,45,tutor,What do you notice about these two numbers?,00:06:00
wauyrer,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
wauyrer,47,tutor,What do you notice about these two numbers?,00:06:16
wauyrer,48,student,Maybe I should compare them as decimals first.,00:06:24
wauyrer,49,tutor,What do you notice about these two numbers?,00:06:32
wauyrer,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
wauyrer,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
wauyrer,52,student,Maybe I should compare them as decimals first.,00:06:56
wauyrer,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
wauyrer,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
wauyrer,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
wauyrer,56,student,Is it 4?,00:07:28
wauyrer,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
wauyrer,58,student,Half?,00:07:44
wauyrer,59,tutor,What do you notice about these two numbers?,00:07:52
wauyrer,60,student,Maybe I should compare them as decimals first.,00:08:00
wauyrer,61,tutor,Uh-huh. And what would you do next?,00:08:08
wauyrer,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
wauyrer,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
wauyrer,64,student,Maybe I should compare them as decimals first.,00:08:32
wauyrer,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
wauyrer,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
wauyrer,67,tutor,Uh-huh. And what would you do next?,00:08:56
wauyrer,68,student,6?,00:09:04
wauyrer,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
wauyrer,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
wauyrer,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
wauyrer,72,student,Maybe I should compare them as decimals first.,00:09:36
wauyrer,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
wauyrer,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
wauyrer,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
wauyrer,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
wauyrer,77,tutor,What do you notice about these two numbers?,00:10:16
wauyrer,78,student,Maybe I should compare them as decimals first.,00:10:24
wauyrer,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
wauyrer,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
wauyrer,81,tutor,Uh-huh. And what would you do next?,00:10:48
wauyrer,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
wauyrer,83,tutor,Can you talk me through how you got that answer?,00:11:04
wauyrer,84,student,No,00:11:12
wauyrer,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
wauyrer,86,student,Maybe I should compare them as decimals first.,00:11:28
wauyrer,87,tutor,Uh-huh. And what would you do next?,00:11:36
wauyrer,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
wauyrer,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
wauyrer,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
wauyrer,91,tutor,Uh-huh. And what would you do next?,00:12:08
wauyrer,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
wauyrer,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
wauyrer,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
wauyrer,95,tutor,Uh-huh. And what would you do next?,00:12:40
wauyrer,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
wauyrer,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
wauyrer,98,student,"I would divide it by 100, so the answer is 3.45.",00:13:04
wauyrer,99,tutor,So let me ask you first. Do you know what a fact family is?,00:13:12
wauyrer,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
wauyrer,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
wauyrer,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
wauyrer,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
wauyrer,104,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:52
wauyrer,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
wauyrer,106,student,Maybe I should compare them as decimals first.,00:14:08
wauyrer,107,tutor,What do you notice about these two numbers?,00:14:16
wauyrer,108,student,I think we need to make the bottom numbers the same before we add.,00:14:24
wauyrer,109,tutor,So let me ask you first. Do you know what a fact family is?,00:14:32
wauyrer,110,student,Okay,00:14:40
wauyrer,111,tutor,What do you notice about these two numbers?,00:14:48
wauyrer,112,student,75.,00:14:56
wauyrer,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
wauyrer,114,student,Maybe I should compare them as decimals first.,00:15:12
wauyrer,115,tutor,Let's try a similar one. What is 30 times 4?,00:15:20
wauyrer,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
wauyrer,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
wauyrer,118,student,Half?,00:15:44
wauyrer,119,tutor,Can you talk me through how you got that answer?,00:15:52
wauyrer,120,student,"I would divide it by 100, so the answer is 3.45.",00:16:00
wauyrer,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
wauyrer,122,student,I'm not sure. Is it because 10 has one zero?,00:16:16
wauyrer,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
wauyrer,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
wauyrer,125,tutor,So let me ask you first. Do you know what a fact family is?,00:16:40
wauyrer,126,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:48
wauyrer,127,tutor,Remember what we said about the denominator. What happens here?,00:16:56
wauyrer,128,student,Maybe I should compare them as decimals first.,00:17:04
wauyrer,129,tutor,Remember what we said about the denominator. What happens here?,00:17:12
wauyrer,130,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:20
wauyrer,131,tutor,What do you notice about these two numbers?,00:17:28
wauyrer,132,student,Maybe I should compare them as decimals first.,00:17:36
wauyrer,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
wauyrer,134,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:52
wauyrer,135,tutor,Remember what we said about the denominator. What happens here?,00:18:00
wauyrer,136,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:08
wauyrer,137,tutor,Uh-huh. And what would you do next?,00:18:16
wauyrer,138,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:24
wauyrer,139,tutor,Can you talk me through how you got that answer?,00:18:32
wauyrer,140,student,I think we need to make the bottom numbers the same before we add.,00:18:40
wauyrer,141,tutor,Uh-huh. And what would you do next?,00:18:48
wauyrer,142,student,Maybe I should compare them as decimals first.,00:18:56
wauyrer,143,tutor,Can you talk me through how you got that answer?,00:19:04
wauyrer,144,student,I think we need to make the bottom numbers the same before we add.,00:19:12
wauyrer,145,tutor,What do you notice about these two numbers?,00:19:20
wauyrer,146,student,I think we need to make the bottom numbers the same before we add.,00:19:28
wauyrer,147,tutor,Can you talk me through how you got that answer?,00:19:36
wauyrer,148,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:44
wauyrer,149,tutor,Remember what we said about the denominator. What happens here?,00:19:52
wauyrer,150,student,"I would divide it by 100, so the answer is 3.45.",00:20:00
wauyrer,151,tutor,Uh-huh. And what would you do next?,00:20:08
wauyrer,152,student,"I would divide it by 100, so the answer is 3.45.",00:20:16
wauyrer,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
wauyrer,154,student,I think we need to make the bottom numbers the same before we add.,00:20:32
wauyrer,155,tutor,So let me ask you first. Do you know what a fact family is?,00:20:40
wauyrer,156,student,"I would divide it by 100, so the answer is 3.45.",00:20:48
wauyrer,157,tutor,Remember what we said about the denominator. What happens here?,00:20:56
wauyrer,158,student,75.,00:21:04
wauyrer,159,tutor,Uh-huh. And what would you do next?,00:21:12
wauyrer,160,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:20
wauyrer,161,tutor,So let me ask you first. Do you know what a fact family is?,00:21:28
wauyrer,162,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:36
wauyrer,163,tutor,Remember what we said about the denominator. What happens here?,00:21:44
wauyrer,164,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:52
wauyrer,165,tutor,Can you talk me through how you got that answer?,00:22:00
wauyrer,166,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:08
wauyrer,167,tutor,Let's try a similar one. What is 30 times 4?,00:22:16
wauyrer,168,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:24
wauyrer,169,tutor,What do you notice about these two numbers?,00:22:32
wauyrer,170,student,I'm not sure. Is it because 10 has one zero?,00:22:40
wauyrer,171,tutor,Let's try a similar one. What is 30 times 4?,00:22:48
wauyrer,172,student,I think we need to make the bottom numbers the same before we add.,00:22:56
wauyrer,173,tutor,So let me ask you first. Do you know what a fact family is?,00:23:04
wauyrer,174,student,Maybe I should compare them as decimals first.,00:23:12
wauyrer,175,tutor,Let's try a similar one. What is 30 times 4?,00:23:20
wauyrer,176,student,Half?,00:23:28
wauyrer,177,tutor,So let me ask you first. Do you know what a fact family is?,00:23:36
wauyrer,178,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:23:44
wauyrer,179,tutor,What do you notice about these two numbers?,00:23:52
wauyrer,180,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:00
wauyrer,181,tutor,"Good thinking. Now, is that answer reasonable?",00:24:08
wauyrer,182,student,"I would divide it by 100, so the answer is 3.45.",00:24:16
wauyrer,183,tutor,Let's try a similar one. What is 30 times 4?,00:24:24
wauyrer,184,student,I'm not sure. Is it because 10 has one zero?,00:24:32
wauyrer,185,tutor,Let's try a similar one. What is 30 times 4?,00:24:40
wauyrer,186,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:24:48
wauyrer,187,tutor,What do you notice about these two numbers?,00:24:56
wauyrer,188,student,I think we need to make the bottom numbers the same before we add.,00:25:04
wauyrer,189,tutor,Remember what we said about the denominator. What happens here?,00:25:12
wauyrer,190,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:25:20
wauyrer,191,tutor,Uh-huh. And what would you do next?,00:25:28
wauyrer,192,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:25:36
wauyrer,193,tutor,Let's try a similar one. What is 30 times 4?,00:25:44
wauyrer,194,student,I'm not sure. Is it because 10 has one zero?,00:25:52
wauyrer,195,tutor,Can you talk me through how you got that answer?,00:26:00
wauyrer,196,student,"I would divide it by 100, so the answer is 3.45.",00:26:08
wauyrer,197,tutor,Uh-huh. And what would you do next?,00:26:16
wauyrer,198,student,Yes,00:26:24
wauyrer,199,tutor,So let me ask you first. Do you know what a fact family is?,00:26:32
wauyrer,200,student,I think we need to make the bottom numbers the same before we add.,00:26:40
wauyrer,201,tutor,What do you notice about these two numbers?,00:26:48
wauyrer,202,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:26:56
wauyrer,203,tutor,What do you notice about these two numbers?,00:27:04
wauyrer,204,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:27:12
wauyrer,205,tutor,Let's try a similar one. What is 30 times 4?,00:27:20
wauyrer,206,student,Maybe I should compare them as decimals first.,00:27:28
wauyrer,207,tutor,Remember what we said about the denominator. What happens here?,00:27:36
wauyrer,208,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:27:44
wauyrer,209,tutor,Uh-huh. And what would you do next?,00:27:52
wauyrer,210,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:28:00
wauyrer,211,tutor,Let's try a similar one. What is 30 times 4?,00:28:08
