session_id,utterance_id,role,content,timestamp
makuwgl,0,background,[unclear],00:00:00
makuwgl,1,tutor,"Hello, are you ready to get started today?",00:00:08
makuwgl,2,student,"Yes, I think so.",00:00:16
makuwgl,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
makuwgl,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
makuwgl,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
makuwgl,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
makuwgl,7,tutor,What do you notice about these two numbers?,00:00:56
makuwgl,8,student,Maybe I should compare them as decimals first.,00:01:04
makuwgl,9,tutor,Can you talk me through how you got that answer?,00:01:12
makuwgl,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
makuwgl,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
makuwgl,12,student,300?,00:01:36
makuwgl,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
makuwgl,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
makuwgl,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
makuwgl,16,student,Half?,00:02:08
makuwgl,17,tutor,Can you talk me through how you got that answer?,00:02:16
makuwgl,18,student,No,00:02:24
makuwgl,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
makuwgl,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
makuwgl,21,tutor,Can you talk me through how you got that answer?,00:02:48
makuwgl,22,student,Maybe I should compare them as decimals first.,00:02:56
makuwgl,23,tutor,Uh-huh. And what would you do next?,00:03:04
makuwgl,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
makuwgl,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
makuwgl,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
makuwgl,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
makuwgl,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
makuwgl,29,tutor,What do you notice about these two numbers?,00:03:52
makuwgl,30,student,300?,00:04:00
makuwgl,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
makuwgl,32,student,Maybe I should compare them as decimals first.,00:04:16
makuwgl,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
makuwgl,34,student,Yes,00:04:32
makuwgl,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
makuwgl,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
makuwgl,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
makuwgl,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
makuwgl,39,tutor,Uh-huh. And what would you do next?,00:05:12
makuwgl,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
makuwgl,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
makuwgl,42,student,Half?,00:05:36
makuwgl,43,tutor,What do you notice about these two numbers?,00:05:44
makuwgl,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
makuwgl,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
makuwgl,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
makuwgl,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
makuwgl,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
makuwgl,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
makuwgl,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
makuwgl,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
makuwgl,52,student,Maybe I should compare them as decimals first.,00:06:56
makuwgl,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
makuwgl,54,student,Maybe I should compare them as decimals first.,00:07:12
makuwgl,55,tutor,What do you notice about these two numbers?,00:07:20
makuwgl,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
makuwgl,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
makuwgl,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
makuwgl,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
makuwgl,60,student,75.,00:08:00
makuwgl,61,tutor,Can you talk me through how you got that answer?,00:08:08
