session_id,utterance_id,role,content,timestamp
gdztxik,0,background,[unclear],00:00:00
gdztxik,1,tutor,"Hello, are you ready to get started today?",00:00:08
gdztxik,2,student,"Yes, I think so.",00:00:16
gdztxik,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
gdztxik,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
gdztxik,5,tutor,Can you talk me through how you got that answer?,00:00:40
gdztxik,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
gdztxik,7,tutor,Uh-huh. And what would you do next?,00:00:56
gdztxik,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
gdztxik,9,tutor,What do you notice about these two numbers?,00:01:12
gdztxik,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
gdztxik,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
gdztxik,12,student,300?,00:01:36
gdztxik,13,tutor,What do you notice about these two numbers?,00:01:44
gdztxik,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
gdztxik,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
gdztxik,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
gdztxik,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
gdztxik,18,student,Maybe I should compare them as decimals first.,00:02:24
gdztxik,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
gdztxik,20,student,Maybe I should compare them as decimals first.,00:02:40
gdztxik,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
gdztxik,22,student,Maybe I should compare them as decimals first.,00:02:56
gdztxik,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
gdztxik,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
gdztxik,25,tutor,What do you notice about these two numbers?,00:03:20
gdztxik,26,student,Is it 4?,00:03:28
gdztxik,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
gdztxik,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
gdztxik,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
gdztxik,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
gdztxik,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
gdztxik,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
gdztxik,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
gdztxik,34,student,Maybe I should compare them as decimals first.,00:04:32
gdztxik,35,tutor,Can you talk me through how you got that answer?,00:04:40
gdztxik,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
gdztxik,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
gdztxik,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
gdztxik,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
gdztxik,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
gdztxik,41,tutor,Can you talk me through how you got that answer?,00:05:28
gdztxik,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
gdztxik,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
gdztxik,44,student,300?,00:05:52
gdztxik,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
gdztxik,46,student,Maybe I should compare them as decimals first.,00:06:08
gdztxik,47,tutor,What do you notice about these two numbers?,00:06:16
gdztxik,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
gdztxik,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
gdztxik,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
gdztxik,51,tutor,Uh-huh. And what would you do next?,00:06:48
gdztxik,52,student,Okay,00:06:56
gdztxik,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
gdztxik,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
gdztxik,55,tutor,Can you talk me through how you got that answer?,00:07:20
gdztxik,56,student,300?,00:07:28
