session_id,utterance_id,role,content,timestamp
hbprcnc,0,background,[unclear],00:00:00
hbprcnc,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
hbprcnc,2,student,"Yes, I think so.",00:00:16
hbprcnc,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
hbprcnc,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
hbprcnc,5,tutor,What do you notice about these two numbers?,00:00:40
hbprcnc,6,student,Maybe I should compare them as decimals first.,00:00:48
hbprcnc,7,tutor,Uh-huh. And what would you do next?,00:00:56
hbprcnc,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
hbprcnc,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
hbprcnc,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
hbprcnc,11,tutor,Uh-huh. And what would you do next?,00:01:28
hbprcnc,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
hbprcnc,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
hbprcnc,14,student,300?,00:01:52
hbprcnc,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
hbprcnc,16,student,Maybe I should compare them as decimals first.,00:02:08
hbprcnc,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
hbprcnc,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
hbprcnc,19,tutor,Can you talk me through how you got that answer?,00:02:32
hbprcnc,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
hbprcnc,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
hbprcnc,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
hbprcnc,23,tutor,Uh-huh. And what would you do next?,00:03:04
hbprcnc,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
hbprcnc,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
hbprcnc,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
hbprcnc,27,tutor,Uh-huh. And what would you do next?,00:03:36
hbprcnc,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
hbprcnc,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
hbprcnc,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
hbprcnc,31,tutor,Uh-huh. And what would you do next?,00:04:08
hbprcnc,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
hbprcnc,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
hbprcnc,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
hbprcnc,35,tutor,Uh-huh. And what would you do next?,00:04:40
hbprcnc,36,student,Maybe I should compare them as decimals first.,00:04:48
hbprcnc,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
hbprcnc,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
hbprcnc,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
hbprcnc,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
hbprcnc,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
hbprcnc,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
hbprcnc,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
hbprcnc,44,student,No,00:05:52
hbprcnc,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
hbprcnc,46,student,Okay,00:06:08
hbprcnc,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
hbprcnc,48,student,No,00:06:24
hbprcnc,49,tutor,Can you talk me through how you got that answer?,00:06:32
hbprcnc,50,student,6?,00:06:40
hbprcnc,51,tutor,Can you talk me through how you got that answer?,00:06:48
hbprcnc,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
hbprcnc,53,tutor,What do you notice about these two numbers?,00:07:04
hbprcnc,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
hbprcnc,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
hbprcnc,56,student,Maybe I should compare them as decimals first.,00:07:28
hbprcnc,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
hbprcnc,58,student,No,00:07:44
hbprcnc,59,tutor,Can you talk me through how you got that answer?,00:07:52
hbprcnc,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
hbprcnc,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
hbprcnc,62,student,Maybe I should compare them as decimals first.,00:08:16
hbprcnc,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
hbprcnc,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
hbprcnc,65,tutor,What do you notice about these two numbers?,00:08:40
hbprcnc,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
hbprcnc,67,tutor,Uh-huh. And what would you do next?,00:08:56
hbprcnc,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
hbprcnc,69,tutor,Can you talk me through how you got that answer?,00:09:12
hbprcnc,70,student,300?,00:09:20
hbprcnc,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
hbprcnc,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
hbprcnc,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
hbprcnc,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
hbprcnc,75,tutor,Uh-huh. And what would you do next?,00:10:00
hbprcnc,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
hbprcnc,77,tutor,Can you talk me through how you got that answer?,00:10:16
hbprcnc,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
hbprcnc,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
hbprcnc,80,student,Maybe I should compare them as decimals first.,00:10:40
hbprcnc,81,tutor,Can you talk me through how you got that answer?,00:10:48
hbprcnc,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
hbprcnc,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
hbprcnc,84,student,6?,00:11:12
hbprcnc,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
hbprcnc,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
hbprcnc,87,tutor,Can you talk me through how you got that answer?,00:11:36
hbprcnc,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
hbprcnc,89,tutor,Uh-huh. And what would you do next?,00:11:52
hbprcnc,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
hbprcnc,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
hbprcnc,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
hbprcnc,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
hbprcnc,94,student,12.,00:12:32
hbprcnc,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
hbprcnc,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
hbprcnc,97,tutor,Uh-huh. And what would you do next?,00:12:56
hbprcnc,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
hbprcnc,99,tutor,Uh-huh. And what would you do next?,00:13:12
hbprcnc,100,student,"I would divide it by 100, so the answer is 3.45.",00:13:20
hbprcnc,101,tutor,Uh-huh. And what would you do next?,00:13:28
hbprcnc,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
hbprcnc,103,tutor,What do you notice about these two numbers?,00:13:44
hbprcnc,104,student,Maybe I should compare them as decimals first.,00:13:52
hbprcnc,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
hbprcnc,106,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:08
hbprcnc,107,tutor,Uh-huh. And what would you do next?,00:14:16
hbprcnc,108,student,Is it 4?,00:14:24
hbprcnc,109,tutor,So let me ask you first. Do you know what a fact family is?,00:14:32
hbprcnc,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
hbprcnc,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
hbprcnc,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
hbprcnc,113,tutor,Let's try a similar one. What is 30 times 4?,00:15:04
hbprcnc,114,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:12
hbprcnc,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
hbprcnc,116,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:28
