session_id,utterance_id,role,content,timestamp
pderldp,0,background,[unclear],00:00:00
pderldp,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
pderldp,2,student,"Yes, I think so.",00:00:16
pderldp,3,tutor,What do you notice about these two numbers?,00:00:24
pderldp,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
pderldp,5,tutor,Uh-huh. And what would you do next?,00:00:40
pderldp,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
pderldp,7,tutor,Uh-huh. And what would you do next?,00:00:56
pderldp,8,student,Half?,00:01:04
pderldp,9,tutor,Can you talk me through how you got that answer?,00:01:12
pderldp,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
pderldp,11,tutor,Uh-huh. And what would you do next?,00:01:28
pderldp,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
pderldp,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
pderldp,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
pderldp,15,tutor,Uh-huh. And what would you do next?,00:02:00
pderldp,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
pderldp,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
pderldp,18,student,No,00:02:24
pderldp,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
pderldp,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
pderldp,21,tutor,What do you notice about these two numbers?,00:02:48
pderldp,22,student,Maybe I should compare them as decimals first.,00:02:56
pderldp,23,tutor,Uh-huh. And what would you do next?,00:03:04
pderldp,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
pderldp,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
pderldp,26,student,Is it 4?,00:03:28
pderldp,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
pderldp,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
