session_id,utterance_id,role,content,timestamp
wkuxwns,0,background,[unclear],00:00:00
wkuxwns,1,tutor,"Hello, are you ready to get started today?",00:00:08
wkuxwns,2,student,"Yes, I think so.",00:00:16
wkuxwns,3,tutor,Can you talk me through how you got that answer?,00:00:24
wkuxwns,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
wkuxwns,5,tutor,Uh-huh. And what would you do next?,00:00:40
wkuxwns,6,student,Maybe I should compare them as decimals first.,00:00:48
wkuxwns,7,tutor,Uh-huh. And what would you do next?,00:00:56
wkuxwns,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
wkuxwns,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
wkuxwns,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
wkuxwns,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
wkuxwns,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
wkuxwns,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
wkuxwns,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
wkuxwns,15,tutor,Can you talk me through how you got that answer?,00:02:00
wkuxwns,16,student,Maybe I should compare them as decimals first.,00:02:08
wkuxwns,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
wkuxwns,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
wkuxwns,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
wkuxwns,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
wkuxwns,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
wkuxwns,22,student,Half?,00:02:56
wkuxwns,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
wkuxwns,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
wkuxwns,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
wkuxwns,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
wkuxwns,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
wkuxwns,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
wkuxwns,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
wkuxwns,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
wkuxwns,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
wkuxwns,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
wkuxwns,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
wkuxwns,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
wkuxwns,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
wkuxwns,36,student,Is it 4?,00:04:48
wkuxwns,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
wkuxwns,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
wkuxwns,39,tutor,Can you talk me through how you got that answer?,00:05:12
wkuxwns,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
wkuxwns,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
wkuxwns,42,student,Maybe I should compare them as decimals first.,00:05:36
wkuxwns,43,tutor,What do you notice about these two numbers?,00:05:44
wkuxwns,44,student,75.,00:05:52
wkuxwns,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
wkuxwns,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
wkuxwns,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
wkuxwns,48,student,Yes,00:06:24
wkuxwns,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
wkuxwns,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
wkuxwns,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
wkuxwns,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
wkuxwns,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
wkuxwns,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
wkuxwns,55,tutor,Can you talk me through how you got that answer?,00:07:20
wkuxwns,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
wkuxwns,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
wkuxwns,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
wkuxwns,59,tutor,Uh-huh. And what would you do next?,00:07:52
wkuxwns,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
wkuxwns,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
wkuxwns,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
wkuxwns,63,tutor,What do you notice about these two numbers?,00:08:24
wkuxwns,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
wkuxwns,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
wkuxwns,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
wkuxwns,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
wkuxwns,68,student,Is it 4?,00:09:04
wkuxwns,69,tutor,Can you talk me through how you got that answer?,00:09:12
wkuxwns,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
wkuxwns,71,tutor,Uh-huh. And what would you do next?,00:09:28
wkuxwns,72,student,Maybe I should compare them as decimals first.,00:09:36
wkuxwns,73,tutor,Uh-huh. And what would you do next?,00:09:44
wkuxwns,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
wkuxwns,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
wkuxwns,76,student,Half?,00:10:08
wkuxwns,77,tutor,Uh-huh. And what would you do next?,00:10:16
wkuxwns,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
wkuxwns,79,tutor,What do you notice about these two numbers?,00:10:32
wkuxwns,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
wkuxwns,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
wkuxwns,82,student,6?,00:10:56
wkuxwns,83,tutor,Can you talk me through how you got that answer?,00:11:04
wkuxwns,84,student,75.,00:11:12
wkuxwns,85,tutor,Uh-huh. And what would you do next?,00:11:20
wkuxwns,86,student,Yes,00:11:28
wkuxwns,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
wkuxwns,88,student,Okay,00:11:44
wkuxwns,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
wkuxwns,90,student,"I would divide it by 100, so the answer is 3.45.",00:12:00
wkuxwns,91,tutor,Can you talk me through how you got that answer?,00:12:08
wkuxwns,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
wkuxwns,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
wkuxwns,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
wkuxwns,95,tutor,What do you notice about these two numbers?,00:12:40
wkuxwns,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
wkuxwns,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
wkuxwns,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
wkuxwns,99,tutor,Uh-huh. And what would you do next?,00:13:12
wkuxwns,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
wkuxwns,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
wkuxwns,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
wkuxwns,103,tutor,What do you notice about these two numbers?,00:13:44
wkuxwns,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
wkuxwns,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
wkuxwns,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
wkuxwns,107,tutor,Can you talk me through how you got that answer?,00:14:16
wkuxwns,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
wkuxwns,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
wkuxwns,110,student,I think we need to make the bottom numbers the same before we add.,00:14:40
wkuxwns,111,tutor,Can you talk me through how you got that answer?,00:14:48
wkuxwns,112,student,Okay,00:14:56
wkuxwns,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
wkuxwns,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
wkuxwns,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
wkuxwns,116,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:28
wkuxwns,117,tutor,What do you notice about these two numbers?,00:15:36
wkuxwns,118,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:44
wkuxwns,119,tutor,"Good thinking. Now, is that answer reasonable?",00:15:52
wkuxwns,120,student,6?,00:16:00
wkuxwns,121,tutor,Can you talk me through how you got that answer?,00:16:08
wkuxwns,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
wkuxwns,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
wkuxwns,124,student,Is it 4?,00:16:32
wkuxwns,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
wkuxwns,126,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:48
wkuxwns,127,tutor,Uh-huh. And what would you do next?,00:16:56
wkuxwns,128,student,Maybe I should compare them as decimals first.,00:17:04
wkuxwns,129,tutor,Remember what we said about the denominator. What happens here?,00:17:12
wkuxwns,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
wkuxwns,131,tutor,Can you talk me through how you got that answer?,00:17:28
wkuxwns,132,student,"I would divide it by 100, so the answer is 3.45.",00:17:36
wkuxwns,133,tutor,"Good thinking. Now, is that answer reasonable?",00:17:44
wkuxwns,134,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:52
wkuxwns,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
wkuxwns,136,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:08
wkuxwns,137,tutor,Remember what we said about the denominator. What happens here?,00:18:16
wkuxwns,138,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:24
wkuxwns,139,tutor,Uh-huh. And what would you do next?,00:18:32
wkuxwns,140,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:40
wkuxwns,141,tutor,What do you notice about these two numbers?,00:18:48
wkuxwns,142,student,I'm not sure. Is it because 10 has one zero?,00:18:56
wkuxwns,143,tutor,Remember what we said about the denominator. What happens here?,00:19:04
wkuxwns,144,student,"I would divide it by 100, so the answer is 3.45.",00:19:12
wkuxwns,145,tutor,Can you talk me through how you got that answer?,00:19:20
wkuxwns,146,student,I think we need to make the bottom numbers the same before we add.,00:19:28
wkuxwns,147,tutor,So let me ask you first. Do you know what a fact family is?,00:19:36
