session_id,utterance_id,role,content,timestamp
jvljkln,0,background,[unclear],00:00:00
jvljkln,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
jvljkln,2,student,"Yes, I think so.",00:00:16
jvljkln,3,tutor,Can you talk me through how you got that answer?,00:00:24
jvljkln,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
jvljkln,5,tutor,Can you talk me through how you got that answer?,00:00:40
jvljkln,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
jvljkln,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
jvljkln,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
jvljkln,9,tutor,What do you notice about these two numbers?,00:01:12
jvljkln,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
jvljkln,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
jvljkln,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
jvljkln,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
jvljkln,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
jvljkln,15,tutor,What do you notice about these two numbers?,00:02:00
jvljkln,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
jvljkln,17,tutor,What do you notice about these two numbers?,00:02:16
jvljkln,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
jvljkln,19,tutor,What do you notice about these two numbers?,00:02:32
jvljkln,20,student,Maybe I should compare them as decimals first.,00:02:40
jvljkln,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
jvljkln,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
jvljkln,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
jvljkln,24,student,Maybe I should compare them as decimals first.,00:03:12
jvljkln,25,tutor,What do you notice about these two numbers?,00:03:20
jvljkln,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
jvljkln,27,tutor,Uh-huh. And what would you do next?,00:03:36
jvljkln,28,student,6?,00:03:44
jvljkln,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
jvljkln,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
jvljkln,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
jvljkln,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
jvljkln,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
jvljkln,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
jvljkln,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
jvljkln,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
jvljkln,37,tutor,Can you talk me through how you got that answer?,00:04:56
jvljkln,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
jvljkln,39,tutor,Can you talk me through how you got that answer?,00:05:12
jvljkln,40,student,Okay,00:05:20
jvljkln,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
jvljkln,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
jvljkln,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
jvljkln,44,student,Maybe I should compare them as decimals first.,00:05:52
jvljkln,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
jvljkln,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
jvljkln,47,tutor,What do you notice about these two numbers?,00:06:16
jvljkln,48,student,Okay,00:06:24
jvljkln,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
jvljkln,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
jvljkln,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
jvljkln,52,student,Maybe I should compare them as decimals first.,00:06:56
jvljkln,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
jvljkln,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
jvljkln,55,tutor,Uh-huh. And what would you do next?,00:07:20
jvljkln,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
jvljkln,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
jvljkln,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
jvljkln,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
jvljkln,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
jvljkln,61,tutor,What do you notice about these two numbers?,00:08:08
