session_id,utterance_id,role,content,timestamp
mnrkxmd,0,background,[unclear],00:00:00
mnrkxmd,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
mnrkxmd,2,student,"Yes, I think so.",00:00:16
mnrkxmd,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
mnrkxmd,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
mnrkxmd,5,tutor,What do you notice about these two numbers?,00:00:40
mnrkxmd,6,student,Maybe I should compare them as decimals first.,00:00:48
mnrkxmd,7,tutor,Can you talk me through how you got that answer?,00:00:56
mnrkxmd,8,student,75.,00:01:04
mnrkxmd,9,tutor,Uh-huh. And what would you do next?,00:01:12
mnrkxmd,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
mnrkxmd,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
mnrkxmd,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
mnrkxmd,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
mnrkxmd,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
mnrkxmd,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
mnrkxmd,16,student,Is it 4?,00:02:08
mnrkxmd,17,tutor,Can you talk me through how you got that answer?,00:02:16
mnrkxmd,18,student,Maybe I should compare them as decimals first.,00:02:24
mnrkxmd,19,tutor,Can you talk me through how you got that answer?,00:02:32
mnrkxmd,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
mnrkxmd,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
mnrkxmd,22,student,Is it 4?,00:02:56
mnrkxmd,23,tutor,What do you notice about these two numbers?,00:03:04
mnrkxmd,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
mnrkxmd,25,tutor,Can you talk me through how you got that answer?,00:03:20
mnrkxmd,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
mnrkxmd,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
mnrkxmd,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
mnrkxmd,29,tutor,What do you notice about these two numbers?,00:03:52
mnrkxmd,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
mnrkxmd,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
mnrkxmd,32,student,300?,00:04:16
mnrkxmd,33,tutor,What do you notice about these two numbers?,00:04:24
mnrkxmd,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
mnrkxmd,35,tutor,Can you talk me through how you got that answer?,00:04:40
mnrkxmd,36,student,Half?,00:04:48
mnrkxmd,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
mnrkxmd,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
mnrkxmd,39,tutor,Uh-huh. And what would you do next?,00:05:12
mnrkxmd,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
mnrkxmd,41,tutor,Uh-huh. And what would you do next?,00:05:28
mnrkxmd,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
mnrkxmd,43,tutor,Uh-huh. And what would you do next?,00:05:44
mnrkxmd,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
mnrkxmd,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
mnrkxmd,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
mnrkxmd,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
mnrkxmd,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
mnrkxmd,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
mnrkxmd,50,student,Okay,00:06:40
mnrkxmd,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
mnrkxmd,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
mnrkxmd,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
mnrkxmd,54,student,75.,00:07:12
mnrkxmd,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
mnrkxmd,56,student,12.,00:07:28
mnrkxmd,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
mnrkxmd,58,student,Maybe I should compare them as decimals first.,00:07:44
mnrkxmd,59,tutor,Can you talk me through how you got that answer?,00:07:52
mnrkxmd,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
mnrkxmd,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
mnrkxmd,62,student,No,00:08:16
mnrkxmd,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
mnrkxmd,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
mnrkxmd,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
mnrkxmd,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
mnrkxmd,67,tutor,Can you talk me through how you got that answer?,00:08:56
mnrkxmd,68,student,6?,00:09:04
mnrkxmd,69,tutor,Can you talk me through how you got that answer?,00:09:12
mnrkxmd,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
mnrkxmd,71,tutor,Uh-huh. And what would you do next?,00:09:28
mnrkxmd,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
mnrkxmd,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
mnrkxmd,74,student,No,00:09:52
mnrkxmd,75,tutor,What do you notice about these two numbers?,00:10:00
mnrkxmd,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
mnrkxmd,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
mnrkxmd,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
mnrkxmd,79,tutor,Can you talk me through how you got that answer?,00:10:32
mnrkxmd,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
mnrkxmd,81,tutor,Can you talk me through how you got that answer?,00:10:48
mnrkxmd,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
mnrkxmd,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
mnrkxmd,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
mnrkxmd,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
mnrkxmd,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
mnrkxmd,87,tutor,What do you notice about these two numbers?,00:11:36
mnrkxmd,88,student,Maybe I should compare them as decimals first.,00:11:44
