session_id,utterance_id,role,content,timestamp
nxgqvlz,0,background,[unclear],00:00:00
nxgqvlz,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
nxgqvlz,2,student,"Yes, I think so.",00:00:16
nxgqvlz,3,tutor,Uh-huh. And what would you do next?,00:00:24
nxgqvlz,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
nxgqvlz,5,tutor,What do you notice about these two numbers?,00:00:40
nxgqvlz,6,student,Okay,00:00:48
nxgqvlz,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
nxgqvlz,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
nxgqvlz,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
nxgqvlz,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
nxgqvlz,11,tutor,Can you talk me through how you got that answer?,00:01:28
nxgqvlz,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
nxgqvlz,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
nxgqvlz,14,student,6?,00:01:52
nxgqvlz,15,tutor,Uh-huh. And what would you do next?,00:02:00
nxgqvlz,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
nxgqvlz,17,tutor,Can you talk me through how you got that answer?,00:02:16
nxgqvlz,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
nxgqvlz,19,tutor,Can you talk me through how you got that answer?,00:02:32
nxgqvlz,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
nxgqvlz,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
nxgqvlz,22,student,75.,00:02:56
nxgqvlz,23,tutor,Uh-huh. And what would you do next?,00:03:04
nxgqvlz,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
nxgqvlz,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
nxgqvlz,26,student,Yes,00:03:28
nxgqvlz,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
nxgqvlz,28,student,Is it 4?,00:03:44
nxgqvlz,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
nxgqvlz,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
nxgqvlz,31,tutor,Uh-huh. And what would you do next?,00:04:08
nxgqvlz,32,student,Maybe I should compare them as decimals first.,00:04:16
nxgqvlz,33,tutor,Can you talk me through how you got that answer?,00:04:24
nxgqvlz,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
nxgqvlz,35,tutor,Uh-huh. And what would you do next?,00:04:40
nxgqvlz,36,student,Maybe I should compare them as decimals first.,00:04:48
nxgqvlz,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
nxgqvlz,38,student,Yes,00:05:04
nxgqvlz,39,tutor,What do you notice about these two numbers?,00:05:12
nxgqvlz,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
nxgqvlz,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
nxgqvlz,42,student,Maybe I should compare them as decimals first.,00:05:36
nxgqvlz,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
nxgqvlz,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
nxgqvlz,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
nxgqvlz,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
nxgqvlz,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
nxgqvlz,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
nxgqvlz,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
nxgqvlz,50,student,Is it 4?,00:06:40
nxgqvlz,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
nxgqvlz,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
nxgqvlz,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
nxgqvlz,54,student,Maybe I should compare them as decimals first.,00:07:12
nxgqvlz,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
nxgqvlz,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
nxgqvlz,57,tutor,Uh-huh. And what would you do next?,00:07:36
nxgqvlz,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
nxgqvlz,59,tutor,What do you notice about these two numbers?,00:07:52
nxgqvlz,60,student,6?,00:08:00
nxgqvlz,61,tutor,What do you notice about these two numbers?,00:08:08
nxgqvlz,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
nxgqvlz,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
nxgqvlz,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
nxgqvlz,65,tutor,Can you talk me through how you got that answer?,00:08:40
nxgqvlz,66,student,75.,00:08:48
nxgqvlz,67,tutor,Can you talk me through how you got that answer?,00:08:56
nxgqvlz,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
nxgqvlz,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
nxgqvlz,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
nxgqvlz,71,tutor,What do you notice about these two numbers?,00:09:28
nxgqvlz,72,student,Maybe I should compare them as decimals first.,00:09:36
