session_id,utterance_id,role,content,timestamp
tgffwnr,0,background,[unclear],00:00:00
tgffwnr,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
tgffwnr,2,student,"Yes, I think so.",00:00:16
tgffwnr,3,tutor,What do you notice about these two numbers?,00:00:24
tgffwnr,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
tgffwnr,5,tutor,Uh-huh. And what would you do next?,00:00:40
tgffwnr,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
tgffwnr,7,tutor,Can you talk me through how you got that answer?,00:00:56
tgffwnr,8,student,12.,00:01:04
tgffwnr,9,tutor,Can you talk me through how you got that answer?,00:01:12
tgffwnr,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
tgffwnr,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
tgffwnr,12,student,Yes,00:01:36
tgffwnr,13,tutor,What do you notice about these two numbers?,00:01:44
tgffwnr,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
tgffwnr,15,tutor,What do you notice about these two numbers?,00:02:00
tgffwnr,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
tgffwnr,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
tgffwnr,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
tgffwnr,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
tgffwnr,20,student,Maybe I should compare them as decimals first.,00:02:40
tgffwnr,21,tutor,Uh-huh. And what would you do next?,00:02:48
tgffwnr,22,student,12.,00:02:56
tgffwnr,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
tgffwnr,24,student,Maybe I should compare them as decimals first.,00:03:12
tgffwnr,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
tgffwnr,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
tgffwnr,27,tutor,Can you talk me through how you got that answer?,00:03:36
tgffwnr,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
tgffwnr,29,tutor,Uh-huh. And what would you do next?,00:03:52
tgffwnr,30,student,Yes,00:04:00
tgffwnr,31,tutor,What do you notice about these two numbers?,00:04:08
tgffwnr,32,student,Maybe I should compare them as decimals first.,00:04:16
tgffwnr,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
tgffwnr,34,student,300?,00:04:32
tgffwnr,35,tutor,Uh-huh. And what would you do next?,00:04:40
tgffwnr,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
tgffwnr,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
tgffwnr,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
tgffwnr,39,tutor,Can you talk me through how you got that answer?,00:05:12
tgffwnr,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
tgffwnr,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
tgffwnr,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
tgffwnr,43,tutor,Uh-huh. And what would you do next?,00:05:44
tgffwnr,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
tgffwnr,45,tutor,Uh-huh. And what would you do next?,00:06:00
tgffwnr,46,student,No,00:06:08
tgffwnr,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
tgffwnr,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
tgffwnr,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
tgffwnr,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
tgffwnr,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
tgffwnr,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
tgffwnr,53,tutor,Can you talk me through how you got that answer?,00:07:04
tgffwnr,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
tgffwnr,55,tutor,What do you notice about these two numbers?,00:07:20
tgffwnr,56,student,Maybe I should compare them as decimals first.,00:07:28
tgffwnr,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
tgffwnr,58,student,12.,00:07:44
tgffwnr,59,tutor,Uh-huh. And what would you do next?,00:07:52
tgffwnr,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
tgffwnr,61,tutor,What do you notice about these two numbers?,00:08:08
tgffwnr,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
tgffwnr,63,tutor,What do you notice about these two numbers?,00:08:24
tgffwnr,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
tgffwnr,65,tutor,Can you talk me through how you got that answer?,00:08:40
tgffwnr,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
