session_id,utterance_id,role,content,timestamp
twnqtrd,0,background,[unclear],00:00:00
twnqtrd,1,tutor,"Hello, are you ready to get started today?",00:00:08
twnqtrd,2,student,"Yes, I think so.",00:00:16
twnqtrd,3,tutor,What do you notice about these two numbers?,00:00:24
twnqtrd,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
twnqtrd,5,tutor,Can you talk me through how you got that answer?,00:00:40
twnqtrd,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
twnqtrd,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
twnqtrd,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
twnqtrd,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
twnqtrd,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
twnqtrd,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
twnqtrd,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
twnqtrd,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
twnqtrd,14,student,Maybe I should compare them as decimals first.,00:01:52
twnqtrd,15,tutor,What do you notice about these two numbers?,00:02:00
twnqtrd,16,student,Is it 4?,00:02:08
twnqtrd,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
twnqtrd,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
twnqtrd,19,tutor,Uh-huh. And what would you do next?,00:02:32
twnqtrd,20,student,6?,00:02:40
twnqtrd,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
twnqtrd,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
twnqtrd,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
twnqtrd,24,student,Maybe I should compare them as decimals first.,00:03:12
twnqtrd,25,tutor,Uh-huh. And what would you do next?,00:03:20
twnqtrd,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
twnqtrd,27,tutor,Uh-huh. And what would you do next?,00:03:36
twnqtrd,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
twnqtrd,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
twnqtrd,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
twnqtrd,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
twnqtrd,32,student,Maybe I should compare them as decimals first.,00:04:16
twnqtrd,33,tutor,Uh-huh. And what would you do next?,00:04:24
twnqtrd,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
twnqtrd,35,tutor,What do you notice about these two numbers?,00:04:40
twnqtrd,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
twnqtrd,37,tutor,Uh-huh. And what would you do next?,00:04:56
twnqtrd,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
twnqtrd,39,tutor,Can you talk me through how you got that answer?,00:05:12
twnqtrd,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
twnqtrd,41,tutor,What do you notice about these two numbers?,00:05:28
twnqtrd,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
twnqtrd,43,tutor,Uh-huh. And what would you do next?,00:05:44
twnqtrd,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
twnqtrd,45,tutor,Uh-huh. And what would you do next?,00:06:00
twnqtrd,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
twnqtrd,47,tutor,What do you notice about these two numbers?,00:06:16
twnqtrd,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
twnqtrd,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
twnqtrd,50,student,Maybe I should compare them as decimals first.,00:06:40
twnqtrd,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
twnqtrd,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
twnqtrd,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
twnqtrd,54,student,6?,00:07:12
twnqtrd,55,tutor,Uh-huh. And what would you do next?,00:07:20
twnqtrd,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
twnqtrd,57,tutor,Can you talk me through how you got that answer?,00:07:36
twnqtrd,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
twnqtrd,59,tutor,What do you notice about these two numbers?,00:07:52
twnqtrd,60,student,Maybe I should compare them as decimals first.,00:08:00
twnqtrd,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
twnqtrd,62,student,12.,00:08:16
twnqtrd,63,tutor,Uh-huh. And what would you do next?,00:08:24
twnqtrd,64,student,Half?,00:08:32
twnqtrd,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
twnqtrd,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
twnqtrd,67,tutor,Uh-huh. And what would you do next?,00:08:56
twnqtrd,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
twnqtrd,69,tutor,Uh-huh. And what would you do next?,00:09:12
twnqtrd,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
twnqtrd,71,tutor,What do you notice about these two numbers?,00:09:28
twnqtrd,72,student,12.,00:09:36
twnqtrd,73,tutor,Uh-huh. And what would you do next?,00:09:44
twnqtrd,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
twnqtrd,75,tutor,Uh-huh. And what would you do next?,00:10:00
twnqtrd,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
twnqtrd,77,tutor,Uh-huh. And what would you do next?,00:10:16
twnqtrd,78,student,Maybe I should compare them as decimals first.,00:10:24
twnqtrd,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
twnqtrd,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
twnqtrd,81,tutor,Uh-huh. And what would you do next?,00:10:48
twnqtrd,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
twnqtrd,83,tutor,Uh-huh. And what would you do next?,00:11:04
twnqtrd,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
twnqtrd,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
twnqtrd,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
twnqtrd,87,tutor,Can you talk me through how you got that answer?,00:11:36
twnqtrd,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
twnqtrd,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
twnqtrd,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
twnqtrd,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
twnqtrd,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
twnqtrd,93,tutor,What do you notice about these two numbers?,00:12:24
twnqtrd,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
twnqtrd,95,tutor,What do you notice about these two numbers?,00:12:40
twnqtrd,96,student,I'm not sure. Is it because 10 has one zero?,00:12:48
twnqtrd,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
twnqtrd,98,student,Is it 4?,00:13:04
twnqtrd,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
twnqtrd,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
twnqtrd,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
twnqtrd,102,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:36
twnqtrd,103,tutor,"Good thinking. Now, is that answer reasonable?",00:13:44
twnqtrd,104,student,I think we need to make the bottom numbers the same before we add.,00:13:52
twnqtrd,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
twnqtrd,106,student,Maybe I should compare them as decimals first.,00:14:08
twnqtrd,107,tutor,What do you notice about these two numbers?,00:14:16
twnqtrd,108,student,I think we need to make the bottom numbers the same before we add.,00:14:24
twnqtrd,109,tutor,Can you talk me through how you got that answer?,00:14:32
twnqtrd,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
twnqtrd,111,tutor,Uh-huh. And what would you do next?,00:14:48
twnqtrd,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
twnqtrd,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
twnqtrd,114,student,75.,00:15:12
twnqtrd,115,tutor,Can you talk me through how you got that answer?,00:15:20
twnqtrd,116,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:28
