session_id,utterance_id,role,content,timestamp
tkujbxg,0,background,[unclear],00:00:00
tkujbxg,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
tkujbxg,2,student,"Yes, I think so.",00:00:16
tkujbxg,3,tutor,What do you notice about these two numbers?,00:00:24
tkujbxg,4,student,Maybe I should compare them as decimals first.,00:00:32
tkujbxg,5,tutor,What do you notice about these two numbers?,00:00:40
tkujbxg,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
tkujbxg,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
tkujbxg,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
tkujbxg,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
tkujbxg,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
tkujbxg,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
tkujbxg,12,student,75.,00:01:36
tkujbxg,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
tkujbxg,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
tkujbxg,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
tkujbxg,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
tkujbxg,17,tutor,Uh-huh. And what would you do next?,00:02:16
tkujbxg,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
tkujbxg,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
tkujbxg,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
tkujbxg,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
tkujbxg,22,student,Okay,00:02:56
tkujbxg,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
tkujbxg,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
tkujbxg,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
tkujbxg,26,student,Maybe I should compare them as decimals first.,00:03:28
tkujbxg,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
tkujbxg,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
tkujbxg,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
tkujbxg,30,student,Maybe I should compare them as decimals first.,00:04:00
tkujbxg,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
tkujbxg,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
tkujbxg,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
