session_id,utterance_id,role,content,timestamp
etjhbuk,0,background,[unclear],00:00:00
etjhbuk,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
etjhbuk,2,student,"Yes, I think so.",00:00:16
etjhbuk,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
etjhbuk,4,student,Maybe I should compare them as decimals first.,00:00:32
etjhbuk,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
etjhbuk,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
etjhbuk,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
etjhbuk,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
etjhbuk,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
etjhbuk,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
etjhbuk,11,tutor,Can you talk me through how you got that answer?,00:01:28
etjhbuk,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
etjhbuk,13,tutor,Uh-huh. And what would you do next?,00:01:44
etjhbuk,14,student,Maybe I should compare them as decimals first.,00:01:52
etjhbuk,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
etjhbuk,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
etjhbuk,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
etjhbuk,18,student,Yes,00:02:24
etjhbuk,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
etjhbuk,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
etjhbuk,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
etjhbuk,22,student,Maybe I should compare them as decimals first.,00:02:56
etjhbuk,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
etjhbuk,24,student,Okay,00:03:12
etjhbuk,25,tutor,Uh-huh. And what would you do next?,00:03:20
etjhbuk,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
etjhbuk,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
etjhbuk,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
etjhbuk,29,tutor,Uh-huh. And what would you do next?,00:03:52
etjhbuk,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
etjhbuk,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
etjhbuk,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
etjhbuk,33,tutor,What do you notice about these two numbers?,00:04:24
etjhbuk,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
etjhbuk,35,tutor,Can you talk me through how you got that answer?,00:04:40
etjhbuk,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
etjhbuk,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
etjhbuk,38,student,Okay,00:05:04
etjhbuk,39,tutor,Uh-huh. And what would you do next?,00:05:12
etjhbuk,40,student,Maybe I should compare them as decimals first.,00:05:20
etjhbuk,41,tutor,Uh-huh. And what would you do next?,00:05:28
etjhbuk,42,student,Yes,00:05:36
etjhbuk,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
etjhbuk,44,student,Is it 4?,00:05:52
etjhbuk,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
etjhbuk,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
etjhbuk,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
etjhbuk,48,student,Maybe I should compare them as decimals first.,00:06:24
etjhbuk,49,tutor,Can you talk me through how you got that answer?,00:06:32
etjhbuk,50,student,No,00:06:40
etjhbuk,51,tutor,What do you notice about these two numbers?,00:06:48
etjhbuk,52,student,6?,00:06:56
etjhbuk,53,tutor,Uh-huh. And what would you do next?,00:07:04
etjhbuk,54,student,Half?,00:07:12
etjhbuk,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
etjhbuk,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
etjhbuk,57,tutor,Uh-huh. And what would you do next?,00:07:36
etjhbuk,58,student,Is it 4?,00:07:44
etjhbuk,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
etjhbuk,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
