session_id,utterance_id,role,content,timestamp
mskxsiz,0,background,[unclear],00:00:00
mskxsiz,1,tutor,"Hello, are you ready to get started today?",00:00:08
mskxsiz,2,student,"Yes, I think so.",00:00:16
mskxsiz,3,tutor,What do you notice about these two numbers?,00:00:24
mskxsiz,4,student,Okay,00:00:32
mskxsiz,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
mskxsiz,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
mskxsiz,7,tutor,Can you talk me through how you got that answer?,00:00:56
mskxsiz,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
mskxsiz,9,tutor,What do you notice about these two numbers?,00:01:12
mskxsiz,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
mskxsiz,11,tutor,What do you notice about these two numbers?,00:01:28
mskxsiz,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
mskxsiz,13,tutor,Can you talk me through how you got that answer?,00:01:44
mskxsiz,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
mskxsiz,15,tutor,Can you talk me through how you got that answer?,00:02:00
mskxsiz,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
mskxsiz,17,tutor,What do you notice about these two numbers?,00:02:16
mskxsiz,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
mskxsiz,19,tutor,Can you talk me through how you got that answer?,00:02:32
mskxsiz,20,student,Is it 4?,00:02:40
mskxsiz,21,tutor,What do you notice about these two numbers?,00:02:48
mskxsiz,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
mskxsiz,23,tutor,Uh-huh. And what would you do next?,00:03:04
mskxsiz,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
mskxsiz,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
mskxsiz,26,student,Is it 4?,00:03:28
mskxsiz,27,tutor,Can you talk me through how you got that answer?,00:03:36
mskxsiz,28,student,Maybe I should compare them as decimals first.,00:03:44
mskxsiz,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
mskxsiz,30,student,12.,00:04:00
mskxsiz,31,tutor,Uh-huh. And what would you do next?,00:04:08
mskxsiz,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
mskxsiz,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
mskxsiz,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
mskxsiz,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
mskxsiz,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
mskxsiz,37,tutor,Can you talk me through how you got that answer?,00:04:56
mskxsiz,38,student,12.,00:05:04
mskxsiz,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
mskxsiz,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
mskxsiz,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
mskxsiz,42,student,Maybe I should compare them as decimals first.,00:05:36
mskxsiz,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
mskxsiz,44,student,75.,00:05:52
mskxsiz,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
mskxsiz,46,student,300?,00:06:08
mskxsiz,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
mskxsiz,48,student,6?,00:06:24
mskxsiz,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
mskxsiz,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
mskxsiz,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
mskxsiz,52,student,Maybe I should compare them as decimals first.,00:06:56
mskxsiz,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
mskxsiz,54,student,Maybe I should compare them as decimals first.,00:07:12
mskxsiz,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
mskxsiz,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
mskxsiz,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
mskxsiz,58,student,6?,00:07:44
mskxsiz,59,tutor,What do you notice about these two numbers?,00:07:52
mskxsiz,60,student,Maybe I should compare them as decimals first.,00:08:00
mskxsiz,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
mskxsiz,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
mskxsiz,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
mskxsiz,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
mskxsiz,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
mskxsiz,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
mskxsiz,67,tutor,Can you talk me through how you got that answer?,00:08:56
mskxsiz,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
mskxsiz,69,tutor,Can you talk me through how you got that answer?,00:09:12
mskxsiz,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
mskxsiz,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
mskxsiz,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
mskxsiz,73,tutor,Uh-huh. And what would you do next?,00:09:44
mskxsiz,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
mskxsiz,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
mskxsiz,76,student,Yes,00:10:08
mskxsiz,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
mskxsiz,78,student,Maybe I should compare them as decimals first.,00:10:24
mskxsiz,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
