session_id,utterance_id,role,content,timestamp
eirdrce,0,background,[unclear],00:00:00
eirdrce,1,tutor,"Hello, are you ready to get started today?",00:00:08
eirdrce,2,student,"Yes, I think so.",00:00:16
eirdrce,3,tutor,Uh-huh. And what would you do next?,00:00:24
eirdrce,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
eirdrce,5,tutor,Uh-huh. And what would you do next?,00:00:40
eirdrce,6,student,Maybe I should compare them as decimals first.,00:00:48
eirdrce,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
eirdrce,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
eirdrce,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
eirdrce,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
eirdrce,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
eirdrce,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
eirdrce,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
eirdrce,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
eirdrce,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
eirdrce,16,student,Okay,00:02:08
eirdrce,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
eirdrce,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
eirdrce,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
eirdrce,20,student,Half?,00:02:40
eirdrce,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
eirdrce,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
eirdrce,23,tutor,Uh-huh. And what would you do next?,00:03:04
eirdrce,24,student,Maybe I should compare them as decimals first.,00:03:12
eirdrce,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
eirdrce,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
eirdrce,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
eirdrce,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
eirdrce,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
eirdrce,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
eirdrce,31,tutor,What do you notice about these two numbers?,00:04:08
eirdrce,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
eirdrce,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
eirdrce,34,student,Okay,00:04:32
eirdrce,35,tutor,Uh-huh. And what would you do next?,00:04:40
eirdrce,36,student,Is it 4?,00:04:48
eirdrce,37,tutor,Can you talk me through how you got that answer?,00:04:56
eirdrce,38,student,Maybe I should compare them as decimals first.,00:05:04
eirdrce,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
eirdrce,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
eirdrce,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
eirdrce,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
eirdrce,43,tutor,Can you talk me through how you got that answer?,00:05:44
eirdrce,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
eirdrce,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
eirdrce,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
eirdrce,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
eirdrce,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
eirdrce,49,tutor,Uh-huh. And what would you do next?,00:06:32
eirdrce,50,student,12.,00:06:40
eirdrce,51,tutor,Uh-huh. And what would you do next?,00:06:48
eirdrce,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
eirdrce,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
