session_id,utterance_id,role,content,timestamp
xhhyuwr,0,background,[unclear],00:00:00
xhhyuwr,1,tutor,"Hello, are you ready to get started today?",00:00:08
xhhyuwr,2,student,"Yes, I think so.",00:00:16
xhhyuwr,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
xhhyuwr,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
xhhyuwr,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
xhhyuwr,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
xhhyuwr,7,tutor,Uh-huh. And what would you do next?,00:00:56
xhhyuwr,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
xhhyuwr,9,tutor,Can you talk me through how you got that answer?,00:01:12
xhhyuwr,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
xhhyuwr,11,tutor,What do you notice about these two numbers?,00:01:28
xhhyuwr,12,student,No,00:01:36
xhhyuwr,13,tutor,Uh-huh. And what would you do next?,00:01:44
xhhyuwr,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
xhhyuwr,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
xhhyuwr,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
xhhyuwr,17,tutor,Can you talk me through how you got that answer?,00:02:16
xhhyuwr,18,student,No,00:02:24
xhhyuwr,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
xhhyuwr,20,student,6?,00:02:40
xhhyuwr,21,tutor,What do you notice about these two numbers?,00:02:48
xhhyuwr,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
xhhyuwr,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
xhhyuwr,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
xhhyuwr,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
xhhyuwr,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
xhhyuwr,27,tutor,Uh-huh. And what would you do next?,00:03:36
xhhyuwr,28,student,Yes,00:03:44
xhhyuwr,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
xhhyuwr,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
xhhyuwr,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
xhhyuwr,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
xhhyuwr,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
xhhyuwr,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
xhhyuwr,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
xhhyuwr,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
xhhyuwr,37,tutor,Uh-huh. And what would you do next?,00:04:56
xhhyuwr,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
xhhyuwr,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
xhhyuwr,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
xhhyuwr,41,tutor,Can you talk me through how you got that answer?,00:05:28
xhhyuwr,42,student,Maybe I should compare them as decimals first.,00:05:36
xhhyuwr,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
xhhyuwr,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
xhhyuwr,45,tutor,Can you talk me through how you got that answer?,00:06:00
xhhyuwr,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
xhhyuwr,47,tutor,Uh-huh. And what would you do next?,00:06:16
xhhyuwr,48,student,12.,00:06:24
xhhyuwr,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
xhhyuwr,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
xhhyuwr,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
xhhyuwr,52,student,Okay,00:06:56
xhhyuwr,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
xhhyuwr,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
xhhyuwr,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
xhhyuwr,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
xhhyuwr,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
xhhyuwr,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
