session_id,utterance_id,role,content,timestamp
lianzbv,0,background,[unclear],00:00:00
lianzbv,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
lianzbv,2,student,"Yes, I think so.",00:00:16
lianzbv,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
lianzbv,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
lianzbv,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
lianzbv,6,student,Maybe I should compare them as decimals first.,00:00:48
lianzbv,7,tutor,Can you talk me through how you got that answer?,00:00:56
lianzbv,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
lianzbv,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
lianzbv,10,student,Maybe I should compare them as decimals first.,00:01:20
lianzbv,11,tutor,Uh-huh. And what would you do next?,00:01:28
lianzbv,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
lianzbv,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
lianzbv,14,student,No,00:01:52
lianzbv,15,tutor,Uh-huh. And what would you do next?,00:02:00
lianzbv,16,student,Maybe I should compare them as decimals first.,00:02:08
lianzbv,17,tutor,Uh-huh. And what would you do next?,00:02:16
lianzbv,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
lianzbv,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
lianzbv,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
lianzbv,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
lianzbv,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
lianzbv,23,tutor,Uh-huh. And what would you do next?,00:03:04
lianzbv,24,student,Maybe I should compare them as decimals first.,00:03:12
lianzbv,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
lianzbv,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
lianzbv,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
lianzbv,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
lianzbv,29,tutor,Uh-huh. And what would you do next?,00:03:52
lianzbv,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
lianzbv,31,tutor,Can you talk me through how you got that answer?,00:04:08
lianzbv,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
lianzbv,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
lianzbv,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
lianzbv,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
lianzbv,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
lianzbv,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
lianzbv,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
lianzbv,39,tutor,Uh-huh. And what would you do next?,00:05:12
lianzbv,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
lianzbv,41,tutor,Uh-huh. And what would you do next?,00:05:28
lianzbv,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
lianzbv,43,tutor,Can you talk me through how you got that answer?,00:05:44
lianzbv,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
lianzbv,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
lianzbv,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
lianzbv,47,tutor,What do you notice about these two numbers?,00:06:16
lianzbv,48,student,Yes,00:06:24
lianzbv,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
lianzbv,50,student,6?,00:06:40
lianzbv,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
lianzbv,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
lianzbv,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
lianzbv,54,student,Maybe I should compare them as decimals first.,00:07:12
lianzbv,55,tutor,What do you notice about these two numbers?,00:07:20
lianzbv,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
lianzbv,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
lianzbv,58,student,6?,00:07:44
lianzbv,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
lianzbv,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
lianzbv,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
lianzbv,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
lianzbv,63,tutor,Uh-huh. And what would you do next?,00:08:24
lianzbv,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
lianzbv,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
lianzbv,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
lianzbv,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
lianzbv,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
lianzbv,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
lianzbv,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
lianzbv,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
lianzbv,72,student,Maybe I should compare them as decimals first.,00:09:36
lianzbv,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
lianzbv,74,student,75.,00:09:52
lianzbv,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
lianzbv,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
lianzbv,77,tutor,Can you talk me through how you got that answer?,00:10:16
lianzbv,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
lianzbv,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
lianzbv,80,student,Maybe I should compare them as decimals first.,00:10:40
lianzbv,81,tutor,Can you talk me through how you got that answer?,00:10:48
lianzbv,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
lianzbv,83,tutor,What do you notice about these two numbers?,00:11:04
lianzbv,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
lianzbv,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
lianzbv,86,student,Is it 4?,00:11:28
lianzbv,87,tutor,Can you talk me through how you got that answer?,00:11:36
lianzbv,88,student,12.,00:11:44
lianzbv,89,tutor,Can you talk me through how you got that answer?,00:11:52
lianzbv,90,student,"I would divide it by 100, so the answer is 3.45.",00:12:00
lianzbv,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
lianzbv,92,student,Yes,00:12:16
lianzbv,93,tutor,Can you talk me through how you got that answer?,00:12:24
lianzbv,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
lianzbv,95,tutor,What do you notice about these two numbers?,00:12:40
lianzbv,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
lianzbv,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
lianzbv,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
lianzbv,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
lianzbv,100,student,Maybe I should compare them as decimals first.,00:13:20
lianzbv,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
lianzbv,102,student,Maybe I should compare them as decimals first.,00:13:36
lianzbv,103,tutor,"Good thinking. Now, is that answer reasonable?",00:13:44
lianzbv,104,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:52
lianzbv,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
lianzbv,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
lianzbv,107,tutor,Can you talk me through how you got that answer?,00:14:16
lianzbv,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
lianzbv,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
lianzbv,110,student,I'm not sure. Is it because 10 has one zero?,00:14:40
lianzbv,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
lianzbv,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
lianzbv,113,tutor,So let me ask you first. Do you know what a fact family is?,00:15:04
lianzbv,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
lianzbv,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
lianzbv,116,student,Okay,00:15:28
lianzbv,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
lianzbv,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
lianzbv,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
lianzbv,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
lianzbv,121,tutor,Remember what we said about the denominator. What happens here?,00:16:08
lianzbv,122,student,I think we need to make the bottom numbers the same before we add.,00:16:16
lianzbv,123,tutor,What do you notice about these two numbers?,00:16:24
lianzbv,124,student,Maybe I should compare them as decimals first.,00:16:32
lianzbv,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
lianzbv,126,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:48
lianzbv,127,tutor,What do you notice about these two numbers?,00:16:56
lianzbv,128,student,Half?,00:17:04
lianzbv,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
lianzbv,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
lianzbv,131,tutor,"Good thinking. Now, is that answer reasonable?",00:17:28
lianzbv,132,student,"I would divide it by 100, so the answer is 3.45.",00:17:36
lianzbv,133,tutor,Uh-huh. And what would you do next?,00:17:44
lianzbv,134,student,Maybe I should compare them as decimals first.,00:17:52
lianzbv,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
lianzbv,136,student,No,00:18:08
lianzbv,137,tutor,Uh-huh. And what would you do next?,00:18:16
lianzbv,138,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:24
lianzbv,139,tutor,Can you talk me through how you got that answer?,00:18:32
lianzbv,140,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:40
lianzbv,141,tutor,So let me ask you first. Do you know what a fact family is?,00:18:48
lianzbv,142,student,Maybe I should compare them as decimals first.,00:18:56
lianzbv,143,tutor,Can you talk me through how you got that answer?,00:19:04
lianzbv,144,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:12
lianzbv,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
lianzbv,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
lianzbv,147,tutor,What do you notice about these two numbers?,00:19:36
lianzbv,148,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:44
lianzbv,149,tutor,So let me ask you first. Do you know what a fact family is?,00:19:52
lianzbv,150,student,I think we need to make the bottom numbers the same before we add.,00:20:00
lianzbv,151,tutor,"Good thinking. Now, is that answer reasonable?",00:20:08
lianzbv,152,student,I'm not sure. Is it because 10 has one zero?,00:20:16
lianzbv,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
lianzbv,154,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:32
lianzbv,155,tutor,"Good thinking. Now, is that answer reasonable?",00:20:40
lianzbv,156,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:48
lianzbv,157,tutor,"Good thinking. Now, is that answer reasonable?",00:20:56
lianzbv,158,student,"I would divide it by 100, so the answer is 3.45.",00:21:04
