session_id,utterance_id,role,content,timestamp
abswzam,0,background,[unclear],00:00:00
abswzam,1,tutor,"Hello, are you ready to get started today?",00:00:08
abswzam,2,student,"Yes, I think so.",00:00:16
abswzam,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
abswzam,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
abswzam,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
abswzam,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
abswzam,7,tutor,Can you talk me through how you got that answer?,00:00:56
abswzam,8,student,Yes,00:01:04
abswzam,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
abswzam,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
abswzam,11,tutor,What do you notice about these two numbers?,00:01:28
abswzam,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
abswzam,13,tutor,What do you notice about these two numbers?,00:01:44
abswzam,14,student,6?,00:01:52
abswzam,15,tutor,What do you notice about these two numbers?,00:02:00
abswzam,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
abswzam,17,tutor,What do you notice about these two numbers?,00:02:16
abswzam,18,student,300?,00:02:24
abswzam,19,tutor,What do you notice about these two numbers?,00:02:32
abswzam,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
abswzam,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
abswzam,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
abswzam,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
abswzam,24,student,300?,00:03:12
abswzam,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
abswzam,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
abswzam,27,tutor,What do you notice about these two numbers?,00:03:36
abswzam,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
abswzam,29,tutor,What do you notice about these two numbers?,00:03:52
abswzam,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
abswzam,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
abswzam,32,student,Maybe I should compare them as decimals first.,00:04:16
abswzam,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
abswzam,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
abswzam,35,tutor,What do you notice about these two numbers?,00:04:40
abswzam,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
abswzam,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
abswzam,38,student,300?,00:05:04
abswzam,39,tutor,Uh-huh. And what would you do next?,00:05:12
abswzam,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
abswzam,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
abswzam,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
abswzam,43,tutor,Uh-huh. And what would you do next?,00:05:44
abswzam,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
abswzam,45,tutor,What do you notice about these two numbers?,00:06:00
abswzam,46,student,Maybe I should compare them as decimals first.,00:06:08
abswzam,47,tutor,Uh-huh. And what would you do next?,00:06:16
abswzam,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
abswzam,49,tutor,Can you talk me through how you got that answer?,00:06:32
abswzam,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
abswzam,51,tutor,Uh-huh. And what would you do next?,00:06:48
abswzam,52,student,Maybe I should compare them as decimals first.,00:06:56
abswzam,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
abswzam,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
abswzam,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
abswzam,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
abswzam,57,tutor,Can you talk me through how you got that answer?,00:07:36
abswzam,58,student,Maybe I should compare them as decimals first.,00:07:44
abswzam,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
abswzam,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
abswzam,61,tutor,What do you notice about these two numbers?,00:08:08
abswzam,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
abswzam,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
abswzam,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
abswzam,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
abswzam,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
abswzam,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
abswzam,68,student,Is it 4?,00:09:04
abswzam,69,tutor,What do you notice about these two numbers?,00:09:12
abswzam,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
abswzam,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
abswzam,72,student,300?,00:09:36
abswzam,73,tutor,What do you notice about these two numbers?,00:09:44
abswzam,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
abswzam,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
abswzam,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
abswzam,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
abswzam,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
abswzam,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
abswzam,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
abswzam,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
abswzam,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
abswzam,83,tutor,What do you notice about these two numbers?,00:11:04
abswzam,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
abswzam,85,tutor,Can you talk me through how you got that answer?,00:11:20
abswzam,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
