session_id,utterance_id,role,content,timestamp
ghfipqo,0,background,[unclear],00:00:00
ghfipqo,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ghfipqo,2,student,"Yes, I think so.",00:00:16
ghfipqo,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
ghfipqo,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
ghfipqo,5,tutor,Can you talk me through how you got that answer?,00:00:40
ghfipqo,6,student,Maybe I should compare them as decimals first.,00:00:48
ghfipqo,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
ghfipqo,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
ghfipqo,9,tutor,Can you talk me through how you got that answer?,00:01:12
ghfipqo,10,student,Maybe I should compare them as decimals first.,00:01:20
ghfipqo,11,tutor,Uh-huh. And what would you do next?,00:01:28
ghfipqo,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
ghfipqo,13,tutor,What do you notice about these two numbers?,00:01:44
ghfipqo,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
ghfipqo,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
ghfipqo,16,student,Maybe I should compare them as decimals first.,00:02:08
ghfipqo,17,tutor,Can you talk me through how you got that answer?,00:02:16
ghfipqo,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
ghfipqo,19,tutor,Can you talk me through how you got that answer?,00:02:32
ghfipqo,20,student,No,00:02:40
ghfipqo,21,tutor,Uh-huh. And what would you do next?,00:02:48
ghfipqo,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
ghfipqo,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
ghfipqo,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
ghfipqo,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
ghfipqo,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
ghfipqo,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
ghfipqo,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
ghfipqo,29,tutor,What do you notice about these two numbers?,00:03:52
ghfipqo,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
ghfipqo,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
ghfipqo,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
ghfipqo,33,tutor,Uh-huh. And what would you do next?,00:04:24
ghfipqo,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
ghfipqo,35,tutor,What do you notice about these two numbers?,00:04:40
ghfipqo,36,student,Maybe I should compare them as decimals first.,00:04:48
ghfipqo,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
ghfipqo,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
ghfipqo,39,tutor,Can you talk me through how you got that answer?,00:05:12
ghfipqo,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
ghfipqo,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
ghfipqo,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
ghfipqo,43,tutor,Can you talk me through how you got that answer?,00:05:44
ghfipqo,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
ghfipqo,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
ghfipqo,46,student,300?,00:06:08
ghfipqo,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
ghfipqo,48,student,Maybe I should compare them as decimals first.,00:06:24
ghfipqo,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
ghfipqo,50,student,Half?,00:06:40
ghfipqo,51,tutor,What do you notice about these two numbers?,00:06:48
ghfipqo,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
ghfipqo,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
ghfipqo,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
ghfipqo,55,tutor,What do you notice about these two numbers?,00:07:20
ghfipqo,56,student,Is it 4?,00:07:28
ghfipqo,57,tutor,Uh-huh. And what would you do next?,00:07:36
ghfipqo,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
ghfipqo,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
ghfipqo,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
ghfipqo,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
ghfipqo,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
ghfipqo,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
ghfipqo,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
ghfipqo,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
ghfipqo,66,student,75.,00:08:48
ghfipqo,67,tutor,Uh-huh. And what would you do next?,00:08:56
ghfipqo,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
ghfipqo,69,tutor,Uh-huh. And what would you do next?,00:09:12
ghfipqo,70,student,75.,00:09:20
ghfipqo,71,tutor,What do you notice about these two numbers?,00:09:28
ghfipqo,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
ghfipqo,73,tutor,What do you notice about these two numbers?,00:09:44
ghfipqo,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
ghfipqo,75,tutor,Can you talk me through how you got that answer?,00:10:00
ghfipqo,76,student,No,00:10:08
ghfipqo,77,tutor,What do you notice about these two numbers?,00:10:16
ghfipqo,78,student,Maybe I should compare them as decimals first.,00:10:24
ghfipqo,79,tutor,Can you talk me through how you got that answer?,00:10:32
