session_id,utterance_id,role,content,timestamp
kedcyev,0,background,[unclear],00:00:00
kedcyev,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
kedcyev,2,student,"Yes, I think so.",00:00:16
kedcyev,3,tutor,Can you talk me through how you got that answer?,00:00:24
kedcyev,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
kedcyev,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
kedcyev,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
kedcyev,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
kedcyev,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
kedcyev,9,tutor,Can you talk me through how you got that answer?,00:01:12
kedcyev,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
kedcyev,11,tutor,What do you notice about these two numbers?,00:01:28
kedcyev,12,student,Maybe I should compare them as decimals first.,00:01:36
kedcyev,13,tutor,Can you talk me through how you got that answer?,00:01:44
kedcyev,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
kedcyev,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
kedcyev,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
kedcyev,17,tutor,Can you talk me through how you got that answer?,00:02:16
kedcyev,18,student,Maybe I should compare them as decimals first.,00:02:24
kedcyev,19,tutor,What do you notice about these two numbers?,00:02:32
kedcyev,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
kedcyev,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
kedcyev,22,student,12.,00:02:56
kedcyev,23,tutor,Uh-huh. And what would you do next?,00:03:04
kedcyev,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
kedcyev,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
kedcyev,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
kedcyev,27,tutor,What do you notice about these two numbers?,00:03:36
kedcyev,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
kedcyev,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
kedcyev,30,student,Maybe I should compare them as decimals first.,00:04:00
kedcyev,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
kedcyev,32,student,Maybe I should compare them as decimals first.,00:04:16
kedcyev,33,tutor,Uh-huh. And what would you do next?,00:04:24
kedcyev,34,student,12.,00:04:32
kedcyev,35,tutor,What do you notice about these two numbers?,00:04:40
kedcyev,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
kedcyev,37,tutor,What do you notice about these two numbers?,00:04:56
kedcyev,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
kedcyev,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
kedcyev,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
kedcyev,41,tutor,What do you notice about these two numbers?,00:05:28
kedcyev,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
kedcyev,43,tutor,Uh-huh. And what would you do next?,00:05:44
kedcyev,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
kedcyev,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
kedcyev,46,student,6?,00:06:08
kedcyev,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
kedcyev,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
kedcyev,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
kedcyev,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
kedcyev,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
kedcyev,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
kedcyev,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
kedcyev,54,student,12.,00:07:12
kedcyev,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
kedcyev,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
kedcyev,57,tutor,Uh-huh. And what would you do next?,00:07:36
kedcyev,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
kedcyev,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
kedcyev,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
kedcyev,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
kedcyev,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
kedcyev,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
kedcyev,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
kedcyev,65,tutor,What do you notice about these two numbers?,00:08:40
kedcyev,66,student,Yes,00:08:48
kedcyev,67,tutor,Can you talk me through how you got that answer?,00:08:56
kedcyev,68,student,Is it 4?,00:09:04
