session_id,utterance_id,role,content,timestamp
bdbavea,0,background,[unclear],00:00:00
bdbavea,1,tutor,"Hello, are you ready to get started today?",00:00:08
bdbavea,2,student,"Yes, I think so.",00:00:16
bdbavea,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
bdbavea,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
bdbavea,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
bdbavea,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
bdbavea,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
bdbavea,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
bdbavea,9,tutor,Can you talk me through how you got that answer?,00:01:12
bdbavea,10,student,Maybe I should compare them as decimals first.,00:01:20
bdbavea,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
bdbavea,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
bdbavea,13,tutor,Uh-huh. And what would you do next?,00:01:44
bdbavea,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
bdbavea,15,tutor,Can you talk me through how you got that answer?,00:02:00
bdbavea,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
bdbavea,17,tutor,What do you notice about these two numbers?,00:02:16
bdbavea,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
bdbavea,19,tutor,What do you notice about these two numbers?,00:02:32
bdbavea,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
bdbavea,21,tutor,Uh-huh. And what would you do next?,00:02:48
bdbavea,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
bdbavea,23,tutor,What do you notice about these two numbers?,00:03:04
bdbavea,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
bdbavea,25,tutor,What do you notice about these two numbers?,00:03:20
bdbavea,26,student,No,00:03:28
bdbavea,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
bdbavea,28,student,300?,00:03:44
bdbavea,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
bdbavea,30,student,75.,00:04:00
bdbavea,31,tutor,Can you talk me through how you got that answer?,00:04:08
bdbavea,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
bdbavea,33,tutor,Can you talk me through how you got that answer?,00:04:24
bdbavea,34,student,300?,00:04:32
bdbavea,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
bdbavea,36,student,Maybe I should compare them as decimals first.,00:04:48
bdbavea,37,tutor,Can you talk me through how you got that answer?,00:04:56
bdbavea,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
bdbavea,39,tutor,Uh-huh. And what would you do next?,00:05:12
bdbavea,40,student,Maybe I should compare them as decimals first.,00:05:20
bdbavea,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
bdbavea,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
bdbavea,43,tutor,Uh-huh. And what would you do next?,00:05:44
bdbavea,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
bdbavea,45,tutor,What do you notice about these two numbers?,00:06:00
bdbavea,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
bdbavea,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
