session_id,utterance_id,role,content,timestamp
zjqvffk,0,background,[unclear],00:00:00
zjqvffk,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
zjqvffk,2,student,"Yes, I think so.",00:00:16
zjqvffk,3,tutor,What do you notice about these two numbers?,00:00:24
zjqvffk,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
zjqvffk,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
zjqvffk,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
zjqvffk,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
zjqvffk,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
zjqvffk,9,tutor,Can you talk me through how you got that answer?,00:01:12
zjqvffk,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
zjqvffk,11,tutor,What do you notice about these two numbers?,00:01:28
zjqvffk,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
zjqvffk,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
zjqvffk,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
zjqvffk,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
zjqvffk,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
zjqvffk,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
zjqvffk,18,student,No,00:02:24
zjqvffk,19,tutor,What do you notice about these two numbers?,00:02:32
zjqvffk,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
zjqvffk,21,tutor,Can you talk me through how you got that answer?,00:02:48
zjqvffk,22,student,Maybe I should compare them as decimals first.,00:02:56
zjqvffk,23,tutor,Can you talk me through how you got that answer?,00:03:04
zjqvffk,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
zjqvffk,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
zjqvffk,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
zjqvffk,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
zjqvffk,28,student,No,00:03:44
zjqvffk,29,tutor,What do you notice about these two numbers?,00:03:52
zjqvffk,30,student,Half?,00:04:00
zjqvffk,31,tutor,What do you notice about these two numbers?,00:04:08
zjqvffk,32,student,Maybe I should compare them as decimals first.,00:04:16
