session_id,utterance_id,role,content,timestamp
tletqmj,0,background,[unclear],00:00:00
tletqmj,1,tutor,"Hello, are you ready to get started today?",00:00:08
tletqmj,2,student,"Yes, I think so.",00:00:16
tletqmj,3,tutor,Can you talk me through how you got that answer?,00:00:24
tletqmj,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
tletqmj,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
tletqmj,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
tletqmj,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
tletqmj,8,student,No,00:01:04
tletqmj,9,tutor,What do you notice about these two numbers?,00:01:12
tletqmj,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
tletqmj,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
tletqmj,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
tletqmj,13,tutor,What do you notice about these two numbers?,00:01:44
tletqmj,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
tletqmj,15,tutor,Can you talk me through how you got that answer?,00:02:00
tletqmj,16,student,12.,00:02:08
tletqmj,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
tletqmj,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
tletqmj,19,tutor,Can you talk me through how you got that answer?,00:02:32
tletqmj,20,student,Maybe I should compare them as decimals first.,00:02:40
tletqmj,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
tletqmj,22,student,Is it 4?,00:02:56
tletqmj,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
tletqmj,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
tletqmj,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
tletqmj,26,student,Maybe I should compare them as decimals first.,00:03:28
tletqmj,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
tletqmj,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
tletqmj,29,tutor,Uh-huh. And what would you do next?,00:03:52
tletqmj,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
tletqmj,31,tutor,Can you talk me through how you got that answer?,00:04:08
tletqmj,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
tletqmj,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
tletqmj,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
tletqmj,35,tutor,Uh-huh. And what would you do next?,00:04:40
tletqmj,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
tletqmj,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
tletqmj,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
tletqmj,39,tutor,Uh-huh. And what would you do next?,00:05:12
tletqmj,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
tletqmj,41,tutor,What do you notice about these two numbers?,00:05:28
tletqmj,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
tletqmj,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
tletqmj,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
tletqmj,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
tletqmj,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
tletqmj,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
tletqmj,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
tletqmj,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
tletqmj,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
tletqmj,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
tletqmj,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
tletqmj,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
tletqmj,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
tletqmj,55,tutor,Can you talk me through how you got that answer?,00:07:20
tletqmj,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
tletqmj,57,tutor,What do you notice about these two numbers?,00:07:36
tletqmj,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
tletqmj,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
tletqmj,60,student,Maybe I should compare them as decimals first.,00:08:00
tletqmj,61,tutor,What do you notice about these two numbers?,00:08:08
tletqmj,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
tletqmj,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
tletqmj,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
tletqmj,65,tutor,Uh-huh. And what would you do next?,00:08:40
tletqmj,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
tletqmj,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
tletqmj,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
tletqmj,69,tutor,Can you talk me through how you got that answer?,00:09:12
tletqmj,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
tletqmj,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
tletqmj,72,student,Maybe I should compare them as decimals first.,00:09:36
tletqmj,73,tutor,What do you notice about these two numbers?,00:09:44
tletqmj,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
tletqmj,75,tutor,What do you notice about these two numbers?,00:10:00
tletqmj,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
tletqmj,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
tletqmj,78,student,Maybe I should compare them as decimals first.,00:10:24
tletqmj,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
tletqmj,80,student,300?,00:10:40
tletqmj,81,tutor,Uh-huh. And what would you do next?,00:10:48
tletqmj,82,student,75.,00:10:56
tletqmj,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
tletqmj,84,student,Yes,00:11:12
tletqmj,85,tutor,Can you talk me through how you got that answer?,00:11:20
tletqmj,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
tletqmj,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
tletqmj,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
tletqmj,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
tletqmj,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
tletqmj,91,tutor,What do you notice about these two numbers?,00:12:08
tletqmj,92,student,Maybe I should compare them as decimals first.,00:12:16
tletqmj,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
tletqmj,94,student,Yes,00:12:32
tletqmj,95,tutor,Can you talk me through how you got that answer?,00:12:40
tletqmj,96,student,I'm not sure. Is it because 10 has one zero?,00:12:48
tletqmj,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
tletqmj,98,student,12.,00:13:04
tletqmj,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
tletqmj,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
tletqmj,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
tletqmj,102,student,75.,00:13:36
tletqmj,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
tletqmj,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
tletqmj,105,tutor,What do you notice about these two numbers?,00:14:00
tletqmj,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
tletqmj,107,tutor,What do you notice about these two numbers?,00:14:16
tletqmj,108,student,12.,00:14:24
tletqmj,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
tletqmj,110,student,"I would divide it by 100, so the answer is 3.45.",00:14:40
tletqmj,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
tletqmj,112,student,Maybe I should compare them as decimals first.,00:14:56
tletqmj,113,tutor,Uh-huh. And what would you do next?,00:15:04
tletqmj,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
tletqmj,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
tletqmj,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
tletqmj,117,tutor,What do you notice about these two numbers?,00:15:36
tletqmj,118,student,Maybe I should compare them as decimals first.,00:15:44
tletqmj,119,tutor,Can you talk me through how you got that answer?,00:15:52
tletqmj,120,student,Is it 4?,00:16:00
tletqmj,121,tutor,What do you notice about these two numbers?,00:16:08
tletqmj,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
tletqmj,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
tletqmj,124,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:32
