session_id,utterance_id,role,content,timestamp
asxbips,0,background,[unclear],00:00:00
asxbips,1,tutor,"Hello, are you ready to get started today?",00:00:08
asxbips,2,student,"Yes, I think so.",00:00:16
asxbips,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
asxbips,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
asxbips,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
asxbips,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
asxbips,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
asxbips,8,student,Maybe I should compare them as decimals first.,00:01:04
asxbips,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
asxbips,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
asxbips,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
asxbips,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
asxbips,13,tutor,Uh-huh. And what would you do next?,00:01:44
asxbips,14,student,Yes,00:01:52
asxbips,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
asxbips,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
asxbips,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
asxbips,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
asxbips,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
asxbips,20,student,12.,00:02:40
asxbips,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
asxbips,22,student,Maybe I should compare them as decimals first.,00:02:56
asxbips,23,tutor,What do you notice about these two numbers?,00:03:04
asxbips,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
asxbips,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
asxbips,26,student,Maybe I should compare them as decimals first.,00:03:28
asxbips,27,tutor,What do you notice about these two numbers?,00:03:36
asxbips,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
asxbips,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
asxbips,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
asxbips,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
asxbips,32,student,12.,00:04:16
asxbips,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
asxbips,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
asxbips,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
asxbips,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
asxbips,37,tutor,What do you notice about these two numbers?,00:04:56
asxbips,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
asxbips,39,tutor,Can you talk me through how you got that answer?,00:05:12
asxbips,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
asxbips,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
asxbips,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
asxbips,43,tutor,What do you notice about these two numbers?,00:05:44
asxbips,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
asxbips,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
asxbips,46,student,Maybe I should compare them as decimals first.,00:06:08
asxbips,47,tutor,Uh-huh. And what would you do next?,00:06:16
asxbips,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
asxbips,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
asxbips,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
asxbips,51,tutor,What do you notice about these two numbers?,00:06:48
asxbips,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
asxbips,53,tutor,Can you talk me through how you got that answer?,00:07:04
asxbips,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
asxbips,55,tutor,Uh-huh. And what would you do next?,00:07:20
asxbips,56,student,No,00:07:28
asxbips,57,tutor,Can you talk me through how you got that answer?,00:07:36
asxbips,58,student,Half?,00:07:44
asxbips,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
asxbips,60,student,No,00:08:00
asxbips,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
asxbips,62,student,Maybe I should compare them as decimals first.,00:08:16
asxbips,63,tutor,Can you talk me through how you got that answer?,00:08:24
asxbips,64,student,75.,00:08:32
asxbips,65,tutor,What do you notice about these two numbers?,00:08:40
asxbips,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
asxbips,67,tutor,Can you talk me through how you got that answer?,00:08:56
asxbips,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
asxbips,69,tutor,Uh-huh. And what would you do next?,00:09:12
asxbips,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
asxbips,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
asxbips,72,student,Half?,00:09:36
asxbips,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
asxbips,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
asxbips,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
asxbips,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
asxbips,77,tutor,What do you notice about these two numbers?,00:10:16
asxbips,78,student,6?,00:10:24
asxbips,79,tutor,Can you talk me through how you got that answer?,00:10:32
asxbips,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
asxbips,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
asxbips,82,student,Okay,00:10:56
asxbips,83,tutor,What do you notice about these two numbers?,00:11:04
asxbips,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
asxbips,85,tutor,Can you talk me through how you got that answer?,00:11:20
asxbips,86,student,75.,00:11:28
asxbips,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
asxbips,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
asxbips,89,tutor,Uh-huh. And what would you do next?,00:11:52
asxbips,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
asxbips,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
asxbips,92,student,6?,00:12:16
asxbips,93,tutor,Uh-huh. And what would you do next?,00:12:24
asxbips,94,student,12.,00:12:32
asxbips,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
asxbips,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
asxbips,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
asxbips,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
asxbips,99,tutor,Can you talk me through how you got that answer?,00:13:12
asxbips,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
asxbips,101,tutor,What do you notice about these two numbers?,00:13:28
asxbips,102,student,Maybe I should compare them as decimals first.,00:13:36
asxbips,103,tutor,"Good thinking. Now, is that answer reasonable?",00:13:44
asxbips,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
asxbips,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
asxbips,106,student,6?,00:14:08
asxbips,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
asxbips,108,student,Is it 4?,00:14:24
asxbips,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
asxbips,110,student,I think we need to make the bottom numbers the same before we add.,00:14:40
asxbips,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
asxbips,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
asxbips,113,tutor,Can you talk me through how you got that answer?,00:15:04
asxbips,114,student,Is it 4?,00:15:12
asxbips,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
asxbips,116,student,Half?,00:15:28
asxbips,117,tutor,What do you notice about these two numbers?,00:15:36
asxbips,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
asxbips,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
asxbips,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
asxbips,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
asxbips,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
asxbips,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
asxbips,124,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:32
asxbips,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
asxbips,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
asxbips,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
asxbips,128,student,I think we need to make the bottom numbers the same before we add.,00:17:04
asxbips,129,tutor,Remember what we said about the denominator. What happens here?,00:17:12
asxbips,130,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:20
asxbips,131,tutor,So let me ask you first. Do you know what a fact family is?,00:17:28
asxbips,132,student,Is it 4?,00:17:36
asxbips,133,tutor,Can you talk me through how you got that answer?,00:17:44
asxbips,134,student,"I would divide it by 100, so the answer is 3.45.",00:17:52
asxbips,135,tutor,Uh-huh. And what would you do next?,00:18:00
