session_id,utterance_id,role,content,timestamp
qciprlc,0,background,[unclear],00:00:00
qciprlc,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
qciprlc,2,student,"Yes, I think so.",00:00:16
qciprlc,3,tutor,Uh-huh. And what would you do next?,00:00:24
qciprlc,4,student,Okay,00:00:32
qciprlc,5,tutor,What do you notice about these two numbers?,00:00:40
qciprlc,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
qciprlc,7,tutor,Can you talk me through how you got that answer?,00:00:56
qciprlc,8,student,Maybe I should compare them as decimals first.,00:01:04
qciprlc,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
qciprlc,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
qciprlc,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
qciprlc,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
qciprlc,13,tutor,What do you notice about these two numbers?,00:01:44
qciprlc,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
qciprlc,15,tutor,Uh-huh. And what would you do next?,00:02:00
qciprlc,16,student,Okay,00:02:08
qciprlc,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
qciprlc,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
qciprlc,19,tutor,Uh-huh. And what would you do next?,00:02:32
qciprlc,20,student,Okay,00:02:40
qciprlc,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
qciprlc,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
qciprlc,23,tutor,Uh-huh. And what would you do next?,00:03:04
qciprlc,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
qciprlc,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
qciprlc,26,student,Half?,00:03:28
qciprlc,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
qciprlc,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
qciprlc,29,tutor,What do you notice about these two numbers?,00:03:52
qciprlc,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
qciprlc,31,tutor,What do you notice about these two numbers?,00:04:08
qciprlc,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
qciprlc,33,tutor,What do you notice about these two numbers?,00:04:24
qciprlc,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
qciprlc,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
qciprlc,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
qciprlc,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
qciprlc,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
qciprlc,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
qciprlc,40,student,300?,00:05:20
qciprlc,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
qciprlc,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
qciprlc,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
qciprlc,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
qciprlc,45,tutor,What do you notice about these two numbers?,00:06:00
qciprlc,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
qciprlc,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
qciprlc,48,student,6?,00:06:24
qciprlc,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
qciprlc,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
qciprlc,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
qciprlc,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
qciprlc,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
qciprlc,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
qciprlc,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
qciprlc,56,student,Maybe I should compare them as decimals first.,00:07:28
qciprlc,57,tutor,Can you talk me through how you got that answer?,00:07:36
qciprlc,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
qciprlc,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
qciprlc,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
qciprlc,61,tutor,Can you talk me through how you got that answer?,00:08:08
qciprlc,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
qciprlc,63,tutor,Can you talk me through how you got that answer?,00:08:24
qciprlc,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
qciprlc,65,tutor,Uh-huh. And what would you do next?,00:08:40
qciprlc,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
qciprlc,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
qciprlc,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
qciprlc,69,tutor,What do you notice about these two numbers?,00:09:12
qciprlc,70,student,Maybe I should compare them as decimals first.,00:09:20
qciprlc,71,tutor,Uh-huh. And what would you do next?,00:09:28
qciprlc,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
qciprlc,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
qciprlc,74,student,300?,00:09:52
qciprlc,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
qciprlc,76,student,6?,00:10:08
qciprlc,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
qciprlc,78,student,Okay,00:10:24
qciprlc,79,tutor,Uh-huh. And what would you do next?,00:10:32
qciprlc,80,student,Maybe I should compare them as decimals first.,00:10:40
qciprlc,81,tutor,Uh-huh. And what would you do next?,00:10:48
qciprlc,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
qciprlc,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
qciprlc,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
qciprlc,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
qciprlc,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
qciprlc,87,tutor,Can you talk me through how you got that answer?,00:11:36
qciprlc,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
qciprlc,89,tutor,What do you notice about these two numbers?,00:11:52
qciprlc,90,student,Maybe I should compare them as decimals first.,00:12:00
qciprlc,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
qciprlc,92,student,12.,00:12:16
qciprlc,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
qciprlc,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
qciprlc,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
qciprlc,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
qciprlc,97,tutor,What do you notice about these two numbers?,00:12:56
qciprlc,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
qciprlc,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
qciprlc,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
qciprlc,101,tutor,Can you talk me through how you got that answer?,00:13:28
qciprlc,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
qciprlc,103,tutor,Can you talk me through how you got that answer?,00:13:44
qciprlc,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
qciprlc,105,tutor,Can you talk me through how you got that answer?,00:14:00
qciprlc,106,student,Maybe I should compare them as decimals first.,00:14:08
qciprlc,107,tutor,What do you notice about these two numbers?,00:14:16
qciprlc,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
qciprlc,109,tutor,Can you talk me through how you got that answer?,00:14:32
qciprlc,110,student,I think we need to make the bottom numbers the same before we add.,00:14:40
qciprlc,111,tutor,Uh-huh. And what would you do next?,00:14:48
qciprlc,112,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:56
qciprlc,113,tutor,What do you notice about these two numbers?,00:15:04
qciprlc,114,student,No,00:15:12
qciprlc,115,tutor,Uh-huh. And what would you do next?,00:15:20
qciprlc,116,student,I'm not sure. Is it because 10 has one zero?,00:15:28
qciprlc,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
qciprlc,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
qciprlc,119,tutor,Uh-huh. And what would you do next?,00:15:52
qciprlc,120,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:00
qciprlc,121,tutor,Can you talk me through how you got that answer?,00:16:08
qciprlc,122,student,I'm not sure. Is it because 10 has one zero?,00:16:16
qciprlc,123,tutor,What do you notice about these two numbers?,00:16:24
qciprlc,124,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:32
qciprlc,125,tutor,What do you notice about these two numbers?,00:16:40
qciprlc,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
qciprlc,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
qciprlc,128,student,Maybe I should compare them as decimals first.,00:17:04
qciprlc,129,tutor,Let's try a similar one. What is 30 times 4?,00:17:12
qciprlc,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
qciprlc,131,tutor,Uh-huh. And what would you do next?,00:17:28
qciprlc,132,student,Maybe I should compare them as decimals first.,00:17:36
qciprlc,133,tutor,Uh-huh. And what would you do next?,00:17:44
qciprlc,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
qciprlc,135,tutor,What do you notice about these two numbers?,00:18:00
qciprlc,136,student,75.,00:18:08
qciprlc,137,tutor,"Good thinking. Now, is that answer reasonable?",00:18:16
qciprlc,138,student,I'm not sure. Is it because 10 has one zero?,00:18:24
qciprlc,139,tutor,Uh-huh. And what would you do next?,00:18:32
qciprlc,140,student,I'm not sure. Is it because 10 has one zero?,00:18:40
qciprlc,141,tutor,Uh-huh. And what would you do next?,00:18:48
