session_id,utterance_id,role,content,timestamp
ttngnvz,0,background,[unclear],00:00:00
ttngnvz,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ttngnvz,2,student,"Yes, I think so.",00:00:16
ttngnvz,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
ttngnvz,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
ttngnvz,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
ttngnvz,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
ttngnvz,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
ttngnvz,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
ttngnvz,9,tutor,Uh-huh. And what would you do next?,00:01:12
ttngnvz,10,student,Maybe I should compare them as decimals first.,00:01:20
ttngnvz,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
ttngnvz,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
ttngnvz,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
ttngnvz,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
ttngnvz,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
ttngnvz,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
ttngnvz,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
ttngnvz,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
ttngnvz,19,tutor,Can you talk me through how you got that answer?,00:02:32
ttngnvz,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
ttngnvz,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
ttngnvz,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
ttngnvz,23,tutor,Can you talk me through how you got that answer?,00:03:04
ttngnvz,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
