session_id,utterance_id,role,content,timestamp
serqhlv,0,background,[unclear],00:00:00
serqhlv,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
serqhlv,2,student,"Yes, I think so.",00:00:16
serqhlv,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
serqhlv,4,student,12.,00:00:32
serqhlv,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
serqhlv,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
serqhlv,7,tutor,Can you talk me through how you got that answer?,00:00:56
serqhlv,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
serqhlv,9,tutor,What do you notice about these two numbers?,00:01:12
serqhlv,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
serqhlv,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
serqhlv,12,student,Yes,00:01:36
serqhlv,13,tutor,Uh-huh. And what would you do next?,00:01:44
serqhlv,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
serqhlv,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
serqhlv,16,student,Maybe I should compare them as decimals first.,00:02:08
serqhlv,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
serqhlv,18,student,Maybe I should compare them as decimals first.,00:02:24
serqhlv,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
serqhlv,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
serqhlv,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
serqhlv,22,student,Half?,00:02:56
serqhlv,23,tutor,What do you notice about these two numbers?,00:03:04
serqhlv,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
serqhlv,25,tutor,Can you talk me through how you got that answer?,00:03:20
serqhlv,26,student,Half?,00:03:28
serqhlv,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
serqhlv,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
serqhlv,29,tutor,Can you talk me through how you got that answer?,00:03:52
serqhlv,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
serqhlv,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
serqhlv,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
serqhlv,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
serqhlv,34,student,Okay,00:04:32
serqhlv,35,tutor,Uh-huh. And what would you do next?,00:04:40
serqhlv,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
serqhlv,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
serqhlv,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
serqhlv,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
serqhlv,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
serqhlv,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
serqhlv,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
serqhlv,43,tutor,Uh-huh. And what would you do next?,00:05:44
serqhlv,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
serqhlv,45,tutor,What do you notice about these two numbers?,00:06:00
serqhlv,46,student,Maybe I should compare them as decimals first.,00:06:08
serqhlv,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
serqhlv,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
serqhlv,49,tutor,Can you talk me through how you got that answer?,00:06:32
serqhlv,50,student,Maybe I should compare them as decimals first.,00:06:40
serqhlv,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
serqhlv,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
serqhlv,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
serqhlv,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
serqhlv,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
