session_id,utterance_id,role,content,timestamp
tvwstes,0,background,[unclear],00:00:00
tvwstes,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
tvwstes,2,student,"Yes, I think so.",00:00:16
tvwstes,3,tutor,Can you talk me through how you got that answer?,00:00:24
tvwstes,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
tvwstes,5,tutor,What do you notice about these two numbers?,00:00:40
tvwstes,6,student,75.,00:00:48
tvwstes,7,tutor,Uh-huh. And what would you do next?,00:00:56
tvwstes,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
tvwstes,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
tvwstes,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
tvwstes,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
tvwstes,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
tvwstes,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
tvwstes,14,student,Half?,00:01:52
tvwstes,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
tvwstes,16,student,75.,00:02:08
tvwstes,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
tvwstes,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
tvwstes,19,tutor,Uh-huh. And what would you do next?,00:02:32
tvwstes,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
tvwstes,21,tutor,What do you notice about these two numbers?,00:02:48
tvwstes,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
tvwstes,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
tvwstes,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
tvwstes,25,tutor,Uh-huh. And what would you do next?,00:03:20
tvwstes,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
tvwstes,27,tutor,Uh-huh. And what would you do next?,00:03:36
tvwstes,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
tvwstes,29,tutor,What do you notice about these two numbers?,00:03:52
tvwstes,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
tvwstes,31,tutor,Can you talk me through how you got that answer?,00:04:08
tvwstes,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
tvwstes,33,tutor,Can you talk me through how you got that answer?,00:04:24
tvwstes,34,student,300?,00:04:32
tvwstes,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
tvwstes,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
tvwstes,37,tutor,Can you talk me through how you got that answer?,00:04:56
tvwstes,38,student,No,00:05:04
tvwstes,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
tvwstes,40,student,Maybe I should compare them as decimals first.,00:05:20
tvwstes,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
tvwstes,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
tvwstes,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
tvwstes,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
tvwstes,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
tvwstes,46,student,Is it 4?,00:06:08
tvwstes,47,tutor,Uh-huh. And what would you do next?,00:06:16
tvwstes,48,student,Okay,00:06:24
tvwstes,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
tvwstes,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
tvwstes,51,tutor,Uh-huh. And what would you do next?,00:06:48
tvwstes,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
tvwstes,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
tvwstes,54,student,Maybe I should compare them as decimals first.,00:07:12
tvwstes,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
tvwstes,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
tvwstes,57,tutor,Uh-huh. And what would you do next?,00:07:36
tvwstes,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
tvwstes,59,tutor,Uh-huh. And what would you do next?,00:07:52
tvwstes,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
tvwstes,61,tutor,Uh-huh. And what would you do next?,00:08:08
tvwstes,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
tvwstes,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
tvwstes,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
tvwstes,65,tutor,What do you notice about these two numbers?,00:08:40
tvwstes,66,student,Okay,00:08:48
tvwstes,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
tvwstes,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
tvwstes,69,tutor,Can you talk me through how you got that answer?,00:09:12
tvwstes,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
tvwstes,71,tutor,What do you notice about these two numbers?,00:09:28
tvwstes,72,student,Maybe I should compare them as decimals first.,00:09:36
tvwstes,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
tvwstes,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
tvwstes,75,tutor,Uh-huh. And what would you do next?,00:10:00
tvwstes,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
tvwstes,77,tutor,Uh-huh. And what would you do next?,00:10:16
tvwstes,78,student,75.,00:10:24
tvwstes,79,tutor,What do you notice about these two numbers?,00:10:32
tvwstes,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
tvwstes,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
tvwstes,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
tvwstes,83,tutor,Can you talk me through how you got that answer?,00:11:04
tvwstes,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
tvwstes,85,tutor,Can you talk me through how you got that answer?,00:11:20
tvwstes,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
tvwstes,87,tutor,Uh-huh. And what would you do next?,00:11:36
tvwstes,88,student,6?,00:11:44
tvwstes,89,tutor,Can you talk me through how you got that answer?,00:11:52
tvwstes,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
tvwstes,91,tutor,Can you talk me through how you got that answer?,00:12:08
tvwstes,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
tvwstes,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
tvwstes,94,student,6?,00:12:32
tvwstes,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
tvwstes,96,student,Is it 4?,00:12:48
tvwstes,97,tutor,What do you notice about these two numbers?,00:12:56
tvwstes,98,student,"I would divide it by 100, so the answer is 3.45.",00:13:04
tvwstes,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
tvwstes,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
tvwstes,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
tvwstes,102,student,I think we need to make the bottom numbers the same before we add.,00:13:36
tvwstes,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
tvwstes,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
tvwstes,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
tvwstes,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
tvwstes,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
tvwstes,108,student,Okay,00:14:24
tvwstes,109,tutor,Uh-huh. And what would you do next?,00:14:32
tvwstes,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
tvwstes,111,tutor,Uh-huh. And what would you do next?,00:14:48
tvwstes,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
tvwstes,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
tvwstes,114,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:12
tvwstes,115,tutor,Uh-huh. And what would you do next?,00:15:20
tvwstes,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
tvwstes,117,tutor,Uh-huh. And what would you do next?,00:15:36
tvwstes,118,student,I'm not sure. Is it because 10 has one zero?,00:15:44
tvwstes,119,tutor,Remember what we said about the denominator. What happens here?,00:15:52
tvwstes,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
tvwstes,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
tvwstes,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
tvwstes,123,tutor,Let's try a similar one. What is 30 times 4?,00:16:24
tvwstes,124,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:32
tvwstes,125,tutor,Uh-huh. And what would you do next?,00:16:40
tvwstes,126,student,I'm not sure. Is it because 10 has one zero?,00:16:48
tvwstes,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
tvwstes,128,student,"I would divide it by 100, so the answer is 3.45.",00:17:04
tvwstes,129,tutor,Uh-huh. And what would you do next?,00:17:12
tvwstes,130,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:20
tvwstes,131,tutor,Uh-huh. And what would you do next?,00:17:28
tvwstes,132,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:36
tvwstes,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
tvwstes,134,student,6?,00:17:52
tvwstes,135,tutor,Remember what we said about the denominator. What happens here?,00:18:00
tvwstes,136,student,No,00:18:08
tvwstes,137,tutor,Remember what we said about the denominator. What happens here?,00:18:16
tvwstes,138,student,I'm not sure. Is it because 10 has one zero?,00:18:24
tvwstes,139,tutor,"Good thinking. Now, is that answer reasonable?",00:18:32
tvwstes,140,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:40
tvwstes,141,tutor,Uh-huh. And what would you do next?,00:18:48
tvwstes,142,student,I'm not sure. Is it because 10 has one zero?,00:18:56
tvwstes,143,tutor,Remember what we said about the denominator. What happens here?,00:19:04
tvwstes,144,student,Maybe I should compare them as decimals first.,00:19:12
tvwstes,145,tutor,"Good thinking. Now, is that answer reasonable?",00:19:20
tvwstes,146,student,I'm not sure. Is it because 10 has one zero?,00:19:28
tvwstes,147,tutor,"Good thinking. Now, is that answer reasonable?",00:19:36
tvwstes,148,student,Maybe I should compare them as decimals first.,00:19:44
tvwstes,149,tutor,Can you talk me through how you got that answer?,00:19:52
tvwstes,150,student,"I would divide it by 100, so the answer is 3.45.",00:20:00
tvwstes,151,tutor,Uh-huh. And what would you do next?,00:20:08
tvwstes,152,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:16
tvwstes,153,tutor,Let's try a similar one. What is 30 times 4?,00:20:24
tvwstes,154,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:32
tvwstes,155,tutor,So let me ask you first. Do you know what a fact family is?,00:20:40
tvwstes,156,student,I think we need to make the bottom numbers the same before we add.,00:20:48
tvwstes,157,tutor,So let me ask you first. Do you know what a fact family is?,00:20:56
tvwstes,158,student,I think we need to make the bottom numbers the same before we add.,00:21:04
tvwstes,159,tutor,"Good thinking. Now, is that answer reasonable?",00:21:12
tvwstes,160,student,I'm not sure. Is it because 10 has one zero?,00:21:20
tvwstes,161,tutor,Uh-huh. And what would you do next?,00:21:28
tvwstes,162,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:36
tvwstes,163,tutor,Can you talk me through how you got that answer?,00:21:44
tvwstes,164,student,Okay,00:21:52
tvwstes,165,tutor,Uh-huh. And what would you do next?,00:22:00
tvwstes,166,student,Maybe I should compare them as decimals first.,00:22:08
tvwstes,167,tutor,Can you talk me through how you got that answer?,00:22:16
