session_id,utterance_id,role,content,timestamp
dfhoduc,0,background,[unclear],00:00:00
dfhoduc,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
dfhoduc,2,student,"Yes, I think so.",00:00:16
dfhoduc,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
dfhoduc,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
dfhoduc,5,tutor,Can you talk me through how you got that answer?,00:00:40
dfhoduc,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
dfhoduc,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
dfhoduc,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
dfhoduc,9,tutor,Uh-huh. And what would you do next?,00:01:12
dfhoduc,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
dfhoduc,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
dfhoduc,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
dfhoduc,13,tutor,Can you talk me through how you got that answer?,00:01:44
dfhoduc,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
dfhoduc,15,tutor,Uh-huh. And what would you do next?,00:02:00
dfhoduc,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
dfhoduc,17,tutor,What do you notice about these two numbers?,00:02:16
dfhoduc,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
dfhoduc,19,tutor,What do you notice about these two numbers?,00:02:32
dfhoduc,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
dfhoduc,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
dfhoduc,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
dfhoduc,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
dfhoduc,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
dfhoduc,25,tutor,Uh-huh. And what would you do next?,00:03:20
dfhoduc,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
dfhoduc,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
dfhoduc,28,student,No,00:03:44
dfhoduc,29,tutor,Uh-huh. And what would you do next?,00:03:52
dfhoduc,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
dfhoduc,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
dfhoduc,32,student,Maybe I should compare them as decimals first.,00:04:16
dfhoduc,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
dfhoduc,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
dfhoduc,35,tutor,Can you talk me through how you got that answer?,00:04:40
dfhoduc,36,student,300?,00:04:48
