session_id,utterance_id,role,content,timestamp
jgayyga,0,background,[unclear],00:00:00
jgayyga,1,tutor,"Hello, are you ready to get started today?",00:00:08
jgayyga,2,student,"Yes, I think so.",00:00:16
jgayyga,3,tutor,Uh-huh. And what would you do next?,00:00:24
jgayyga,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
jgayyga,5,tutor,Uh-huh. And what would you do next?,00:00:40
jgayyga,6,student,Maybe I should compare them as decimals first.,00:00:48
jgayyga,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
jgayyga,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
jgayyga,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
jgayyga,10,student,6?,00:01:20
jgayyga,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
jgayyga,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
jgayyga,13,tutor,What do you notice about these two numbers?,00:01:44
jgayyga,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
jgayyga,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
jgayyga,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
jgayyga,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
jgayyga,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
jgayyga,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
jgayyga,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
jgayyga,21,tutor,Uh-huh. And what would you do next?,00:02:48
jgayyga,22,student,75.,00:02:56
jgayyga,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
jgayyga,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
jgayyga,25,tutor,What do you notice about these two numbers?,00:03:20
jgayyga,26,student,Half?,00:03:28
jgayyga,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
jgayyga,28,student,Okay,00:03:44
jgayyga,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
jgayyga,30,student,No,00:04:00
jgayyga,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
jgayyga,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
jgayyga,33,tutor,What do you notice about these two numbers?,00:04:24
jgayyga,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
jgayyga,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
jgayyga,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
jgayyga,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
jgayyga,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
jgayyga,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
jgayyga,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
jgayyga,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
jgayyga,42,student,6?,00:05:36
jgayyga,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
